nonbase_mass_retention,mean_scale,min_scale,max_predicted_relative_delta,hard_cap_violation_count,risk_weighted_predicted_delta,router_coupled_weighted_scale,router_coupled_weighted_predicted_delta,changed_group_count,route_mass_weighted_scale,candidate_id,pressure_quantile,extra_shrink_strength,extra_shrink_cap,retention_delta_vs_base,risk_delta_reduction_vs_base,router_coupled_delta_reduction_vs_base,passes_hard_cap,passes_retention_gate,passes_default_gate
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00020_cap0.00010,0.85,0.0002,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00030_cap0.00010,0.85,0.0003,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00040_cap0.00010,0.85,0.0004,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00050_cap0.00010,0.85,0.0005,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00075_cap0.00010,0.85,0.00075,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00100_cap0.00010,0.85,0.001,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00200_cap0.00010,0.85,0.002,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00300_cap0.00010,0.85,0.003,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00400_cap0.00010,0.85,0.004,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00500_cap0.00010,0.85,0.005,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.00750_cap0.00010,0.85,0.0075,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
