layer_id,expert_id,dominant_source,dominant_category,total_topk_fraction,boundary_fragility_score,safe_lambda_proxy,feature_router_instability,router_coupled_pressure,router_coupled_pressure_norm,mechanistic_selected_scale,router_coupled_selected_scale,router_coupled_extra_shrink,mechanistic_weight_instruct,mechanistic_weight_coder,router_coupled_weight_instruct,router_coupled_weight_coder,audit_max_relative_delta_norm,router_coupled_expected_max_relative_delta_norm,benefit_score,curvature_score,interference_score,mechanistic_reason,router_coupled_action,trust_risk_flags,tensor_pattern
0,0,instruct,math,0.116096832058838,0.610124017672807,0.019725152295719,0.0180180166030063,0.0008481317707833818,0.004190327751216418,0.9910154796401948,0.9910154796401948,0.0,0.5887152819732412,0.2589372001579413,0.5887152819732412,0.2589372001579414,0.2731123553081956,0.2706585717914148,0.2863436311531587,0.3623120836222676,0.2958279108882278,balanced,keep_mechanistic,shared_mixed_expert,.*layers\.0\..*experts\.0\..*
0,1,instruct,general,0.1534687074952296,0.610124017672807,0.019725152295719,0.0180180166030063,0.0011901020428187197,0.0071915661540285945,0.987922933576998,0.987922933576998,0.0,0.6292644816793471,0.2180696808039786,0.6292644816793471,0.21806968080397862,0.2405271261440417,0.23762226406506634,0.2820110731866494,0.4716378628269143,0.3499868621728502,balanced,keep_mechanistic,shared_mixed_expert,.*layers\.0\..*experts\.1\..*
0,2,instruct,safety,0.114722902294683,0.610124017672807,0.019725152295719,0.0180180166030063,0.0008208931660946751,0.003951273210176316,0.9905870696571928,0.9905870696571928,0.0,0.65314308641446,0.1950039131704592,0.65314308641446,0.19500391317045918,0.2023936860414864,0.2004885683729539,0.201176271542186,0.3463416919874927,0.257241156796235,balanced,keep_mechanistic,shared_mixed_expert,.*layers\.0\..*experts\.2\..*
0,3,instruct,safety,0.2524841095014548,0.610124017672807,0.019725152295719,0.0180180166030063,0.001904377905992785,0.013460275238010893,0.9935320311864684,0.9935320311864684,0.0,0.700127571218501,0.1489030585861319,0.700127571218501,0.14890305858613193,0.159140282658745,0.15811096827353163,0.3096055048698143,0.4027894328304254,0.341652024484485,balanced,keep_mechanistic,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.3\..*
0,4,instruct,general,0.022112887112887,0.610124017672807,0.019725152295719,0.0180180166030063,0.00015118203777009028,0.0,0.991043118169064,0.991043118169064,0.0,0.6651965213462835,0.1831482157334692,0.6651965213462835,0.18314821573346923,0.181967564690576,0.1803377027165793,0.1456745281490819,0.2850773580611931,0.2025746806245075,balanced,keep_mechanistic,,.*layers\.0\..*experts\.4\..*
0,6,instruct,math,0.0104895104895104,0.610124017672807,0.019725152295719,0.0180180166030063,8.72151399354483e-05,0.0,0.9713349084338696,0.9713349084338696,0.0,0.4604166666666638,0.3784158914106976,0.4604166666666638,0.37841589141069765,0.4726987828423757,0.4591488289490006,0.2408842487531923,0.5340242951777918,0.4912973002455751,balanced,keep_mechanistic,low_route_evidence,.*layers\.0\..*experts\.6\..*
0,7,instruct,math,0.0576477366024777,0.610124017672807,0.019725152295719,0.0180180166030063,0.0004075883147449089,0.00032398015760560866,0.9914530823281325,0.9914530823281325,0.0,0.6635724475899085,0.1848341714678745,0.6635724475899085,0.18483417146787456,0.1953359679555319,0.19366644751906142,0.2016524260389088,0.3395959087627388,0.233016447851816,balanced,keep_mechanistic,,.*layers\.0\..*experts\.7\..*
0,8,instruct,math,0.0056818181818181,0.610124017672807,0.019725152295719,0.0180180166030063,3.931058306396712e-05,0.0,0.9889706428788184,0.9889706428788184,0.0,0.85,0.0,0.85,0.0,0.0,0.0,0.0774315516534431,0.3193239665527584,0.1981039294286944,balanced,keep_mechanistic,low_route_evidence,.*layers\.0\..*experts\.8\..*
0,10,coder,code,0.013284703801945,0.610124017672807,0.019725152295719,0.0180180166030063,9.394240097326516e-05,0.0,0.7688907677465291,0.7688907677465291,0.0,0.0,0.6535571525845497,0.0,0.6535571525845497,0.827914149791135,0.6365755462611207,0.7076739202971284,0.4278215904503639,0.1452073263985065,preserve_benefit_but_delta_cap_limited,keep_mechanistic,delta_above_base_cap|low_route_evidence,.*layers\.0\..*experts\.10\..*
0,11,instruct,math,0.0422813204245696,0.610124017672807,0.019725152295719,0.0180180166030063,0.0002827509071633412,0.0,0.9962920184290072,0.9962920184290072,0.0,0.7633472401841254,0.0863314529794015,0.7633472401841254,0.08633145297940158,0.0873145280115735,0.08699076735082664,0.1466981078444729,0.2808216113282571,0.1524486729987592,balanced,keep_mechanistic,,.*layers\.0\..*experts\.11\..*
0,12,instruct,safety,0.3139700597071629,0.610124017672807,0.019725152295719,0.0180180166030063,0.002418069943665066,0.01796859773489031,0.9976990303102932,0.9976990303102932,0.0,0.6791503055385913,0.1704565744929572,0.6791503055385913,0.17045657449295723,0.1819758164878718,0.18155709564987357,0.3751198369847445,0.4416033566948485,0.3607023447850897,balanced,keep_mechanistic,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.12\..*
0,13,instruct,general,0.0329662407484986,0.610124017672807,0.019725152295719,0.0180180166030063,0.0002319558790009464,0.0,0.9911397012240464,0.9911397012240464,0.0,0.85,0.0,0.85,0.0,0.0,0.0,0.0803044508584479,0.384027470925256,0.1761545627977007,balanced,keep_mechanistic,,.*layers\.0\..*experts\.13\..*
0,14,instruct,math,0.0416594108176767,0.610124017672807,0.019725152295719,0.0180180166030063,0.00027402903284585957,0.0,0.9972075358207524,0.9972075358207524,0.0,0.85,0.0,0.85,0.0,0.0,0.0,0.1107567235570316,0.2671754308591836,0.1262414045112416,balanced,keep_mechanistic,shared_mixed_expert,.*layers\.0\..*experts\.14\..*
0,15,instruct,general,0.0043103448275862,0.610124017672807,0.019725152295719,0.0180180166030063,3.093248914794146e-05,0.0,0.982599641688876,0.982599641688876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944,0.2130369993571577,0.3981485957734341,balanced,keep_mechanistic,low_route_evidence,.*layers\.0\..*experts\.15\..*
0,16,instruct,math,0.1908892842303227,0.610124017672807,0.019725152295719,0.0180180166030063,0.0014555876772557384,0.009521551379718033,0.9940278335613948,0.9940278335613948,0.0,0.6725359017319894,0.1764042531362769,0.6725359017319894,0.17640425313627695,0.1917031652399151,0.19055828203029487,0.3214126146305521,0.4589374999054864,0.3156070843099571,balanced,keep_mechanistic,shared_mixed_expert,.*layers\.0\..*experts\.16\..*
0,17,instruct,math,0.0620432969537874,0.610124017672807,0.019725152295719,0.0180180166030063,0.0004611493002732137,0.000794048171714754,0.9861289476459164,0.9861289476459164,0.0,0.6089458963433018,0.2377104295647095,0.6089458963433018,0.23771042956470953,0.2641377595508776,0.26047389085945705,0.2280184934761068,0.3940132066254598,0.3104530872833067,balanced,keep_mechanistic,shared_mixed_expert,.*layers\.0\..*experts\.17\..*
