model,category,prompt_idx,router,num_experts,tokens,top_k,router_entropy_mean,top1_margin_mean,unique_top1_experts,unique_topk_experts,max_top1_fraction,effective_top1_experts
tiny_moe_right,general,0,layers.0.mlp.gate,4,17,2,1.3822201490402222,0.01131009217351675,2,3,0.7647058823529411,1.7256340945282889
tiny_moe_right,general,0,layers.1.mlp.gate,4,17,2,1.3831291198730469,0.024993805214762688,2,4,0.7647058823529411,1.7256340945282889
tiny_moe_right,code,1,layers.0.mlp.gate,4,10,2,1.3830254077911377,0.008005139417946339,2,3,0.6,1.9601317042077895
tiny_moe_right,code,1,layers.1.mlp.gate,4,10,2,1.3838857412338257,0.016269810497760773,2,4,0.6,1.9601317042077895
tiny_moe_right,math,2,layers.0.mlp.gate,4,9,2,1.3837260007858276,0.010211749002337456,2,3,0.5555555555555556,1.9876669750024174
tiny_moe_right,math,2,layers.1.mlp.gate,4,9,2,1.384724736213684,0.014355674386024475,2,3,0.5555555555555556,1.9876669750024174
