nonbase_mass_retention,mean_scale,min_scale,max_predicted_relative_delta,hard_cap_violation_count,risk_weighted_predicted_delta,router_coupled_weighted_scale,router_coupled_weighted_predicted_delta,changed_group_count,route_mass_weighted_scale,candidate_id,pressure_quantile,extra_shrink_strength,extra_shrink_cap,retention_delta_vs_base,risk_delta_reduction_vs_base,router_coupled_delta_reduction_vs_base,passes_hard_cap,passes_retention_gate,ablation_only
0.9619428055490395,0.9607970873353191,0.4306440943988023,0.6490000000000001,0,0.22948042871479238,0.9704809554191619,0.22305187511835495,972,0.977207029421729,router_q0.75_s0.0100_cap0.0100,0.75,0.01,0.01,-0.0030916992358726025,0.0009430527448646142,0.0011349698502332028,True,False,True
0.962059393148322,0.9609181207613516,0.4306440943988023,0.6490000000000001,0,0.22951143910224356,0.9706527476492393,0.22309088548006267,810,0.9773301811671283,router_q0.80_s0.0100_cap0.0100,0.8,0.01,0.01,-0.002975111636590144,0.000912042357413434,0.0010959594885254775,True,False,True
0.9622416608627914,0.961076874638305,0.4306440943988023,0.6490000000000001,0,0.22956219437190128,0.9709308475246949,0.22315267954222898,638,0.977527506021561,router_q0.85_s0.0100_cap0.0100,0.85,0.01,0.01,-0.002792843922120758,0.0008612870877557077,0.0010341654263591737,True,False,True
0.9624499188682424,0.9609410142527807,0.4306440943988023,0.6490000000000001,0,0.22964027386193034,0.9712388177664147,0.22324321752736814,972,0.9776860869592349,router_q0.75_s0.0100_cap0.0075,0.75,0.01,0.0075,-0.0025845859166697682,0.0007832075977266539,0.0009436274412200074,True,False,True
0.9625665064675247,0.961062047678813,0.4306440943988023,0.6490000000000001,0,0.22967128424938144,0.9714106099964922,0.2232822278890759,810,0.9778092387046343,router_q0.80_s0.0100_cap0.0075,0.8,0.01,0.0075,-0.002467998317387421,0.000752197210275557,0.0009046170795122543,True,False,True
0.9626325579416397,0.9613137167546723,0.4306440943988023,0.6490000000000001,0,0.2296719550162322,0.9714580092251569,0.2232876781440194,436,0.9778858798707577,router_q0.90_s0.0100_cap0.0100,0.9,0.01,0.01,-0.00240194684327244,0.0007515264434247992,0.0008991668245687534,True,False,True
0.9627157303580077,0.961117574691086,0.4306440943988023,0.6490000000000001,0,0.22971619190100853,0.9716174655128844,0.22333561758091322,972,0.9779452292945647,router_q0.75_s0.0075_cap0.0075,0.75,0.0075,0.0075,-0.002318774426904424,0.0007072895586484607,0.0008512273876749299,True,False,True
0.9627157303580077,0.961117574691086,0.4306440943988023,0.6490000000000001,0,0.22971619190100853,0.9716174655128844,0.22333561758091322,972,0.9779452292945647,router_q0.75_s0.0075_cap0.0100,0.75,0.0075,0.01,-0.002318774426904424,0.0007072895586484607,0.0008512273876749299,True,False,True
0.9627487741819943,0.9612208015557666,0.4306440943988023,0.6490000000000001,0,0.2297220395190392,0.971688709871948,0.22334402195124217,638,0.9780065635590672,router_q0.85_s0.0100_cap0.0075,0.85,0.01,0.0075,-0.0022857306029178126,0.000701441940617803,0.0008428230173459783,True,False,True
0.9628031710574696,0.9612083497606104,0.4306440943988023,0.6490000000000001,0,0.2297394496915969,0.9717463096854426,0.22336487535219404,810,0.9780375931036145,router_q0.80_s0.0075_cap0.0075,0.8,0.0075,0.0075,-0.0022313337274425527,0.0006840317680600894,0.0008219696163941081,True,False,True
0.9628031710574696,0.9612083497606104,0.4306440943988023,0.6490000000000001,0,0.2297394496915969,0.9717463096854426,0.22336487535219404,810,0.9780375931036145,router_q0.80_s0.0075_cap0.0100,0.8,0.0075,0.01,-0.0022313337274425527,0.0006840317680600894,0.0008219696163941081,True,False,True
0.9629398718433216,0.9613274151683255,0.4306440943988023,0.6490000000000001,0,0.22977751614384023,0.9719548845920344,0.22341122089881874,638,0.9781855867444391,router_q0.85_s0.0075_cap0.0075,0.85,0.0075,0.0075,-0.002094632941590513,0.00064596531581676,0.000775624069769415,True,False,True
0.9629398718433216,0.9613274151683255,0.4306440943988023,0.6490000000000001,0,0.22977751614384023,0.9719548845920344,0.22341122089881874,638,0.9781855867444391,router_q0.85_s0.0075_cap0.0100,0.85,0.0075,0.01,-0.002094632941590513,0.00064596531581676,0.000775624069769415,True,False,True
0.9631396712608425,0.9614576436721339,0.4306440943988023,0.6490000000000001,0,0.2298318001633701,0.9722158715724097,0.22347902055303262,436,0.9783649374082637,router_q0.90_s0.0100_cap0.0075,0.9,0.01,0.0075,-0.0018948335240696057,0.0005916812962868945,0.0007078244155555302,True,False,True
0.9631556033515398,0.9611930249936778,0.4306440943988023,0.6490000000000001,0,0.22985814640790359,0.9722769543981523,0.2235046298982311,972,0.9783531448953248,router_q0.75_s0.0100_cap0.0050,0.75,0.01,0.005,-0.0018789014333723264,0.0005653350517534073,0.0006822150703570395,True,False,True
0.9632330446524578,0.961505046755601,0.4306440943988023,0.6490000000000001,0,0.22985983662708842,0.9723502558673808,0.22351246985016163,436,0.9784543671313365,router_q0.90_s0.0075_cap0.0075,0.9,0.0075,0.0075,-0.0018014601324543023,0.0005636448325685717,0.0006743751184265234,True,False,True
0.9632330446524578,0.961505046755601,0.4306440943988023,0.6490000000000001,0,0.22985983662708842,0.9723502558673808,0.22351246985016163,436,0.9784543671313365,router_q0.90_s0.0075_cap0.0100,0.9,0.0075,0.01,-0.0018014601324543023,0.0005636448325685717,0.0006743751184265234,True,False,True
0.963282027973186,0.9616327273935195,0.4306440943988023,0.6490000000000001,0,0.22986776671698103,0.9724177897554387,0.22352294358030025,234,0.978516961302613,router_q0.95_s0.0100_cap0.0100,0.95,0.01,0.01,-0.001752476811726189,0.0005557147426759612,0.0006639013882878964,True,False,True
0.9632527665887124,0.9612766524157945,0.4306440943988023,0.6490000000000001,0,0.2298849847554114,0.9724183635225465,0.2235376396405377,972,0.9784529913189645,router_q0.75_s0.0075_cap0.0050,0.75,0.0075,0.005,-0.0017817381961997558,0.0005384967042456057,0.0006492053280504617,True,False,True
