tensor,epoch,loss,route_kl,top1_loss,load_balance,capacity_loss,trust_l2,top1_agreement,topk_jaccard,capacity_overflow_fraction,top1_max_load_fraction,top1_capacity_overflow_fraction,top1_load_entropy,top1_load_cv,topk_max_load_fraction,topk_capacity_overflow_fraction,topk_load_entropy,topk_load_cv
blocks.0.router.weight,1,0.3654349446296692,0.08391448855400085,1.1260818243026733,1.0000156164169312,0.0,0.0,0.8541666865348816,0.7986111111111112,0.0,0.3229166567325592,0.010416656732559204,0.9599381685256958,0.3159531354904175,0.2708333432674408,0.0,0.9963498115539551,0.09882119297981262
blocks.0.router.weight,10,0.262317419052124,0.027274876832962036,0.9391701221466064,1.0031790733337402,0.0,0.25,0.8541666865348816,0.8402777777777778,0.0,0.3125,0.0,0.974835216999054,0.25173017382621765,0.2864583432674408,0.0,0.9926400184631348,0.1397542655467987
blocks.0.router.weight,20,0.26324084401130676,0.028114236891269684,0.9395063519477844,1.0031989812850952,0.0,0.25,0.8541666865348816,0.8263888888888888,0.0,0.3125,0.0,0.974835216999054,0.25173017382621765,0.28125,0.0,0.9940446019172668,0.12586505711078644
blocks.0.router.weight,30,0.26375895738601685,0.028536232188344002,0.9398908615112305,1.0032196044921875,0.0,0.24999994039535522,0.8541666865348816,0.8263888888888888,0.0,0.3125,0.0,0.974835216999054,0.25173017382621765,0.2760416567325592,0.0,0.9952808618545532,0.11219092458486557
blocks.0.router.weight,40,0.26413410902023315,0.028838591650128365,0.9401819705963135,1.0032333135604858,0.0,0.24999991059303284,0.8541666865348816,0.8194444444444445,0.0,0.3125,0.0,0.974835216999054,0.25173017382621765,0.2760416567325592,0.0,0.9950554370880127,0.11505584418773651
blocks.0.router.weight,50,0.26442816853523254,0.029074670746922493,0.9404138922691345,1.0032436847686768,0.0,0.25,0.8541666865348816,0.8194444444444445,0.0,0.3125,0.0,0.974835216999054,0.25173017382621765,0.2760416567325592,0.0,0.9950554370880127,0.11505584418773651
blocks.0.router.weight,60,0.26466870307922363,0.02926725707948208,0.9406057000160217,1.0032514333724976,0.0,0.2500000298023224,0.8645833134651184,0.8194444444444445,0.0,0.3125,0.0,0.9694876074790955,0.2748105227947235,0.2760416567325592,0.0,0.9950554370880127,0.11505584418773651
blocks.0.router.weight,70,0.264870822429657,0.029428755864501,0.9407681822776794,1.0032576322555542,0.0,0.24999991059303284,0.8645833134651184,0.8194444444444445,0.0,0.3125,0.0,0.9694876074790955,0.2748105227947235,0.2760416567325592,0.0,0.9950554370880127,0.11505584418773651
blocks.0.router.weight,80,0.26504409313201904,0.029567038640379906,0.9409081339836121,1.0032628774642944,0.0,0.25,0.8645833134651184,0.8194444444444445,0.0,0.3125,0.0,0.9694876074790955,0.2748105227947235,0.2760416567325592,0.0,0.9950554370880127,0.11505584418773651
blocks.1.router.weight,1,0.30786821246147156,0.04086630418896675,1.0680075883865356,1.0026905536651611,0.0,0.0,0.7916666865348816,0.8472222222222222,0.0,0.4375,0.1354166567325592,0.889447808265686,0.5472468733787537,0.28125,0.0,0.997096598148346,0.08960755914449692
blocks.1.router.weight,10,0.2346789389848709,0.011120188049972057,0.8932350277900696,1.0073515176773071,0.0,0.2500000596046448,0.90625,0.9305555555555555,0.0,0.3958333432674408,0.125,0.8812134861946106,0.5335937142372131,0.2916666567325592,0.0,0.9957537651062012,0.10925091058015823
blocks.1.router.weight,20,0.23450802266597748,0.010787527076900005,0.8938819766044617,1.00725519657135,0.0,0.2499999701976776,0.90625,0.9305555555555555,0.0,0.3958333432674408,0.125,0.8812134861946106,0.5335937142372131,0.2916666567325592,0.0,0.9957537651062012,0.10925091058015823
blocks.1.router.weight,30,0.234590545296669,0.01090598851442337,0.8937382698059082,1.0072957277297974,0.0,0.2500000298023224,0.90625,0.9305555555555555,0.0,0.3958333432674408,0.125,0.8812134861946106,0.5335937142372131,0.2916666567325592,0.0,0.9957537651062012,0.10925091058015823
blocks.1.router.weight,40,0.23465602099895477,0.010991610586643219,0.8936576247215271,1.0073245763778687,0.0,0.25,0.90625,0.9305555555555555,0.0,0.3958333432674408,0.125,0.8812134861946106,0.5335937142372131,0.2916666567325592,0.0,0.9957537651062012,0.10925091058015823
blocks.1.router.weight,50,0.23470768332481384,0.011057976633310318,0.8935988545417786,1.0073466300964355,0.0,0.2500000298023224,0.90625,0.9305555555555555,0.0,0.3958333432674408,0.125,0.8812134861946106,0.5335937142372131,0.2916666567325592,0.0,0.9957537651062012,0.10925091058015823
blocks.1.router.weight,60,0.23475006222724915,0.011111493222415447,0.8935542702674866,1.0073637962341309,0.0,0.25,0.90625,0.9305555555555555,0.0,0.3958333432674408,0.125,0.8812134861946106,0.5335937142372131,0.2916666567325592,0.0,0.9957537651062012,0.10925091058015823
blocks.1.router.weight,70,0.23478569090366364,0.011155884712934494,0.8935192227363586,1.0073777437210083,0.0,0.2500000298023224,0.90625,0.9305555555555555,0.0,0.3958333432674408,0.125,0.8812134861946106,0.5335937142372131,0.2916666567325592,0.0,0.9957537651062012,0.10925091058015823
blocks.1.router.weight,80,0.2348162978887558,0.011193494312465191,0.8934912085533142,1.0073891878128052,0.0,0.25,0.8958333134651184,0.9305555555555555,0.0,0.40625,0.1354166567325592,0.8752881288528442,0.5504102110862732,0.2916666567325592,0.0,0.9957537651062012,0.10925091058015823
