tensor,stage,selection_split,train_samples,selection_samples,validation_fraction,route_kl,top1_agreement,topk_jaccard,capacity_overflow_fraction,top1_max_load_fraction,top1_capacity_overflow_fraction,top1_load_entropy,top1_load_cv,topk_max_load_fraction,topk_capacity_overflow_fraction,topk_load_entropy,topk_load_cv,delta_norm,base_norm,relative_delta_norm,max_abs_delta,selected_epoch,selection_score,selection_policy,selected_route_kl,selected_top1_agreement,train_final_route_kl,train_final_top1_agreement,train_final_top1_capacity_overflow_fraction,train_final_topk_capacity_overflow_fraction,route_kl_generalization_gap,top1_generalization_drop
blocks.0.router.weight,initial,validation,77,19,0.19791666666666666,0.06925643235445023,0.8421052694320679,0.6842105263157895,0.0,0.42105263471603394,0.16447368264198303,0.7647141218185425,0.6552578806877136,0.31578946113586426,0.003289461135864258,0.9796494841575623,0.22941572964191437,0.0,1.0229910612106323,0.0,0.0,,,,,,,,,,,
blocks.0.router.weight,final,validation,77,19,0.19791666666666666,0.038878727704286575,0.8947368264198303,0.7017543859649124,0.0,0.42105263471603394,0.16447368264198303,0.8501119017601013,0.6023960113525391,0.31578946113586426,0.003289461135864258,0.9868631958961487,0.1897658407688141,0.5114954710006714,1.0229910612106323,0.499999941734931,0.10440875589847565,1.0,0.08164187893271446,capacity_aware,0.038878727704286575,0.8947368264198303,0.05220657214522362,0.7922077775001526,0.07711037993431091,0.0,-0.013327844440937042,-0.10252904891967773
blocks.1.router.weight,initial,validation,77,19,0.19791666666666666,0.03879990056157112,0.7894737124443054,0.8947368421052632,0.0,0.5263158082962036,0.2138158082962036,0.7337290048599243,0.7498846054077148,0.28947368264198303,0.0,0.9949854016304016,0.11768778413534164,0.0,1.0621159076690674,0.0,0.0,,,,,,,,,,,
blocks.1.router.weight,final,validation,77,19,0.19791666666666666,0.008855929598212242,0.7894737124443054,0.9298245614035089,0.0,0.5263158082962036,0.2138158082962036,0.7337290048599243,0.7498846054077148,0.28947368264198303,0.0,0.9970989227294922,0.09116055816411972,0.5310579538345337,1.0621159076690674,0.5,0.20291274785995483,5.0,0.062309881672263145,capacity_aware,0.008855929598212242,0.7894737124443054,0.008824129588901997,0.948051929473877,0.11525973677635193,0.0,3.1800009310245514e-05,0.15857821702957153
