feature,decile,group_count,route_mass_sum,mean_feature_value,mean_selected_scale,mean_scale_delta,mean_selected_expected_delta_norm,hard_cap_bound_fraction,mean_benefit_term,mean_curvature_delta_term,mean_interference_term
benefit_score,1,524,4.0897596959491755,0.05893989560295612,0.9584372520360908,-0.0095187720158972,0.0,0.0,0.2191766737525065,0.0,0.3596623557266411
benefit_score,2,524,15.988341901713806,0.08027023543237288,0.9677802346994576,-0.007897580399141624,0.0,0.03244274809160305,0.24312396051397986,0.0,0.32450178893372783
benefit_score,3,524,29.400469720074046,0.11413264794605117,0.9675864664634959,-0.0077316944408003015,0.021845927755657656,0.022900763358778626,0.2832067795046553,0.0014762226809914298,0.34532989339643894
benefit_score,4,525,39.86223108984534,0.158709291570853,0.968578016032366,-0.0070887477459288676,0.06275671009235562,0.024761904761904763,0.3401921983495,0.006591764985080873,0.35666913744666084
benefit_score,5,524,46.08812139548655,0.19876117509136576,0.9702999229359129,-0.006056686918636025,0.12801610713009817,0.03244274809160305,0.3926058970015711,0.01922575895796713,0.3515928798062062
benefit_score,6,524,56.85686111782854,0.2414422015249009,0.9709646135471353,-0.005436250952109654,0.17909403175076288,0.04961832061068702,0.45483489507448127,0.03458404657128215,0.36123100216137694
benefit_score,7,525,71.11339248713591,0.2905815252544817,0.9760595344199818,-0.004021171297659847,0.20571804075114725,0.08571428571428572,0.5409819705758486,0.04155199034050929,0.3582440878244922
benefit_score,8,524,123.66199441270612,0.3633809006483712,0.983073381034449,-0.002509015789615455,0.21999489037567857,0.2862595419847328,0.6941722413816772,0.044759348657244666,0.36235400091717646
benefit_score,9,524,150.38338952708148,0.45218670042998854,0.9855993191669121,-0.0015067100150656797,0.2725857802817922,0.33587786259541985,0.8943623714012762,0.06822508102649148,0.41857498616249506
benefit_score,10,525,38.55543865217783,0.7500748560568824,0.9110877842339459,0.0021697767293612225,0.5541561938241352,0.34285714285714286,1.3708665674463507,0.3541154103822941,0.3515013237044558
coder_route_share,1,524,21.563163454488983,0.0,0.9646199037823008,-0.008591705315841231,0.0,0.0,0.3050160579359795,0.0,0.38032405055551505
coder_route_share,2,524,25.722915090621676,0.0,0.9555840700544912,-0.010721075820131227,0.0,0.0,0.34816910984084903,0.0,0.4719365800463521
coder_route_share,3,524,22.202792335352754,0.0,0.9818022773162703,-0.004395494351797017,0.0,0.05343511450381679,0.3248091180185028,0.0,0.2690773800645893
coder_route_share,4,525,71.37473503959411,0.06910451620317065,0.9756619821149434,-0.00542765384587854,0.0553350540996659,0.07047619047619047,0.5076899108658074,0.0033541397709893664,0.3925378070264956
coder_route_share,5,524,76.46131306986703,0.15094215844342074,0.976828366587804,-0.004417094483429602,0.1394283754689328,0.08206106870229007,0.5868351413558921,0.015557635381710852,0.3970892325088812
coder_route_share,6,524,89.67208151038554,0.21859067683182826,0.981242803455276,-0.0030351668259182684,0.1997628068935777,0.1431297709923664,0.6603683564784554,0.03182164786732271,0.37859403444002226
coder_route_share,7,525,99.79853431451039,0.28533214078305846,0.982966526370681,-0.0024922676125438224,0.25146083970700717,0.1980952380952381,0.7104451128558151,0.04988653428097468,0.3672604274703956
coder_route_share,8,524,88.13896273515817,0.36162840107386846,0.9830599415922905,-0.001964236318848592,0.310033814842756,0.19083969465648856,0.7247548308327724,0.07533261545815886,0.3417388686956175
coder_route_share,9,524,60.39544258276935,0.4969696072670516,0.9795304782798289,-0.0014913558870788533,0.4322549848986147,0.2595419847328244,0.9585322483060332,0.15852548290303964,0.3638423788860707
coder_route_share,10,525,20.670059867250785,0.8495856309081353,0.8369572975649878,0.0031633150800456913,0.5983442453520601,0.21523809523809523,1.2845574798506443,0.487975414125205,0.34670334492568283
curvature_score,1,524,35.43825919272135,0.18280850811046453,0.9962601958757562,-0.0005434221230043194,0.12563567574605983,0.2900763358778626,0.48451355690431736,0.010540768936361921,0.1532784503982207
curvature_score,2,524,44.92245521632833,0.25217087980443065,0.9926120799483065,-0.0007941220800039225,0.1654179417517202,0.23282442748091603,0.5716377353999674,0.019898339475513303,0.22198429138399925
curvature_score,3,524,43.79817678005845,0.30026130953524127,0.9879364897811816,-0.0017221478341348491,0.16254106904064558,0.17748091603053434,0.5697824233922602,0.02531862819693237,0.2581064852861263
curvature_score,4,525,48.46904167318348,0.33688383387131426,0.9845201853470864,-0.002406535091164724,0.1913168279855156,0.14285714285714285,0.6055265509082594,0.03571419541372097,0.29036307192416855
curvature_score,5,524,50.798448856540546,0.36770007841622165,0.9809475703810894,-0.00276533256719314,0.19882523029100407,0.1316793893129771,0.608624409119554,0.041591659732300716,0.32083810941233226
curvature_score,6,524,56.95084523628936,0.40020594115568175,0.9787079917663424,-0.0033863325518231724,0.1946134592084306,0.09541984732824428,0.6228366705125775,0.04140630817854842,0.3562880797338704
curvature_score,7,525,59.780925393838054,0.43157415496494855,0.9733544245805025,-0.004140424562714759,0.20930099463408536,0.05714285714285714,0.6642504122131304,0.05311772861333746,0.39360652830384296
curvature_score,8,524,68.02241374031962,0.46488029188396285,0.9700254188323582,-0.0047701084035049485,0.22442560350871085,0.05343511450381679,0.6797100109136979,0.06387615984975363,0.4309131411021403
curvature_score,9,524,89.29757266052665,0.5101384071356716,0.9645598902310065,-0.004701375289581141,0.24590947710891015,0.02480916030534351,0.7551476613581172,0.0812336112497078,0.47592576541910525
