mechanistic_binding,group_count,route_mass_sum,mean_prior_scale,mean_selected_scale,mean_scale_delta,mean_benefit_term,mean_curvature_delta_term,mean_interference_term,mean_solver_gradient_at_prior,mean_selected_expected_delta_norm,hard_cap_bound_fraction,objective_gain_vs_prior
cost_gradient_shrink,4736,501.4174336489185,0.9868755537218401,0.9689993687658819,-0.017876184955958406,0.6301593368295109,0.06136625594165149,0.5056773223858466,-0.43574725127016123,0.20422124385520654,0.0,0.008545760149953943
hard_cap_bound,319,65.5486756457645,0.9883141388265763,0.990123602334577,0.001809463508000601,0.9398862661496612,0.05945214615293606,0.366015391015725,0.14920384911246765,0.24255090188761372,1.0,0.00013292404264777467
benefit_gradient_restore,188,9.033890705315702,0.7316678807877149,0.7403790261614109,0.008711145373695902,1.2949180600175054,0.5935034557969002,0.3884089011419343,0.2353193613847635,0.6171828152249277,0.0,0.003173493101367137
