case_type,layer_id,expert_id,total_topk_fraction,dominant_source,dominant_category,prior_scale,selected_scale,scale_delta,delta_norm,selected_expected_delta_norm,benefit_score,curvature_score,interference_score,benefit_term,curvature_delta_term,interference_term,solver_gradient_at_prior,objective_unconstrained_scale,hard_cap_scale,mechanistic_binding,mechanistic_reason,trust_risk_flags,tensor_pattern
high_subspace_cap_bound,0,98,0.2649649523747476,instruct,general,0.997800443522782,1.0,0.0021995564772180343,0.2403441948640398,0.2403441948640398,0.382164858218104,0.4659386736155436,0.250496233212219,0.7395764959522553,0.04500018773737923,0.2911274361273718,0.11370111889020595,1.1790682022741164,1.0,hard_cap_bound,balanced,shared_mixed_expert,.*layers\.0\..*experts\.98\..*
high_subspace_cap_bound,16,17,0.2539926469063007,coder,code,0.9995431561253776,1.0,0.0004568438746224146,0.5154483506965781,0.5154483506965781,0.767416377687809,0.5988664220806771,0.4121604505021529,1.5469898463709661,0.2546529333054891,0.4548124561334298,0.38324389400072567,1.328711915505426,1.0,hard_cap_bound,route_important_fragile_boundary,fragile_router_layer,.*layers\.16\..*experts\.17\..*
benefit_gradient_restored,32,38,1.1390573362839418,instruct,general,0.9953355592474896,0.9970700434768052,0.0017344842293155471,0.2615783918467925,0.2608119785312742,0.4525125937873136,0.506038475003225,0.3428214547975607,0.9116457797490675,0.057006967797805376,0.3846067229825303,0.08927922215471307,1.1033929500690351,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.32\..*experts\.38\..*
benefit_gradient_restored,8,116,0.6216864283172331,instruct,general,0.9934474427521228,0.9957241492861808,0.0022767065340579817,0.3248435853656356,0.3234546026892704,0.4723729562612023,0.4938305381398095,0.3324040015055463,0.9444153778309838,0.08617788771283762,0.37405905152436564,0.11558615931055449,1.1319907901857407,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.8\..*experts\.116\..*
benefit_gradient_restored,32,116,0.5939773556069436,instruct,general,0.9926224685576324,0.9959851760358944,0.0033627074782620614,0.3388884709391948,0.337527893384909,0.488565768374963,0.4778437258833756,0.3188149315895387,0.9711335178186888,0.0913123142887121,0.360300118234408,0.16521087743282725,1.1961060546638982,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.32\..*experts\.116\..*
benefit_gradient_restored,5,17,0.5616543514536072,instruct,general,0.9881645534946826,0.9881830483816594,1.8494886976805347e-05,0.3569515911141566,0.35273351143187087,0.4777464264734224,0.5623145810108146,0.3816428688139741,0.953281603681147,0.11583561109291816,0.42391340467414884,0.0010245582662478103,0.9892277455882155,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.5\..*experts\.17\..*
benefit_gradient_restored,6,64,0.5077805435781308,instruct,general,0.9903864048918456,0.9910015971431648,0.0006151922513192298,0.2731228935422986,0.2706652237167805,0.4491911189935837,0.5360583878292495,0.3661083535545807,0.9061653463394131,0.06517304597588769,0.4081847079740131,0.03309767671508146,1.0279315920435204,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.6\..*experts\.64\..*
benefit_gradient_restored,8,80,0.4689531084414283,instruct,general,0.997895445620352,0.9992494384293692,0.0013539928090171571,0.0883550380835109,0.0882887221873538,0.3865964415525803,0.4382454092689891,0.3230228042205699,0.8028841285617575,0.00578962838551249,0.3645605892733271,0.06951998138697058,1.0924919336991936,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.8\..*experts\.80\..*
benefit_gradient_restored,9,96,0.467420245332161,instruct,general,0.9908131102686012,0.9909659481920512,0.0001528379234499999,0.1781727043119043,0.17656308287038822,0.4187907849943982,0.4929801008323624,0.3726672223413433,0.856004795240757,0.025889199962267198,0.4148255626206102,0.008324224665678837,1.0005428967210388,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.9\..*experts\.96\..*
benefit_gradient_restored,7,59,0.4430100114012789,instruct,general,0.9920420900199964,0.9926465096876416,0.0006044196676451286,0.2405822650784551,0.23881314572287543,0.4407211872679532,0.4855455676156934,0.3679109039683961,0.8921899589921228,0.04662141962540814,0.4100097902680011,0.032445609894977245,1.0294804409506981,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.7\..*experts\.59\..*
