group,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
routed_expert_ffn,18432,10353,28991029248,16283860992,0.5616861979166666,1080.5944371668193,3996.5372635531007,0.27038267527777843,0.72265625
attention,288,288,905981952,905981952,1.0,149.05645237684138,790.5556237124302,0.18854644493815104,1.6875
embedding_or_head,2,0,622329856,0,0.0,0.0,579.1479665746052,0.0,0.0
norm,97,0,198656,0,0.0,0.0,383.5276331405521,0.0,0.0
router,48,0,12582912,0,0.0,0.0,114.87305499434108,0.0,0.0
