lambda,safe_examples,unsafe_examples,safe_tokens,unsafe_tokens,safe_response_nll,unsafe_refusal_nll,avg_safety_nll
0.0,12,12,938,336,1.9770356892014362,3.6606771605355397,2.818856424868488
0.75,12,12,938,336,1.783117326846255,3.309622741880871,2.546370034363563
1.0,12,12,938,336,1.7869103641143993,3.7796990757896785,2.7833047199520387
