lambda,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.0,0.8948865636189779,0.5369578742980957,0.74,0.83,0.7159222189585368,0.8948865636189779,0.7849999999999999,0.74
0.05,0.8787786865234375,0.5248422622680664,0.7516666666666667,0.8325,0.701810474395752,0.8787786865234375,0.7920833333333334,0.7516666666666667
0.1,0.8647251256306966,0.5144415473937989,0.75,0.835,0.6895833365122477,0.8647251256306966,0.7925,0.75
0.15000000000000002,0.8526720301310221,0.5057267189025879,0.7566666666666667,0.845,0.679199374516805,0.8526720301310221,0.8008333333333333,0.7566666666666667
0.2,0.8425628916422526,0.4986648178100586,0.7616666666666667,0.8475,0.6706138547261556,0.8425628916422526,0.8045833333333334,0.7616666666666667
0.25,0.8343391418457031,0.493221378326416,0.7616666666666667,0.85,0.6637802600860596,0.8343391418457031,0.8058333333333334,0.7616666666666667
0.30000000000000004,0.8279413986206055,0.48936235427856445,0.77,0.85,0.658651876449585,0.8279413986206055,0.81,0.77
0.35000000000000003,0.823311538696289,0.4870551872253418,0.7716666666666666,0.8475,0.6551833629608155,0.823311538696289,0.8095833333333333,0.7716666666666666
0.4,0.82039488474528,0.48627002716064455,0.7683333333333333,0.855,0.6533324559529623,0.82039488474528,0.8116666666666666,0.7683333333333333
0.45,0.8191425704956055,0.4869797515869141,0.7633333333333333,0.85,0.6530611610412598,0.8191425704956055,0.8066666666666666,0.7633333333333333
0.5,0.8195125452677409,0.4891605186462402,0.7633333333333333,0.8525,0.6543365319569905,0.8195125452677409,0.8079166666666666,0.7633333333333333
0.55,0.8214705022176106,0.4927921676635742,0.76,0.855,0.6571313349405924,0.8214705022176106,0.8075,0.76
0.6000000000000001,0.8249911499023438,0.4978591728210449,0.76,0.8425,0.6614251613616944,0.8249911499023438,0.80125,0.76
0.65,0.8300580978393555,0.5043512344360351,0.7583333333333333,0.845,0.6672046661376954,0.8300580978393555,0.8016666666666666,0.7583333333333333
0.7000000000000001,0.8366639328002929,0.512264633178711,0.755,0.845,0.674464282989502,0.8366639328002929,0.8,0.755
0.75,0.8448104985555013,0.5216037178039551,0.7533333333333333,0.84,0.6832071081797282,0.8448104985555013,0.7966666666666666,0.7533333333333333
0.8,0.8545087178548177,0.5323824691772461,0.7533333333333333,0.84,0.693445593516032,0.8545087178548177,0.7966666666666666,0.7533333333333333
0.8500000000000001,0.8657777531941732,0.5446253395080567,0.7516666666666667,0.84,0.705201546351115,0.8657777531941732,0.7958333333333334,0.7516666666666667
0.9,0.8786438624064128,0.5583691215515136,0.7516666666666667,0.84,0.7185064919789632,0.8786438624064128,0.7958333333333334,0.7516666666666667
0.9500000000000001,0.8931393686930339,0.5736620903015137,0.7516666666666667,0.84,0.7334007294972738,0.8931393686930339,0.7958333333333334,0.7516666666666667
1.0,0.9093012110392252,0.5905642318725586,0.7533333333333333,0.84,0.749932721455892,0.9093012110392252,0.7966666666666666,0.7533333333333333
1.05,0.9271689987182617,0.6091445541381836,0.7583333333333333,0.8325,0.7681567764282227,0.9271689987182617,0.7954166666666667,0.7583333333333333
1.1,0.9467828750610352,0.6294768714904785,0.755,0.8225,0.7881298732757569,0.9467828750610352,0.7887500000000001,0.755
1.1500000000000001,0.9681816482543946,0.6516351890563965,0.7466666666666667,0.8175,0.8099084186553955,0.9681816482543946,0.7820833333333334,0.7466666666666667
1.2000000000000002,0.9914007314046224,0.6756864929199219,0.7433333333333333,0.8175,0.8335436121622721,0.9914007314046224,0.7804166666666666,0.7433333333333333
1.25,1.0164720026652019,0.7016843605041504,0.7366666666666667,0.8075,0.8590781815846762,1.0164720026652019,0.7720833333333333,0.7366666666666667
1.3,1.0434234364827475,0.7296642875671386,0.735,0.7975,0.8865438620249431,1.0434234364827475,0.76625,0.735
1.35,1.0722801717122397,0.759641284942627,0.7283333333333334,0.7875,0.9159607283274334,1.0722801717122397,0.7579166666666667,0.7283333333333334
1.4000000000000001,1.1030646006266276,0.791612377166748,0.7266666666666667,0.7825,0.9473384888966878,1.1030646006266276,0.7545833333333334,0.7266666666666667
1.4500000000000002,1.1357973225911457,0.8255625152587891,0.7183333333333334,0.7725,0.9806799189249674,1.1357973225911457,0.7454166666666666,0.7183333333333334
1.5,1.1704959360758465,0.8614717674255371,0.7183333333333334,0.76,1.0159838517506918,1.1704959360758465,0.7391666666666667,0.7183333333333334
