alpha,beta,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
-0.25,-0.25,1.0079681015014648,0.6238055229187012,0.7233333333333334,0.8175,0.815886812210083,1.0079681015014648,0.7704166666666667,0.7233333333333334
-0.25,-0.175,1.0454947916666666,0.5691957092285156,0.72,0.825,0.8073452504475911,1.0454947916666666,0.7725,0.72
-0.25,-0.1,1.092829132080078,0.5233137130737304,0.7016666666666667,0.8375,0.8080714225769042,1.092829132080078,0.7695833333333333,0.7016666666666667
-0.25,-0.025000000000000022,1.1517149988810222,0.4850495719909668,0.6816666666666666,0.8325,0.8183822854359946,1.1517149988810222,0.7570833333333333,0.6816666666666666
-0.25,0.04999999999999999,1.2237557220458983,0.4535231590270996,0.6533333333333333,0.8475,0.838639440536499,1.2237557220458983,0.7504166666666667,0.6533333333333333
-0.25,0.125,1.3103692245483398,0.4279391098022461,0.64,0.86,0.8691541671752929,1.3103692245483398,0.75,0.64
-0.25,0.19999999999999996,1.4129903793334961,0.4075183486938477,0.6316666666666667,0.8675,0.9102543640136719,1.4129903793334961,0.7495833333333334,0.6316666666666667
-0.25,0.275,1.5333022816975912,0.391527099609375,0.6133333333333333,0.8725,0.9624146906534831,1.5333022816975912,0.7429166666666667,0.6133333333333333
-0.25,0.35,1.6732659149169922,0.3793369197845459,0.5883333333333334,0.875,1.026301417350769,1.6732659149169922,0.7316666666666667,0.5883333333333334
-0.25,0.42499999999999993,1.834980239868164,0.3704515933990479,0.5666666666666667,0.8775,1.102715916633606,1.834980239868164,0.7220833333333333,0.5666666666666667
-0.25,0.5,2.0204417419433596,0.3644950675964356,0.525,0.8875,1.1924684047698975,2.0204417419433596,0.70625,0.525
-0.25,0.575,2.2312393951416016,0.3611834812164307,0.49,0.8825,1.2962114381790162,2.2312393951416016,0.68625,0.49
-0.25,0.6499999999999999,2.4683449045817056,0.3602905750274658,0.46166666666666667,0.885,1.4143177398045856,2.4683449045817056,0.6733333333333333,0.46166666666666667
-0.25,0.725,2.7320505015055336,0.361610050201416,0.4266666666666667,0.8775,1.5468302758534749,2.7320505015055336,0.6520833333333333,0.4266666666666667
-0.25,0.8,3.021880391438802,0.36493472099304197,0.39666666666666667,0.875,1.693407556215922,3.021880391438802,0.6358333333333334,0.39666666666666667
-0.25,0.875,3.3365193684895833,0.3700700759887695,0.3566666666666667,0.8775,1.8532947222391765,3.3365193684895833,0.6170833333333333,0.3566666666666667
-0.25,0.95,3.674082285563151,0.3768606758117676,0.3233333333333333,0.8775,2.025471480687459,3.674082285563151,0.6004166666666666,0.3233333333333333
-0.25,1.025,4.032536163330078,0.3852063083648682,0.3,0.88,2.208871235847473,4.032536163330078,0.59,0.3
-0.25,1.0999999999999999,4.4099204508463545,0.39506251335144044,0.27,0.88,2.4024914820988976,4.4099204508463545,0.575,0.27
-0.25,1.175,4.804401753743489,0.4064344882965088,0.24833333333333332,0.8775,2.605418121019999,4.804401753743489,0.5629166666666666,0.24833333333333332
-0.25,1.25,5.214293467203776,0.41936727523803713,0.23,0.8775,2.8168303712209064,5.214293467203776,0.55375,0.23
-0.175,-0.25,0.939462521870931,0.6543264007568359,0.74,0.8,0.7968944613138835,0.939462521870931,0.77,0.74
-0.175,-0.175,0.9681584803263347,0.5931317138671875,0.735,0.8175,0.7806450970967611,0.9681584803263347,0.77625,0.735
-0.175,-0.1,1.0049502436319988,0.5420610427856445,0.7316666666666667,0.835,0.7735056432088216,1.0049502436319988,0.7833333333333333,0.7316666666666667
-0.175,-0.025000000000000022,1.0515410614013672,0.4996483039855957,0.7133333333333334,0.835,0.7755946826934814,1.0515410614013672,0.7741666666666667,0.7133333333333334
-0.175,0.04999999999999999,1.1097586059570312,0.4647605514526367,0.6933333333333334,0.835,0.787259578704834,1.1097586059570312,0.7641666666666667,0.6933333333333334
-0.175,0.125,1.1813462193806965,0.43645759582519533,0.6633333333333333,0.8525,0.8089019076029459,1.1813462193806965,0.7579166666666667,0.6633333333333333
-0.175,0.19999999999999996,1.2678925323486328,0.4138757133483887,0.645,0.8575,0.8408841228485107,1.2678925323486328,0.75125,0.645
-0.175,0.275,1.3709960174560547,0.3961987686157227,0.635,0.865,0.8835973930358887,1.3709960174560547,0.75,0.635
