,linear_drop_from_base,cosine,sign_conflict,weighted_conflict,max_layer_weighted_conflict
linear_drop_from_base,1.0,-0.1740452447830749,0.18465897585458357,0.164867467259168,0.08020579488283848
cosine,-0.1740452447830749,1.0,-0.9014130905117393,-0.989064558629776,-0.46613965744400526
sign_conflict,0.18465897585458357,-0.9014130905117393,1.0,0.9229553020587202,0.35284429677562495
weighted_conflict,0.164867467259168,-0.989064558629776,0.9229553020587202,1.0,0.44861660079051385
max_layer_weighted_conflict,0.08020579488283848,-0.46613965744400526,0.35284429677562495,0.44861660079051385,1.0
