left_digit,right_digit,cosine,sign_conflict,weighted_conflict,max_layer_weighted_conflict,base_left_acc,base_right_acc,base_worst_acc,left_expert_left_acc,left_expert_right_acc,right_expert_left_acc,right_expert_right_acc,oracle_worst_acc,linear_left_acc,linear_right_acc,linear_avg_acc,linear_worst_acc,linear_avg_loss,linear_worst_loss,linear_drop_from_base,linear_drop_from_oracle,ties_worst_acc,dare_worst_acc
0,1,0.04916546068334434,0.4541737735271454,0.4678380801986082,0.5802096479853429,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.030828672705009635,0.054014914376395086,0.0,0.0,0.05405405405405406,0.9428571428571428
0,2,0.04120123375559551,0.45559340715408325,0.47168292507159043,0.5396033743931888,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024918418271200997,0.04147494179861886,0.0,0.0,0.9714285714285714,1.0
0,3,0.12481263599734321,0.3975014090538025,0.4180817005087122,0.5684025117376815,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015232748909346385,0.025155612400599887,0.0,0.0,0.972972972972973,1.0
0,4,0.03612794261286049,0.45871663093566895,0.4745754851399984,0.5683471258776756,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9428571428571428,1.0,0.9714285714285714,0.9428571428571428,0.08812008611266575,0.16914002554757254,0.05714285714285716,0.05714285714285716,0.0,0.9142857142857143
0,5,0.048468543314154254,0.43929585814476013,0.4676400628479285,0.5249415664772469,1.0,0.9459459459459459,0.9459459459459459,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02902741367752488,0.03360295295715332,-0.05405405405405406,0.0,0.17142857142857143,1.0
0,6,0.10391714945948687,0.4174332618713379,0.42580872246958845,0.5714780658666698,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.040107633339034186,0.043215039703581065,0.0,0.0,0.0,1.0
0,7,0.08443922644098048,0.4174332618713379,0.4415768073005102,0.5752103762719462,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02219463476231174,0.03771765913282122,-0.05555555555555558,0.0,0.9722222222222222,1.0
0,8,0.12599100980952335,0.3926178216934204,0.41487953585668147,0.5666112561040061,1.0,0.9142857142857143,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.034482053347996304,0.046717044285365515,-0.08571428571428574,0.0,0.9142857142857143,1.0
0,9,0.08414114759928458,0.4168086349964142,0.44450127188882166,0.514975384827513,1.0,0.9722222222222222,0.9722222222222222,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07930612649236407,0.13268166950770788,-0.02777777777777779,0.0,1.0,1.0
1,2,0.04868962763322317,0.4766041934490204,0.47005834350868275,0.5051668944467959,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08122505285564996,0.08937066954535407,0.0,0.0,0.3142857142857143,0.9714285714285714
