ablation,layer_id,expert_id,dominant_source,dominant_category,route_mass,baseline_scale,ablated_scale,scale_shift,abs_scale_shift,audit_max_relative_delta_norm,benefit_score,curvature_score,interference_score,feature_subspace_conflict,feature_expert_internal_geometry,feature_router_instability,trust_risk_flags,mechanistic_reason
no_category_prior,44,21,coder,code,0.1694575168991184,0.8815979597835907,0.8724239431711747,-0.009174016612416014,0.009174016612416014,0.7331087035938453,0.8344767777544319,0.4926359556218133,0.24814152163920666,0.2108608045658351,0.2082791663295902,0.5403783292781158,high_load_expert|high_load_weight_limit,preserve_benefit_but_delta_cap_limited
no_category_prior,0,20,coder,code,0.0398541114058355,0.7856114133329605,0.7771050998049321,-0.00850631352802833,0.00850631352802833,0.8189854067403062,0.7322845184752194,0.43340524371081807,0.09011492870282126,0.3640421556359985,0.3421069252149449,0.0180180166030063,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_category_prior,33,54,coder,code,0.1466290893015029,0.7910866250416715,0.7828139711525766,-0.008272653889094927,0.008272653889094927,0.8073298534369583,0.8311875921018983,0.5613879371646535,0.21723529620163895,0.3025928809380405,0.339806946641643,0.456035753796126,delta_above_base_cap|high_load_expert|high_load_weight_limit,balanced
no_category_prior,37,51,coder,code,0.0308797524314765,0.7619969015811701,0.7539013889171869,-0.008095512663983118,0.008095512663983118,0.8424514638684628,0.7239717873102403,0.4257865836837342,0.09022341215876997,0.3775223037657151,0.3339767138216987,0.0,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_category_prior,42,87,coder,code,0.0224027409372236,0.7759932849968267,0.767984503332286,-0.008008781664540776,0.008008781664540776,0.8337022607064083,0.7161197370595764,0.40944860063533106,0.09218241576016552,0.3010921016479122,0.2938576986254624,0.1747321135915282,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_category_prior,33,20,coder,code,0.0265694076038903,0.8223020993491186,0.8145202838233113,-0.007781815525807256,0.007781815525807256,0.7863874639320779,0.7199792193861739,0.433973325953419,0.1169043668616328,0.2615535163013301,0.2440284294430336,0.456035753796126,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_category_prior,43,13,coder,code,0.0313770999115826,0.7947648467210418,0.7870636696519492,-0.0077011770690925685,0.0077011770690925685,0.816026511684171,0.7244324682245555,0.4200381095957418,0.12221090294396714,0.240955952110999,0.2349217189647535,0.5382530708791521,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_category_prior,7,117,coder,code,0.2166789310059609,0.9523968461427063,0.9447094229867445,-0.0076874231559617145,0.0076874231559617145,0.6561897794084003,0.820238268869683,0.5567288971951918,0.3781516491761027,0.3221779824561234,0.3157105236443249,0.6567167527041571,high_load_expert,balanced
no_category_prior,45,100,coder,code,0.166143147268008,0.8938249131005629,0.8861750797140605,-0.00764983338650238,0.00764983338650238,0.7088359030684955,0.8017638304167083,0.5095386651650231,0.31486965805657047,0.2714374029968023,0.2635812281215446,0.590125355375917,high_load_expert|high_load_weight_limit,preserve_benefit_but_delta_cap_limited
no_category_prior,42,88,coder,code,0.0267130857648098,0.741985277508769,0.734367626926384,-0.007617650582384949,0.007617650582384949,0.8679132423155352,0.7201123049836428,0.4205495435836866,0.09912751564783773,0.3287120251720234,0.316191835030126,0.1747321135915282,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_category_prior,18,80,coder,code,0.3257579494106188,0.8699442227679106,0.8624176899483951,-0.007526532819515541,0.007526532819515541,0.7025025412828918,0.9265076995731107,0.6734095808733886,0.5536923621581598,0.4458166070350529,0.4553794166798882,0.8973962096945233,high_load_expert|fragile_router_layer|high_load_weight_limit,route_important_fragile_boundary
no_category_prior,43,54,coder,code,0.0599137931034482,0.8487676726362029,0.841273352762913,-0.007494319873289856,0.007494319873289856,0.7642369174203483,0.7508653153526049,0.4402610152242676,0.18574341438336414,0.1663156862108678,0.1494077223275109,0.5382530708791521,delta_above_base_cap|high_load_expert|high_load_weight_limit,preserve_benefit_but_delta_cap_limited
no_category_prior,8,44,coder,code,0.0572373862696442,0.8161298255537941,0.8087548930078058,-0.007374932545988311,0.007374932545988311,0.7819899415616111,0.7308551528880536,0.4664064641832279,0.16557562106155557,0.3181808347345733,0.3176099033982735,0.4084333256168654,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_category_prior,7,71,coder,code,0.190400140275001,0.736204478475352,0.7289817450633247,-0.007222733412027282,0.007222733412027282,0.8487600563468036,0.856791672951728,0.6222130626753919,0.31574170528236595,0.4045155219273737,0.3960768487829409,0.6567167527041571,delta_above_base_cap|high_load_expert|high_load_weight_limit,balanced
