ablation,description,fixed_candidate_id,fixed_mechanistic_objective,fixed_objective_delta,fixed_ablation_objective,fixed_nonbase_mass_retention,fixed_nonbase_mass_retention_delta,fixed_risk_weighted_predicted_delta,fixed_risk_weighted_predicted_delta_delta,fixed_benefit_weighted_scale,fixed_mean_scale,fixed_min_scale,fixed_max_predicted_relative_delta,fixed_hard_cap_violation_count,reselected_candidate_id,reselected_mechanistic_objective,reselected_objective_delta,reselected_ablation_objective,reselected_nonbase_mass_retention,reselected_risk_weighted_predicted_delta,mean_abs_scale_shift,route_mass_weighted_abs_scale_shift,p95_abs_scale_shift,max_abs_scale_shift,groups_changed_gt_0_001,groups_changed_gt_0_01,cap_bound_group_count,cap_bound_route_mass,high_subspace_mean_scale,high_benefit_low_risk_mean_scale,high_interference_low_benefit_mean_scale,is_baseline
baseline,no features removed,s0.08_b1.65_h0.75_i0.75,0.18220851802618143,0.0,0.18220851802618143,0.9650345047849123,0.0,0.23042348145965702,0.0,0.9755580310182397,0.9620790367583869,0.4306440943988023,0.649,0,s0.08_b1.65_h0.75_i0.75,0.18220851802618143,0.0,0.18220851802618143,0.9650345047849123,0.23042348145965702,0.0,0.0,0.0,0.0,0,0,30,0.7450990449113334,0.9376257848679225,0.8652025247967287,0.9665325562610788,True
no_category_prior,neutralize task/category prior in benefit,s0.08_b1.65_h0.75_i0.75,0.18556573148531869,0.0033572134591372538,0.18783426339582535,0.9634907217054834,-0.0015437830794288177,0.2300182534824446,-0.0004052279772124301,0.9739297676893138,0.9609295887591178,0.42886134069084153,0.649,0,s0.04_b1.15_h1.25_i0.75,0.18298818132580247,0.0007796632996210362,0.18529650995815095,0.9654305826385006,0.23074674880379392,0.0015704057940861555,0.0018008755796604034,0.005457357047188282,0.009174016612416014,2777,0,18,0.42674624226348196,0.9362740665883191,0.8622271227974568,0.9655545781328027,False
no_subspace_conflict,remove expert channel/chunk subspace conflict risks,s0.08_b1.65_h0.75_i0.75,0.18502025095371394,0.0028117329275325065,0.17328957808319626,0.9729762339405519,0.00794172915563962,0.23264667014228063,0.0022231886826236114,0.983706814155933,0.9709457299891543,0.43825698407277197,0.649,0,s0.16_b1.65_h1.25_i0.75,0.18199348513995942,-0.00021503288622201633,0.1704757568865578,0.9658081658289809,0.23064551518062243,0.008866693230767221,0.00861034446007345,0.015004521739872732,0.020462333201347827,4872,2282,52,1.5362298597768511,0.9509786846530357,0.8705579500281304,0.9780930914811417,False
no_source_conflict,remove source-conflict pressure and mixed/category mismatch flags,s0.08_b1.65_h0.75_i0.75,0.18492652902173778,0.0027180109955563525,0.1545210742648184,0.972624282535123,0.007589777750210747,0.23243784270646423,0.002014361246807206,0.9820394116189555,0.9678335810677021,0.4306440943988023,0.649,0,s0.16_b1.65_h1.25_i0.75,0.1818295012507463,-0.00037901677543514256,0.15170051023909198,0.9652712000427905,0.2302392971355606,0.005754544309314975,0.0061199168668909275,0.015602334251210747,0.022088812136222158,3554,1336,32,0.9614951117662429,0.9430223180371301,0.8666239261423181,0.9792874745222687,False
no_router_boundary,remove router fragility and fragile-router flags,s0.08_b1.65_h0.75_i0.75,0.1848133755582036,0.0026048575320221645,0.16996345437098004,0.9723660305312449,0.007331525746332668,0.2324696640552307,0.002046182595573681,0.9829995115367309,0.9701776840167337,0.4350404057913034,0.649,0,s0.16_b1.65_h1.00_i0.75,0.1821451386296808,-6.337939650064017e-05,0.16756552779403222,0.9660352826630652,0.23068146033448364,0.008098647258346652,0.007788051066752603,0.015048475654575432,0.023025365692389888,4635,2431,45,1.2476025388219452,0.9487496504576796,0.869724047874803,0.978350261541947,False
no_load_pressure,remove high-load pressure and high-load flags,s0.08_b1.65_h0.75_i0.75,0.18287610699342732,0.0006675889672458912,0.1786403862256969,0.9673673954329864,0.0023328906480741818,0.2310478665987105,0.0006243851390534683,0.9782233539417884,0.9635932880904537,0.4306440943988023,0.649,0,s0.08_b1.65_h1.25_i0.75,0.1822313129869206,2.2794960739175307e-05,0.1779913930792955,0.9655636259577232,0.23057903258709217,0.0015142513320668166,0.002579642792932264,0.00599433783336215,0.012444983485741856,1493,3,34,1.0382192496972775,0.9386127611336517,0.8658607554659402,0.9687071336350082,False
no_expert_geometry,remove route/internal/layer expert geometry risks,s0.08_b1.65_h0.75_i0.75,0.18260485851098152,0.000396340484800084,0.18829235762051735,0.9661309122814336,0.00109640749652129,0.23071299464731337,0.0002895131876563539,0.9763514410259311,0.9627683280201882,0.4361892309120611,0.649,0,s0.08_b1.65_h1.00_i0.75,0.18234178810227955,0.0001332700760981187,0.1880240761829859,0.9653925028584657,0.23052196781196332,0.0006892912618011691,0.0005524853041663228,0.004398442325207444,0.009764518564112534,802,0,44,1.2642360489899382,0.9384544879198972,0.8683817052136179,0.9672360150106616,False
no_delta_pressure,remove tensor-delta pressure from curvature,s0.08_b1.65_h0.75_i0.75,0.18244273465637958,0.00023421663019815298,0.1730686952006244,0.9657092354766328,0.0006747306917205265,0.23059140762397506,0.00016792616431804408,0.9759957311148835,0.9625533394151039,0.43390106743623763,0.649,0,s0.08_b1.65_h0.75_i0.75,0.18244273465637958,0.00023421663019815298,0.1730686952006244,0.9657092354766328,0.23059140762397506,0.0004743026567169645,0.0002677240986570461,0.0033514432306881335,0.011782287316760898,547,7,51,1.3756750410323773,0.9380760900292789,0.8687856721046544,0.9668068948663738,False
no_feedback_prior,ignore feedback prior scale/action and solve from pre-feedback rules,s0.08_b1.65_h0.75_i0.75,0.18220851802618143,0.0,0.18220851802618143,0.9650345047849123,0.0,0.23042348145965702,0.0,0.9755580310182397,0.9620790367583869,0.4306440943988023,0.649,0,s0.08_b1.65_h0.75_i0.75,0.18220851802618143,0.0,0.18220851802618143,0.9650345047849123,0.23042348145965702,0.0,0.0,0.0,0.0,0,0,30,0.7450990449113334,0.9376257848679225,0.8652025247967287,0.9665325562610788,False
