score,pair_source_frontier,pair_source_frontier_source,all_source_frontier,all_source_frontier_source,naive_pair_score,routercal_pair_score,triple_merge_score,naive_drop_vs_pair_frontier,routercal_gain_vs_naive,routercal_recovery_fraction,routercal_gap_vs_pair_frontier,routercal_gap_vs_all_source_frontier,triple_gain_vs_pair,best_local_action,accepts_routercal_over_pair_frontier,accepts_routercal_over_all_source_frontier
mmlu,0.8416666666666667,instruct,0.8416666666666667,instruct,0.7583333333333333,0.7583333333333333,0.75,0.08333333333333337,0.0,0.0,-0.08333333333333337,-0.08333333333333337,-0.008333333333333304,router_calibration,False,False
gsm8k,0.9,instruct,0.9,instruct,0.825,0.85,0.9,0.07500000000000007,0.025000000000000022,0.3333333333333333,-0.050000000000000044,-0.050000000000000044,0.07500000000000007,add_thinking_source,False,False
humaneval,0.95,instruct,0.95,instruct,0.8,0.875,0.85,0.1499999999999999,0.07499999999999996,0.5,-0.07499999999999996,-0.07499999999999996,0.04999999999999993,router_calibration,False,False
avg,0.8972222222222221,instruct,0.8972222222222221,instruct,0.7944444444444444,0.8277777777777778,0.8333333333333334,0.10277777777777775,0.03333333333333344,0.32432432432432545,-0.06944444444444431,-0.06944444444444431,0.03888888888888897,add_thinking_source,False,False
worst,0.8416666666666667,instruct,0.8416666666666667,instruct,0.7583333333333333,0.7583333333333333,0.75,0.08333333333333337,0.0,0.0,-0.08333333333333337,-0.08333333333333337,-0.008333333333333304,router_calibration,False,False
