group,layer,left_tensor_count,right_tensor_count,left_shape_signature,right_shape_signature,left_packed_expert_count,right_packed_expert_count,layout_match
router,43.0,1,1,128x2048,128x2048,,,True
router,44.0,1,1,128x2048,128x2048,,,True
router,45.0,1,1,128x2048,128x2048,,,True
router,46.0,1,1,128x2048,128x2048,,,True
router,47.0,1,1,128x2048,128x2048,,,True
router,5.0,1,1,128x2048,128x2048,,,True
router,6.0,1,1,128x2048,128x2048,,,True
router,7.0,1,1,128x2048,128x2048,,,True
router,8.0,1,1,128x2048,128x2048,,,True
router,9.0,1,1,128x2048,128x2048,,,True
