alpha,beta,general_nll,general_ppl,general_tokens,instruction_nll,instruction_ppl,instruction_tokens,code_nll,code_ppl,code_tokens,avg_nll,worst_nll
0.0,0.0,7.843919941023285,2550.1818288029535,51,2.972834042140416,19.54723886911333,28,1.5430583953857422,4.678878270387777,54,4.119937459516481,7.843919941023285
0.0,0.25,8.336891922296262,4175.093040958909,51,5.463976791926792,236.03421938930066,28,3.6616267451533564,38.924611819776565,54,5.8208318197921365,8.336891922296262
0.0,0.5,9.7594840853822,17317.694917966044,51,5.34872225352696,210.33936570703057,28,3.246214266176577,25.69288913280317,54,6.118140201695245,9.7594840853822
0.0,0.75,8.280991198969822,3948.1058015657954,51,1.3681421450206213,3.9280461720589273,28,0.42681157147442855,1.5323638934497015,54,3.3586483051549574,8.280991198969822
0.0,1.0,7.5865306480258115,1971.4619399844585,51,0.9121728590024369,2.4897264848525897,28,0.5735913824152064,1.774628991870109,54,3.0240982964811516,7.5865306480258115
0.25,0.0,7.790484858494179,2417.48943836864,51,1.9455359322684151,6.997380972564293,28,0.8705288922345197,2.3881736060397607,54,3.535516560999038,7.790484858494179
0.25,0.25,8.458049400179993,4712.856129652721,51,5.001830509730747,148.68507963514676,28,3.117461663705331,22.58896841111707,54,5.52578052453869,8.458049400179993
0.25,0.5,9.645469815123315,15451.630567757866,51,5.028692790440151,152.7332278082092,28,3.0895890129937067,21.968047538102468,54,5.9212505395190576,9.645469815123315
0.25,0.75,7.977397245519302,2914.335883395118,51,1.3024693642343794,3.678368694034453,28,0.4161422208503441,1.5161014747793287,54,3.2320029435346753,7.977397245519302
0.25,1.0,7.6322293749042585,2063.645534937849,51,0.9023730821375336,2.4654468824977087,28,0.5863980540522823,1.7975022350833831,54,3.0403335036980246,7.6322293749042585
0.5,0.0,7.710146137312347,2230.868247455368,51,1.3022552558353968,3.677581208709125,28,0.4772726694742839,1.6116728381323333,54,3.163224687540676,7.710146137312347
0.5,0.25,8.524172016218596,5035.016167742934,51,4.554309436253139,95.04110063028497,28,2.718727676956742,15.161020252946015,54,5.265736376476159,8.524172016218596
0.5,0.5,9.553208295036764,14089.826555197047,51,4.609501361846924,100.434056895715,28,2.6108140592221862,13.610125791806743,54,5.591174572035292,9.553208295036764
0.5,0.75,7.900665582395067,2699.078189481237,51,1.2591802818434579,3.5225328194712358,28,0.4167399627191049,1.5170079830100653,54,3.192195275652544,7.900665582395067
0.5,1.0,7.664065641515395,2130.401293186582,51,0.894680458653186,2.44655388941939,28,0.5997046541284632,1.8215807245885087,54,3.052816918099015,7.664065641515395
0.75,0.0,7.649589089786305,2099.7825900119096,51,1.0985152806554521,2.9997089900774028,28,0.4229524577105487,1.5264617227562625,54,3.0570189427174355,7.649589089786305
0.75,0.25,8.561022290996476,5224.018911124283,51,4.044717448098319,57.095051439461244,28,2.3854184327302157,10.863607402926238,54,4.99705272394167,8.561022290996476
0.75,0.5,9.707837273092832,16445.9951905652,51,4.286907604762486,72.74117586641701,28,2.268411071212203,9.664033147767656,54,5.421051983022507,9.707837273092832
0.75,0.75,7.961614122577742,2868.6996503475934,51,1.23406754221235,3.4351738722085257,28,0.4256119551482024,1.530526746861237,54,3.207097873312765,7.961614122577742
0.75,1.0,7.723071678012025,2259.890586433877,51,0.893576778604516,2.443855166241051,28,0.6240119227656612,1.8664008978143507,54,3.080220126460734,7.723071678012025
1.0,0.0,7.541322446336933,1884.3202906445008,51,1.0376932280404227,2.82269817750099,28,0.446804302710074,1.563308334144809,54,3.008606659029143,7.541322446336933
1.0,0.25,8.453692866306678,4692.369070969032,51,3.9448508535112654,51.66863134246005,28,2.037081647802282,7.668198010398166,54,4.8118751225400755,8.453692866306678
1.0,0.5,9.779944027171416,17675.663468439434,51,4.157530716487339,63.913507018474384,28,2.0274591092710144,7.594764355286465,54,5.321644617643257,9.779944027171416
1.0,0.75,8.013153375363817,3020.426650419279,51,1.2089228289467948,3.3498743207754575,28,0.4335897145447908,1.5427857556908944,54,3.2185553062851344,8.013153375363817
1.0,1.0,7.769541572122013,2367.385763924899,51,0.8936050097857203,2.4439241601329713,28,0.6618869922779225,1.9384467194102177,54,3.1083445247285524,7.769541572122013
