method,alpha,beta,general_nll,general_ppl,general_tokens,instruction_nll,instruction_ppl,instruction_tokens,code_nll,code_ppl,code_tokens,avg_nll,worst_nll
base,0.0,0.0,7.843919941023285,2550.1818288029535,51.0,2.972834042140416,19.54723886911333,28.0,1.5430583953857422,4.678878270387777,54.0,4.119937459516481,7.843919941023285
instruct_expert,1.0,0.0,7.541322446336933,1884.3202906445008,51.0,1.0376932280404227,2.82269817750099,28.0,0.446804302710074,1.563308334144809,54.0,3.008606659029143,7.541322446336933
coder_expert,0.0,1.0,7.5865306480258115,1971.4619399844585,51.0,0.9121728590024369,2.4897264848525897,28.0,0.5735913824152064,1.774628991870109,54.0,3.0240982964811516,7.5865306480258115
linear_average,0.5,0.5,9.553208295036764,14089.826555197047,51.0,4.609501361846924,100.434056895715,28.0,2.6108140592221862,13.610125791806743,54.0,5.591174572035292,9.553208295036764
task_arithmetic_0.25,0.25,0.25,8.458049400179993,4712.856129652721,51.0,5.001830509730747,148.68507963514676,28.0,3.117461663705331,22.58896841111707,54.0,5.52578052453869,8.458049400179993
task_arithmetic_0.75,0.75,0.75,7.961614122577742,2868.6996503475934,51.0,1.23406754221235,3.4351738722085257,28.0,0.4256119551482024,1.530526746861237,54.0,3.207097873312765,7.961614122577742
validation_grid_best_avg,1.0,0.0,7.541322446336933,1884.3202906445008,51.0,1.0376932280404227,2.82269817750099,28.0,0.446804302710074,1.563308334144809,54.0,3.008606659029143,7.541322446336933
validation_grid_best_worst,1.0,0.0,7.541322446336933,1884.3202906445008,51.0,1.0376932280404227,2.82269817750099,28.0,0.446804302710074,1.563308334144809,54.0,3.008606659029143,7.541322446336933
