alpha,beta,vehicle_loss,animal_loss,vehicle_acc,animal_acc,avg_loss,worst_loss,avg_acc,worst_acc
-0.25,-0.25,1.578467305501302,1.696532666241681,0.47638888888888886,0.33611111111111114,1.6374999858714916,1.696532666241681,0.40625,0.33611111111111114
-0.25,-0.175,1.6707129584418403,1.6537017257125288,0.44305555555555554,0.3472222222222222,1.6622073420771846,1.6707129584418403,0.3951388888888889,0.3472222222222222
-0.25,-0.1,1.7872261895073784,1.6146316245750145,0.4083333333333333,0.35833333333333334,1.7009289070411966,1.7872261895073784,0.3833333333333333,0.35833333333333334
-0.25,-0.025000000000000022,1.9332068549262154,1.579197226630317,0.3597222222222222,0.3685185185185185,1.7562020407782661,1.9332068549262154,0.36412037037037037,0.3597222222222222
-0.25,0.04999999999999999,2.1147274441189237,1.5472522947523328,0.3055555555555556,0.37407407407407406,1.8309898694356281,2.1147274441189237,0.3398148148148148,0.3055555555555556
-0.25,0.125,2.33806881374783,1.5184885519522209,0.21388888888888888,0.38055555555555554,1.9282786828500253,2.33806881374783,0.2972222222222222,0.21388888888888888
-0.25,0.19999999999999996,2.609693315294054,1.492537964714898,0.14722222222222223,0.39166666666666666,2.051115640004476,2.609693315294054,0.26944444444444443,0.14722222222222223
-0.25,0.275,2.933352745903863,1.4687603420681423,0.08333333333333333,0.39537037037037037,2.2010565439860024,2.933352745903863,0.23935185185185184,0.08333333333333333
-0.25,0.35,3.3101459927029078,1.44653298413312,0.044444444444444446,0.3990740740740741,2.378339488418014,3.3101459927029078,0.22175925925925927,0.044444444444444446
-0.25,0.42499999999999993,3.735428449842665,1.4253133491233543,0.018055555555555554,0.40555555555555556,2.5803708994830097,3.735428449842665,0.21180555555555555,0.018055555555555554
-0.25,0.5,4.2001324123806425,1.4045950854266132,0.005555555555555556,0.4222222222222222,2.8023637489036277,4.2001324123806425,0.21388888888888888,0.005555555555555556
-0.25,0.575,4.692291768391927,1.3842535160205982,0.0,0.43796296296296294,3.0382726422062625,4.692291768391927,0.21898148148148147,0.0
-0.25,0.6499999999999999,5.197575378417969,1.3644363403320312,0.0,0.4462962962962963,3.281005859375,5.197575378417969,0.22314814814814815,0.0
-0.25,0.725,5.702959357367622,1.345563394052011,0.0,0.4564814814814815,3.5242613757098162,5.702959357367622,0.22824074074074074,0.0
-0.25,0.8,6.198345608181423,1.3284946441650392,0.0,0.4638888888888889,3.763420126173231,6.198345608181423,0.23194444444444445,0.0
-0.25,0.875,6.6768378363715275,1.3143913763540762,0.0,0.4675925925925926,3.995614606362802,6.6768378363715275,0.2337962962962963,0.0
-0.25,0.95,7.13363291422526,1.3047551331696687,0.0,0.47962962962962963,4.219194023697464,7.13363291422526,0.23981481481481481,0.0
