lambda,vehicle_loss,animal_loss,vehicle_acc,animal_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.0,1.3742486317952474,1.6464804048891422,0.5222222222222223,0.37592592592592594,1.5103645183421948,1.6464804048891422,0.44907407407407407,0.37592592592592594
0.0375,1.346337127685547,1.6449300624706127,0.5375,0.37407407407407406,1.49563359507808,1.6449300624706127,0.45578703703703705,0.37407407407407406
0.075,1.3199638366699218,1.6458216843781648,0.5458333333333333,0.375,1.4828927605240434,1.6458216843781648,0.46041666666666664,0.375
0.11249999999999999,1.2954874674479167,1.6497144063313802,0.5513888888888889,0.38055555555555554,1.4726009368896484,1.6497144063313802,0.46597222222222223,0.38055555555555554
0.15,1.2732559627956814,1.657256543194806,0.5555555555555556,0.37777777777777777,1.4652562529952438,1.657256543194806,0.4666666666666667,0.37777777777777777
0.1875,1.253870964050293,1.669238676848235,0.5597222222222222,0.3712962962962963,1.461554820449264,1.669238676848235,0.46550925925925923,0.3712962962962963
0.22499999999999998,1.237586424085829,1.6867832042552806,0.5652777777777778,0.37037037037037035,1.4621848141705547,1.6867832042552806,0.46782407407407406,0.37037037037037035
0.2625,1.2249601364135743,1.7111610341955115,0.5666666666666667,0.36203703703703705,1.468060585304543,1.7111610341955115,0.46435185185185185,0.36203703703703705
0.3,1.2165796915690104,1.7438136206732855,0.5722222222222222,0.3527777777777778,1.480196656121148,1.7438136206732855,0.4625,0.3527777777777778
0.33749999999999997,1.2128569497002495,1.786528679176613,0.5694444444444444,0.3416666666666667,1.4996928144384314,1.786528679176613,0.45555555555555555,0.3416666666666667
0.375,1.214424302842882,1.8410950766669378,0.5625,0.3287037037037037,1.52775968975491,1.8410950766669378,0.44560185185185186,0.3287037037037037
0.4125,1.2219649844699436,1.9091812133789063,0.5680555555555555,0.3055555555555556,1.565573098924425,1.9091812133789063,0.43680555555555556,0.3055555555555556
0.44999999999999996,1.2361584769354925,1.992294544643826,0.5680555555555555,0.2833333333333333,1.6142265107896594,1.992294544643826,0.42569444444444443,0.2833333333333333
0.4875,1.2575955284966363,2.0913224043669523,0.5513888888888889,0.2601851851851852,1.6744589664317941,2.0913224043669523,0.40578703703703706,0.2601851851851852
0.525,1.286897447374132,2.206110735292788,0.5416666666666666,0.22777777777777777,1.7465040913334597,2.206110735292788,0.3847222222222222,0.22777777777777777
0.5625,1.3248138427734375,2.3352506001790365,0.5125,0.18055555555555555,1.830032221476237,2.3352506001790365,0.34652777777777777,0.18055555555555555
0.6,1.371750725640191,2.4758037284568504,0.48333333333333334,0.15092592592592594,1.9237772270485207,2.4758037284568504,0.31712962962962965,0.15092592592592594
0.6375,1.4281373765733507,2.624189277931496,0.44583333333333336,0.11851851851851852,2.0261633272524233,2.624189277931496,0.28217592592592594,0.11851851851851852
0.6749999999999999,1.4939053429497613,2.776091130574544,0.4,0.09722222222222222,2.1349982367621525,2.776091130574544,0.24861111111111112,0.09722222222222222
0.7125,1.5687449985080295,2.927757418597186,0.35555555555555557,0.07962962962962963,2.248251208552608,2.927757418597186,0.21759259259259262,0.07962962962962963
0.75,1.6520890977647569,3.07587855303729,0.32083333333333336,0.06944444444444445,2.3639838254010233,3.07587855303729,0.19513888888888892,0.06944444444444445
0.7875,1.7423311869303386,3.217775740446868,0.29583333333333334,0.06388888888888888,2.4800534636886034,3.217775740446868,0.1798611111111111,0.06388888888888888
0.825,1.8380530463324654,3.3522724010326246,0.2611111111111111,0.058333333333333334,2.595162723682545,3.3522724010326246,0.15972222222222224,0.058333333333333334
0.8624999999999999,1.9371905856662326,3.4779738108317058,0.2388888888888889,0.05185185185185185,2.707582198248969,3.4779738108317058,0.14537037037037037,0.05185185185185185
0.8999999999999999,2.037249204847548,3.595022752549913,0.21666666666666667,0.05092592592592592,2.8161359786987306,3.595022752549913,0.1337962962962963,0.05092592592592592
0.9375,2.136351140340169,3.703022031430845,0.2,0.04722222222222222,2.919686585885507,3.703022031430845,0.12361111111111112,0.04722222222222222
0.975,2.232716581556532,3.803197705304181,0.17916666666666667,0.046296296296296294,3.0179571434303565,3.803197705304181,0.11273148148148149,0.046296296296296294
1.0125,2.324694612291124,3.895649634467231,0.1736111111111111,0.04722222222222222,3.1101721233791775,3.895649634467231,0.11041666666666666,0.04722222222222222
1.05,2.410851245456272,3.9813806180600766,0.16805555555555557,0.041666666666666664,3.1961159317581744,3.9813806180600766,0.10486111111111111,0.041666666666666664
1.0875,2.4905970255533854,4.061427307128906,0.15833333333333333,0.044444444444444446,3.276012166341146,4.061427307128906,0.10138888888888889,0.044444444444444446
1.125,2.563844977484809,4.136622435958297,0.1527777777777778,0.04351851851851852,3.350233706721553,4.136622435958297,0.09814814814814815,0.04351851851851852
1.1624999999999999,2.6302064683702255,4.2084017718279805,0.15416666666666667,0.04537037037037037,3.419304120099103,4.2084017718279805,0.09976851851851852,0.04537037037037037
1.2,2.690043724907769,4.276653459337022,0.15416666666666667,0.05277777777777778,3.483348592122396,4.276653459337022,0.10347222222222223,0.05277777777777778
1.2375,2.743805355495877,4.342709265814888,0.1597222222222222,0.05555555555555555,3.543257310655382,4.342709265814888,0.10763888888888888,0.05555555555555555
1.275,2.7919666714138454,4.406866313793041,0.16527777777777777,0.058333333333333334,3.599416492603443,4.406866313793041,0.11180555555555555,0.058333333333333334
1.3125,2.8354478624131945,4.47048787717466,0.1625,0.05648148148148148,3.6529678697939274,4.47048787717466,0.10949074074074075,0.05648148148148148
1.3499999999999999,2.874652777777778,4.533258508752893,0.16944444444444445,0.05648148148148148,3.7039556432653358,4.533258508752893,0.11296296296296296,0.05648148148148148
1.3875,2.909889984130859,4.595827893857603,0.16944444444444445,0.058333333333333334,3.752858938994231,4.595827893857603,0.1138888888888889,0.058333333333333334
1.425,2.9422843085394965,4.658518784134476,0.17916666666666667,0.05925925925925926,3.8004015463369862,4.658518784134476,0.11921296296296297,0.05925925925925926
1.4625,2.9720174153645833,4.721859289098669,0.18611111111111112,0.06018518518518518,3.846938352231626,4.721859289098669,0.12314814814814815,0.06018518518518518
1.5,2.999375830756293,4.785245344373915,0.1875,0.05925925925925926,3.8923105875651043,4.785245344373915,0.12337962962962963,0.05925925925925926
