alpha,beta,general_nll,general_ppl,general_tokens,instruction_nll,instruction_ppl,instruction_tokens,code_nll,code_ppl,code_tokens,avg_nll,worst_nll,uniform_worst_gain,uniform_avg_gain,nonzero_source_count,uses_both_sources,selection_status
0.25,1.0,7.632229374904258,2063.645534937849,51,0.9023730821375336,2.4654468824977087,28,0.5863980540522823,1.7975022350833831,54,3.040333503698025,7.632229374904258,1.920978920132507,2.5508410683372666,2,True,eligible
0.75,0.0,7.649589089786305,2099.7825900119096,51,1.098515280655452,2.9997089900774028,28,0.4229524577105487,1.5264617227562625,54,3.0570189427174355,7.649589089786305,1.9036192052504592,2.534155629317856,1,False,eligible
0.5,1.0,7.664065641515395,2130.401293186582,51,0.894680458653186,2.44655388941939,28,0.5997046541284632,1.8215807245885087,54,3.052816918099015,7.664065641515395,1.8891426535213691,2.5383576539362767,2,True,eligible
0.5,0.0,7.710146137312347,2230.868247455368,51,1.3022552558353968,3.677581208709125,28,0.4772726694742839,1.6116728381323333,54,3.163224687540676,7.710146137312347,1.8430621577244173,2.4279498844946157,1,False,eligible
0.75,1.0,7.723071678012025,2259.890586433877,51,0.893576778604516,2.443855166241051,28,0.6240119227656612,1.8664008978143507,54,3.080220126460734,7.723071678012025,1.8301366170247393,2.5109544455745576,2,True,eligible
1.0,1.0,7.769541572122013,2367.385763924899,51,0.8936050097857203,2.4439241601329718,28,0.6618869922779225,1.9384467194102175,54,3.1083445247285524,7.769541572122013,1.7836667229147514,2.4828300473067393,2,True,eligible
0.25,0.0,7.790484858494179,2417.48943836864,51,1.9455359322684151,6.997380972564293,28,0.8705288922345197,2.3881736060397607,54,3.535516560999038,7.790484858494179,1.7627234365425855,2.0556580110362535,1,False,eligible
0.5,0.75,7.900665582395067,2699.078189481237,51,1.259180281843458,3.522532819471236,28,0.4167399627191049,1.5170079830100651,54,3.192195275652544,7.900665582395067,1.6525427126416972,2.398979296382748,2,True,eligible
0.75,0.75,7.961614122577742,2868.699650347593,51,1.23406754221235,3.4351738722085257,28,0.4256119551482024,1.530526746861237,54,3.207097873312765,7.961614122577742,1.5915941724590228,2.384076698722527,2,True,eligible
0.25,0.75,7.977397245519302,2914.335883395118,51,1.3024693642343794,3.678368694034453,28,0.4161422208503441,1.5161014747793289,54,3.2320029435346758,7.977397245519302,1.5758110495174629,2.359171628500616,2,True,eligible
1.0,0.75,8.013153375363817,3020.426650419279,51,1.2089228289467948,3.349874320775457,28,0.4335897145447908,1.5427857556908944,54,3.2185553062851344,8.013153375363817,1.5400549196729472,2.3726192657501572,2,True,eligible
0.0,0.75,8.280991198969822,3948.105801565795,51,1.3681421450206213,3.9280461720589273,28,0.4268115714744285,1.5323638934497017,54,3.3586483051549574,8.280991198969822,1.2722170960669423,2.2325262668803343,1,False,eligible
0.0,0.25,8.336891922296262,4175.093040958909,51,5.463976791926792,236.03421938930063,28,3.661626745153357,38.924611819776565,54,5.8208318197921365,8.336891922296262,1.2163163727405024,-0.22965724775684482,1,False,reject_small_avg_gain
1.0,0.25,8.453692866306678,4692.369070969032,51,3.9448508535112654,51.66863134246005,28,2.037081647802282,7.668198010398166,54,4.811875122540076,8.453692866306678,1.0995154287300863,0.7792994494952152,2,True,reject_small_avg_gain
0.25,0.25,8.458049400179993,4712.856129652721,51,5.001830509730747,148.68507963514676,28,3.117461663705331,22.58896841111707,54,5.52578052453869,8.458049400179993,1.0951588948567714,0.06539404749660171,2,True,reject_small_avg_gain
0.5,0.25,8.524172016218596,5035.016167742934,51,4.554309436253139,95.04110063028496,28,2.718727676956742,15.161020252946017,54,5.265736376476159,8.524172016218596,1.0290362788181682,0.32543819555913256,2,True,reject_small_avg_gain
0.75,0.25,8.561022290996476,5224.018911124283,51,4.044717448098319,57.09505143946125,28,2.385418432730216,10.863607402926238,54,4.99705272394167,8.561022290996476,0.9921860040402883,0.5941218480936215,2,True,reject_small_avg_gain
0.25,0.5,9.645469815123317,15451.630567757866,51,5.028692790440151,152.7332278082092,28,3.0895890129937067,21.968047538102468,54,5.9212505395190576,9.645469815123317,-0.0922615200865522,-0.3300759674837659,2,True,reject_small_avg_gain
0.75,0.5,9.707837273092832,16445.9951905652,51,4.286907604762486,72.74117586641701,28,2.268411071212203,9.664033147767656,54,5.421051983022507,9.707837273092832,-0.154628978056067,0.17012258901278443,2,True,reject_small_avg_gain
0.0,0.5,9.7594840853822,17317.694917966044,51,5.34872225352696,210.33936570703057,28,3.246214266176577,25.69288913280317,54,6.118140201695245,9.7594840853822,-0.20627579034543508,-0.5269656296599532,1,False,reject_small_avg_gain
1.0,0.5,9.779944027171416,17675.663468439434,51,4.157530716487339,63.913507018474384,28,2.0274591092710144,7.594764355286465,54,5.321644617643257,9.779944027171416,-0.22673573213465126,0.2695299543920351,2,True,reject_small_avg_gain
