layer_id,expert_id,total_topk_fraction,dominant_source,base_instruct_weight,base_coder_weight,layer_chunk_weight_instruct,layer_chunk_weight_coder,layer_chunk_coder_coefficient,base_expected_delta,layer_chunk_expected_relative_delta,mechanism_risk_score,layer_importance_score,chunk_policy,trust_risk_flags,tensor_pattern
0,0,0.116096832058838,instruct,0.5887152819732412,0.2612847180267588,0.5887152819732412,0.2612847180267588,1.0,0.2731123553081956,0.2731123553081956,0.2891898251415868,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.0\..*
0,1,0.1534687074952296,instruct,0.6292644816793471,0.2207355183206529,0.6292644816793471,0.2207355183206529,1.0,0.2405271261440417,0.2405271261440417,0.2457376625800034,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.1\..*
0,2,0.114722902294683,instruct,0.65314308641446,0.1968569135855399,0.65314308641446,0.1968569135855399,1.0,0.2023936860414864,0.2023936860414864,0.2479131319352871,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.2\..*
0,3,0.2524841095014548,instruct,0.700127571218501,0.1498724287814989,0.700127571218501,0.1498724287814989,1.0,0.159140282658745,0.159140282658745,0.2658615437741881,0.3793871702695348,coarse_shared_coefficients,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.3\..*
0,4,0.022112887112887,instruct,0.6651965213462835,0.1848034786537165,0.6651965213462835,0.1848034786537165,1.0,0.181967564690576,0.181967564690576,0.2254004955959733,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.4\..*
0,6,0.0104895104895104,instruct,0.4604166666666638,0.389583333333336,0.4604166666666638,0.389583333333336,1.0,0.4726987828423757,0.4726987828423757,0.4283782605049794,0.3793871702695348,coarse_shared_coefficients,low_route_evidence,.*layers\.0\..*experts\.6\..*
0,7,0.0576477366024777,instruct,0.6635724475899085,0.1864275524100914,0.6635724475899085,0.1864275524100914,1.0,0.1953359679555319,0.1953359679555319,0.2226728711660241,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.7\..*
0,8,0.0056818181818181,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.1592274998831166,0.3793871702695348,coarse_shared_coefficients,low_route_evidence,.*layers\.0\..*experts\.8\..*
0,10,0.013284703801945,coder,0.0,0.6673397237375203,0.0,0.6673397237375203,1.0,0.65,0.65,0.4510456298882251,0.3793871702695348,coarse_shared_coefficients,delta_above_base_cap|low_route_evidence,.*layers\.0\..*experts\.10\..*
0,11,0.0422813204245696,instruct,0.7633472401841254,0.0866527598158745,0.7633472401841254,0.0866527598158745,1.0,0.0873145280115735,0.0873145280115735,0.1688773732164142,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.11\..*
0,12,0.3139700597071629,instruct,0.6791503055385913,0.1708496944614086,0.6791503055385913,0.1708496944614086,1.0,0.1819758164878718,0.1819758164878718,0.2999533118484708,0.3793871702695348,coarse_shared_coefficients,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.12\..*
0,13,0.0329662407484986,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.1096715090942163,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.13\..*
0,14,0.0416594108176767,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.1220087184354735,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.14\..*
0,15,0.0043103448275862,instruct,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2536036033206013,0.3793871702695348,coarse_shared_coefficients,low_route_evidence,.*layers\.0\..*experts\.15\..*
0,16,0.1908892842303227,instruct,0.6725359017319894,0.1774640982680105,0.6725359017319894,0.1774640982680105,1.0,0.1917031652399151,0.1917031652399151,0.2291658091475449,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.16\..*
0,17,0.0620432969537874,instruct,0.6089458963433018,0.2410541036566983,0.6089458963433018,0.2410541036566983,1.0,0.2641377595508776,0.2641377595508776,0.2802180601606516,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.17\..*
0,18,0.0485436921254494,instruct,0.555650879077711,0.2943491209222889,0.555650879077711,0.2943491209222889,1.0,0.314690071998594,0.314690071998594,0.3160657967124176,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.18\..*
0,19,0.0037878787878787,instruct,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2555484079140445,0.3793871702695348,coarse_shared_coefficients,low_route_evidence,.*layers\.0\..*experts\.19\..*
0,20,0.0398541114058355,coder,0.0,0.6746151951584083,0.0,0.6746151951584083,1.0,0.65,0.65,0.3928420971621948,0.3793871702695348,coarse_shared_coefficients,delta_above_base_cap,.*layers\.0\..*experts\.20\..*
0,21,0.1906991383546927,instruct,0.6566441731992878,0.1933558268007122,0.6566441731992878,0.1933558268007122,1.0,0.2176586766993709,0.2176586766993709,0.2396790787276704,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.21\..*
0,22,0.043810664736172,instruct,0.7663721179417923,0.0836278820582076,0.7663721179417923,0.0836278820582076,1.0,0.088153945934195,0.088153945934195,0.1765436102699161,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.22\..*
0,23,0.1667380268160645,instruct,0.6428307442145799,0.2071692557854201,0.6428307442145799,0.2071692557854201,1.0,0.2335772342195629,0.2335772342195629,0.2581248649083848,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.23\..*
0,24,0.0230923961096374,coder,0.1840432660093814,0.6167414008066517,0.1840432660093814,0.6167414008066517,1.0,0.65,0.65,0.4458462269727691,0.3793871702695348,coarse_shared_coefficients,category_source_mismatch,.*layers\.0\..*experts\.24\..*
0,26,0.0264356153903565,instruct,0.5774336283185847,0.2725663716814153,0.5774336283185847,0.2725663716814153,1.0,0.2911027804821234,0.2911027804821234,0.3015430995974186,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.26\..*
0,27,0.1133070021955238,instruct,0.5860129375006541,0.2639870624993459,0.5860129375006541,0.2639870624993459,1.0,0.2770217608607018,0.2770217608607018,0.2902223904657758,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.27\..*
0,28,0.1565661901131864,coder,0.3685410434805189,0.481458956519481,0.3685410434805189,0.481458956519481,1.0,0.4959347556616312,0.4959347556616312,0.3785776634257843,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.28\..*
0,29,0.1582732397260691,instruct,0.6591136464774362,0.1908863535225637,0.6591136464774362,0.1908863535225637,1.0,0.2054793832344006,0.2054793832344006,0.2511234806314902,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.29\..*
0,30,0.0675579260028993,instruct,0.5201589456573632,0.3298410543426368,0.5201589456573632,0.3298410543426368,1.0,0.3658425309925012,0.3658425309925012,0.3499840679302581,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.30\..*
0,31,0.0977673167465643,instruct,0.5496265024695635,0.3003734975304364,0.5496265024695635,0.3003734975304364,1.0,0.3109944213716931,0.3109944213716931,0.3106726284759894,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.31\..*
0,32,0.0417322546405206,instruct,0.7520772182873973,0.0979227817126028,0.7520772182873973,0.0979227817126028,1.0,0.106644098507216,0.106644098507216,0.1815138001779788,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.32\..*
0,33,0.062295025203291,instruct,0.7844002438685496,0.0655997561314504,0.7844002438685496,0.0655997561314504,1.0,0.0667491527517101,0.0667491527517101,0.1699580643259941,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.33\..*
0,34,0.1228533370481017,instruct,0.7282630436058416,0.1217369563941584,0.7282630436058416,0.1217369563941584,1.0,0.1320935698071781,0.1320935698071781,0.2113797440184718,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.34\..*
0,35,0.043553350211616,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.1233687529794323,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.35\..*
0,36,0.1993175781045979,instruct,0.5477390992234467,0.3022609007765533,0.5477390992234467,0.3022609007765533,1.0,0.3439618114169721,0.3439618114169721,0.4374766829095319,0.3793871702695348,coarse_shared_coefficients,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.36\..*
0,37,0.0331107954545452,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.1124273952021173,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.37\..*
0,38,0.0309333052005464,coder,0.3528485771730547,0.4971514228269453,0.3528485771730547,0.4971514228269453,1.0,0.5147444256435205,0.5147444256435205,0.3882098032245735,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.38\..*
0,39,0.0146153846153846,coder,0.2907894736842109,0.5592105263157893,0.2907894736842109,0.5592105263157893,1.0,0.5514423632385211,0.5514423632385211,0.4322715990831881,0.3793871702695348,coarse_shared_coefficients,low_route_evidence,.*layers\.0\..*experts\.39\..*
