layer_id,layer_importance_score,layer_importance_norm,chunk_policy,recommended_coefficient_slots,calibrate_fraction,router_relative_delta_norm,min_topk_jaccard,selected_layer_coder_coefficient,schedule_id
13,0.8075863721114475,0.8928513371729874,two_layer_chunk_coefficients,2,1.0,0.8552697694255701,0.3821325341325341,0.9799999999999999,policy_095_098_100
24,0.8000753605422308,0.8826428409804641,two_layer_chunk_coefficients,2,1.0,0.7477831465589972,0.2906350060196214,0.98,policy_095_098_100
19,0.7772552293141712,0.851627148805352,two_layer_chunk_coefficients,2,1.0,0.825168190782946,0.3226645149722073,0.98,policy_095_098_100
11,0.7539249637553119,0.8199181140191077,two_layer_chunk_coefficients,2,1.0,0.8190916285127567,0.3761518175311278,0.98,policy_095_098_100
15,0.7347711847499971,0.7938854980064309,two_layer_chunk_coefficients,2,1.0,0.8246392779696452,0.3414746173366863,0.98,policy_095_098_100
9,0.7236159481055219,0.7787239994835763,two_layer_chunk_coefficients,2,0.9166666666666666,0.7871759438050421,0.4124371355140586,0.98,policy_095_098_100
16,0.723072612746112,0.777985532115142,two_layer_chunk_coefficients,2,1.0,0.8175587948553278,0.3377533577533577,0.98,policy_095_098_100
25,0.7198292347639553,0.7735773360317463,two_layer_chunk_coefficients,2,1.0,0.7017186652539982,0.3745800865800865,0.9799999999999999,policy_095_098_100
4,0.7118841605780624,0.7627788891343382,two_layer_chunk_coefficients,2,0.9166666666666666,0.7927252544903206,0.4312431158585005,0.9799999999999999,policy_095_098_100
29,0.6851972114215917,0.7265076603732956,two_layer_chunk_coefficients,2,1.0,0.5621192438365952,0.3615321186749757,0.98,policy_095_098_100
10,0.6793855940158577,0.7186088742228404,two_layer_chunk_coefficients,2,1.0,0.8216976078230216,0.397010101010101,0.98,policy_095_098_100
30,0.6607297373217993,0.6932530030096877,two_layer_chunk_coefficients,2,0.9166666666666666,0.5163726559826564,0.3391561843174746,0.98,policy_095_098_100
