layer_id,expert_id,total_topk_fraction,dominant_source,dominant_category,original_weight_instruct,original_weight_coder,prior_scale,prior_weight_instruct,prior_weight_coder,mechanistic_selected_scale,mechanistic_scale_delta_vs_prior,mechanistic_weight_instruct,mechanistic_weight_coder,audit_max_relative_delta_norm,mechanistic_expected_max_relative_delta_norm,benefit_score,curvature_score,interference_score,local_curvature_proxy,marginal_interference_proxy,marginal_benefit_proxy,route_mass_pressure,coder_route_share,category_coder_prior,feature_subspace_conflict,feature_subspace_route_conflict,feature_expert_route_geometry,feature_expert_internal_geometry,feature_router_instability,load_pressure,delta_pressure,mechanistic_reason,mechanistic_action,trust_risk_flags,feedback_action,tensor_pattern
0,0,0.116096832058838,instruct,math,0.5887152819732412,0.2612847180267588,1.0,0.5887152819732412,0.2612847180267588,0.9910154796401947,-0.008984520359805348,0.5887152819732412,0.25893720015794136,0.2731123553081956,0.2706585717914147,0.2863436311531587,0.36231208362226763,0.29582791088822785,0.8521617505200818,0.4493676796991076,0.30168884356768927,0.34302100789764034,0.3073937859138341,0.48,0.4314787528541759,0.2967441934504934,0.4207294718787027,0.4014014504020108,0.0180180166030063,0.2333765512131884,0.34467694248668196,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.0\..*
0,1,0.1534687074952296,instruct,general,0.6292644816793471,0.2207355183206529,1.0,0.6292644816793471,0.2207355183206529,0.987922933576998,-0.012077066423001992,0.6292644816793471,0.21806968080397862,0.2405271261440417,0.23762226406506634,0.2820110731866494,0.4716378628269143,0.3499868621728502,1.0489481530884457,0.5224822639333478,0.3132805885179002,0.4584098821044842,0.25968884508312123,0.34,0.7018821237601537,0.5251277967269165,0.5737302949640655,0.6605213612484936,0.0180180166030063,0.16647527319874178,0.3035532915780503,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.1\..*
0,2,0.114722902294683,instruct,safety,0.65314308641446,0.1968569135855399,1.0,0.65314308641446,0.1968569135855399,0.9905870696571929,-0.009412930342807102,0.65314308641446,0.1950039131704592,0.2023936860414864,0.2004885683729539,0.201176271542186,0.34634169198749276,0.257241156796235,0.8234150455774869,0.39727556167491723,0.24131637188969346,0.3387788817834464,0.23159636892416463,0.12,0.4352771007169292,0.2983893825718809,0.4226437446450199,0.4071365964884955,0.0180180166030063,0.23493239488794349,0.2554276125833535,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.2\..*
0,3,0.2524841095014548,instruct,safety,0.700127571218501,0.1498724287814989,1.0,0.700127571218501,0.1498724287814989,0.9935320311864684,-0.0064679688135316216,0.700127571218501,0.14890305858613193,0.159140282658745,0.15811096827353163,0.30960550486981436,0.4027894328304254,0.34165202448448506,0.9250209790947657,0.5112302330540549,0.37674329446765265,0.7641284373876586,0.1763205044488223,0.12,0.4870092195591894,0.4423439413358345,0.5789775946439433,0.4458336315476858,0.0180180166030063,0.48769715189422597,0.20084036839484776,balanced,shrink_from_prior,high_load_expert|shared_mixed_expert,unchanged,.*layers\.0\..*experts\.3\..*
0,4,0.022112887112887,instruct,general,0.6651965213462835,0.1848034786537165,1.0,0.6651965213462835,0.1848034786537165,0.9910431181690641,-0.008956881830935903,0.6651965213462835,0.18314821573346926,0.181967564690576,0.18033770271657934,0.14567452814908194,0.28507735806119316,0.20257468062450756,0.7131392445101477,0.32347581884308524,0.1835846760722723,0.052837508295395734,0.21741585723966647,0.34,0.3694703525897706,0.1979467972497355,0.3010905386488927,0.3415211678991042,0.0180180166030063,0.09801815150954006,0.22964916310182448,balanced,shrink_from_prior,,unchanged,.*layers\.0\..*experts\.4\..*
0,6,0.0104895104895104,instruct,math,0.4604166666666638,0.389583333333336,1.0,0.4604166666666638,0.389583333333336,0.9713349084338695,-0.028665091566130507,0.4604166666666638,0.3784158914106976,0.4726987828423757,0.45914882894900055,0.24088424875319236,0.5340242951777918,0.4912973002455751,1.1612437313200252,0.7132513553315265,0.23432360933405544,0.01694933497274937,0.45833333333333653,0.48,0.8187048475521418,0.4232395903476638,0.5039404975484232,0.7779927539059748,0.0180180166030063,0.03889609186886473,0.596561700782187,balanced,shrink_from_prior,low_route_evidence,unchanged,.*layers\.0\..*experts\.6\..*
0,7,0.0576477366024777,instruct,math,0.6635724475899085,0.1864275524100914,1.0,0.6635724475899085,0.1864275524100914,0.9914530823281325,-0.008546917671867549,0.6635724475899085,0.18483417146787456,0.1953359679555319,0.19366644751906142,0.2016524260389088,0.3395959087627388,0.23301644785181608,0.8112726357729299,0.3645722045999517,0.22565960507679883,0.16255440716209638,0.21932653224716675,0.48,0.4733146980581704,0.2807801742376942,0.3823425819051483,0.442780800631595,0.0180180166030063,0.1166882756065942,0.24652053590403364,balanced,shrink_from_prior,,unchanged,.*layers\.0\..*experts\.7\..*
0,8,0.0056818181818181,instruct,math,0.85,0.0,1.0,0.85,0.0,0.9889706428788185,-0.011029357121181471,0.85,0.0,0.0,0.0,0.07743155165344313,0.3193239665527584,0.19810392942869443,0.7747831397949652,0.31744030472873747,0.14266070644610684,0.0021051721781438102,0.0,0.48,0.5868315121866022,0.2988075318344964,0.3868584587912838,0.5516030915113136,0.0180180166030063,0.03889609186886473,0.0,balanced,shrink_from_prior,low_route_evidence,unchanged,.*layers\.0\..*experts\.8\..*
0,10,0.013284703801945,coder,code,0.0,0.85,0.7490805105421554,0.0,0.636718433960832,0.7688907677465291,0.019810257204373682,0.0,0.6535571525845497,0.827914149791135,0.6365755462611207,0.7076739202971284,0.42782159045036394,0.1452073263985065,0.9700788628106551,0.2460298906379838,0.6473666060544955,0.025579734323761157,1.0,1.0,0.3550959460946118,0.1851762886272227,0.2832980869248952,0.3479454618412018,0.0180180166030063,0.0,1.0,preserve_benefit_but_delta_cap_limited,restore_from_prior,delta_above_base_cap|low_route_evidence,unchanged,.*layers\.0\..*experts\.10\..*
0,11,0.0422813204245696,instruct,math,0.7633472401841254,0.0866527598158745,1.0,0.7633472401841254,0.0866527598158745,0.9962920184290072,-0.0037079815709928354,0.7633472401841254,0.08633145297940158,0.0873145280115735,0.08699076735082664,0.14669810784447299,0.28082161132825717,0.15244867299875928,0.705478900390863,0.255805708548325,0.18828280027848882,0.11510927783267438,0.10194442331279385,0.48,0.4014552280233462,0.2281759942248745,0.3347009685376317,0.3644674848574895,0.0180180166030063,0.15558436747545895,0.11019385965067613,balanced,shrink_from_prior,,unchanged,.*layers\.0\..*experts\.11\..*
