candidate_id,benefit_gain,curvature_gain,interference_gain,step_size,group_count,scaled_group_count,restored_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,hard_cap_violation_count,nonbase_mass_retention,route_mass_weighted_predicted_delta,risk_weighted_predicted_delta,benefit_weighted_scale,mean_mechanistic_loss_proxy,mean_scale,min_scale,high_benefit_low_risk_group_count,high_benefit_low_risk_mean_scale,high_interference_low_benefit_group_count,high_interference_low_benefit_mean_scale,high_subspace_group_count,high_subspace_mean_scale,mechanistic_objective,passes_hard_cap
s0.08_b1.40_h1.00_i1.25,1.4,1.0,1.25,0.08,5243,5197,32,0.65,0.6264493660869804,0,0.9493544937887797,0.21155115585044726,0.22658750700051722,0.9597564855013963,0.02746727216761905,0.949633531727675,0.42316935522339016,186,0.850242035901973,314,0.9533093187824255,1139,0.9259439597740791,0.21712970225126302,True
s0.12_b1.65_h0.75_i1.00,1.65,0.75,1.0,0.12,5243,5041,139,0.65,0.6406073325864015,0,0.9489548003465518,0.21136560800447715,0.22620403830862376,0.9592946063191174,0.027085334687431913,0.9454517776491244,0.42653632617630416,186,0.8621575989646003,314,0.9413928816997686,1139,0.9171836170788004,0.21722336164501627,True
s0.08_b1.40_h1.25_i1.25,1.4,1.25,1.25,0.08,5243,5214,17,0.65,0.6244771555952477,0,0.948864990970184,0.21144172701823136,0.22646890082269694,0.9593938929008151,0.02744167602705212,0.9493394198796288,0.4215404248893158,186,0.848159122510607,314,0.9530587718819793,1139,0.9256663752803799,0.2182011788526677,True
s0.12_b1.65_h1.00_i1.00,1.65,1.0,1.0,0.12,5243,5098,86,0.65,0.6343626151785134,0,0.9478299263625228,0.21111044324751968,0.22592175487731314,0.9584675903079477,0.027024785018051303,0.9447676187611548,0.4222224507899681,186,0.857965025670578,314,0.9407937895837158,1139,0.9164973183208623,0.21966512393021656,True
s0.12_b1.15_h0.75_i0.75,1.15,0.75,0.75,0.12,5243,5132,69,0.65,0.6309702136073856,0,0.9477878471945492,0.2111176486113419,0.22594768389545453,0.9584675077119156,0.027104996742452408,0.9461004716088247,0.42127810045213515,186,0.8553561045320739,314,0.942779842765649,1139,0.9186021883200932,0.21989262739961865,True
s0.08_b0.90_h0.75_i1.00,0.9,0.75,1.0,0.08,5243,5227,10,0.65,0.6237354384221031,0,0.947706651283718,0.21119651240592693,0.22621391064084276,0.958132106015725,0.027366392974686897,0.949226294494004,0.4218258997436693,186,0.846638248595573,314,0.9531034851853838,1139,0.9260194675312796,0.22091021248180953,True
s0.12_b1.65_h1.25_i1.00,1.65,1.25,1.0,0.12,5243,5130,59,0.65,0.6299200326151162,0,0.9468050988642077,0.2108788808440877,0.22566566584324319,0.9577024074418696,0.026967912472161928,0.9441592713309371,0.419051693915046,186,0.8542603668020603,314,0.9402239431216683,1139,0.9159024182450985,0.22189435956279888,True
s0.08_b0.90_h1.00_i1.00,0.9,1.0,1.0,0.08,5243,5238,2,0.6459761301408142,0.6221726707922685,0,0.9471610312116736,0.2110747105048294,0.22608166135370367,0.957726749928518,0.027337687768502622,0.9489030627423671,0.42004040967700457,186,0.8444985050489059,314,0.9528096598704912,1139,0.9257048959220275,0.22210484156338592,True
s0.12_b1.15_h1.00_i0.75,1.15,1.0,0.75,0.12,5243,5167,37,0.65,0.626571737022645,0,0.9465319685176767,0.21083415526089572,0.22563352530250347,0.9575242731773915,0.02703444370680905,0.945359311707077,0.4175057076063146,186,0.8509136449798872,314,0.9420453293688651,1139,0.9178640609545943,0.2226252864327515,True
s0.16_b1.40_h0.75_i0.75,1.4,0.75,0.75,0.16,5243,4992,140,0.65,0.6426035040227185,0,0.9462320624694197,0.21068484533191473,0.22532074885559383,0.9569841418019832,0.026656513830969588,0.9409723704947011,0.4222802020150642,186,0.8629274231833847,314,0.9303067053629477,1139,0.909094046609485,0.22262883269008923,True
