method,worst,avg,domain_0,domain_1,domain_2,domain_3
base,0.06196586787700653,0.049209811724722385,0.0454120934009552,0.06196586787700653,0.05291483923792839,0.03654644638299942
expert_A,0.17977066338062286,0.08581133093684912,0.021082689985632896,0.02288038097321987,0.17977066338062286,0.11951158940792084
expert_B,0.1467285454273224,0.07498275861144066,0.1310376226902008,0.1467285454273224,0.011123918928205967,0.011040947400033474
uniform_same_name,0.052425507456064224,0.04409868223592639,0.028675222769379616,0.052425507456064224,0.052356719970703125,0.042937278747558594
uniform_aligned,0.052425507456064224,0.04409868223592639,0.028675222769379616,0.052425507456064224,0.052356719970703125,0.042937278747558594
uniform_aligned_routercal,0.050811491906642914,0.04276880715042353,0.040656134486198425,0.050811491906642914,0.046828947961330414,0.032778654247522354
fisher_aligned,0.070725217461586,0.05144653655588627,0.023825407028198242,0.06722064316272736,0.070725217461586,0.04401487857103348
fisher_aligned_routercal,0.06487413495779037,0.048427682369947433,0.03312236815690994,0.06442577391862869,0.06487413495779037,0.031288452446460724
uniform_same_name_routercal,0.050811491906642914,0.04276880715042353,0.040656134486198425,0.050811491906642914,0.046828947961330414,0.032778654247522354
