projection,tensor_count,mean_relative_delta,p95_relative_delta,max_relative_delta,mean_cosine,min_cosine,max_channel_relative_delta,max_chunk_relative_delta,max_top_10pct_channel_delta_energy_fraction
gate_proj,6144,1.0617324792137808,1.2727091462756857,1.5614579191583644,0.38458989953048756,-0.0001841665670847953,66.40886688232422,1.5888352171308187,0.26863607978377496
up_proj,6144,1.0864285527234545,1.288373062297442,1.5358615071647355,0.35860266041590677,-0.00035327456930550155,74.8079605102539,1.5469169982011368,0.26257523742795136
down_proj,6144,1.037962000161355,1.262546617754669,1.4928492565858533,0.4133636352494284,-0.0012903310481079534,83.47792053222656,1.5023451652576418,0.26121558700892983
