tensor,layer,hidden_rows,hidden_dim,num_experts,top_k,sample_group_count,mean_router_entropy,mean_hessian_trace,mean_hessian_diag,max_hessian_diag,mean_hessian_offdiag_abs,mean_topk_probability_mass,mean_topk_hessian_diag_fraction,mean_boundary_pair_hessian,mean_topk_logit_margin,min_topk_logit_margin,hidden_cov_trace,hidden_cov_diag_mean,hidden_cov_diag_max,hidden_cov_frobenius,hidden_cov_stable_rank,hidden_cov_top1_energy,hidden_cov_top4_energy,hidden_cov_eig_computed,student_teacher_top1_agreement,student_teacher_topk_jaccard,student_teacher_kl,harc_precision_proxy,harc_boundary_cov_proxy,harc_priority_score,harc_layer_role,first_stage_required,solver_input_ready
model.layers.0.mlp.gate.weight,0,96,6,12,8,6,2.200201988220215,0.8532574772834778,0.07110479474067688,0.24982988834381104,0.006464071571826935,0.8664752840995789,0.8531619906425476,0.002467866986989975,0.1726224571466446,0.00038642436265945435,5.699119567871094,0.949853241443634,1.1640843152999878,2.410737991333008,5.588760682941261,0.21316692521645683,0.7820202292167092,True,0.8020833134651184,0.8962962962962964,0.0102461576461792,4.8628163852185935,0.014064669036457644,0.0,not_in_priority_table,False,True
model.layers.1.mlp.gate.weight,1,96,6,12,8,6,2.1265981197357178,0.833615243434906,0.0694679319858551,0.2499997615814209,0.00631526717916131,0.8844223022460938,0.8693253397941589,0.002188656711950898,0.21688757836818695,0.0013913214206695557,5.91412878036499,0.9856881499290466,1.1544028520584106,2.4526174068450928,5.814628085588392,0.21312710783529987,0.7322296014514751,True,0.8958333134651184,0.9171296296296297,0.009667069651186466,4.930107902949345,0.012943997650487815,0.62,collect_hessian_covariance_first,True,True
