layer_id,router,expert_id,total_topk_fraction,dominant_source,dominant_weight,same_shape_action,tensor_pattern,tensor_rule,reason,weight_instruct,weight_coder,route_mass_instruct,route_mass_coder,audit_tensor_count,audit_changed_tensors,audit_max_relative_delta_norm,audit_mean_relative_delta_norm,audit_max_abs_delta,audit_delta_norm,load_probe_rows,load_probe_category_count,max_topk_over_uniform,mean_topk_over_uniform,max_topk_fraction,mean_topk_fraction,high_load_action_rows,specialization_probe_rows,dominant_category,max_dominant_category_share,mean_dominant_category_share,min_categories_observed,specialized_action_rows,router_probe_rows,router_calibrate_rows,mean_router_risk_score,max_router_risk_score,min_topk_jaccard,mean_topk_jaccard,min_top1_agreement,mean_top1_agreement,trust_target_relative_delta,trust_delta_scale,trust_risk_flags,trust_gate_action,expected_max_relative_delta_norm,original_weight_coder,original_weight_instruct,original_effective_nonbase_weight,effective_nonbase_weight
0,model.layers.0.mlp.gate,0,0.116096832058838,instruct,0.5887152819732412,mixed_source_expert_delta,.*layers\.0\..*experts\.0\..*,".*layers\.0\..*experts\.0\..*::coder=0.261285,instruct=0.588715",multiple prompt/source families use this expert; keep a mixed route-frequency average.,0.5887152819732412,0.2612847180267588,0.0804093873196692,0.0356874447391688,3,3,0.2731123553081956,0.26616490720575775,0.0802001953125,13.251666414087103,12,8,2.545454545454541,1.2383662086276062,0.0198863636363636,0.009674736004903173,0,1.0,math,0.2039180742868517,0.2039180742868517,8.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.68,1.0,shared_mixed_expert,keep_with_moe_risk_monitor,0.2731123553081956,0.2612847180267588,0.5887152819732412,0.2612847180267588,0.2612847180267588
0,model.layers.0.mlp.gate,1,0.1534687074952296,instruct,0.6292644816793471,mixed_source_expert_delta,.*layers\.0\..*experts\.1\..*,".*layers\.0\..*experts\.1\..*::coder=0.220736,instruct=0.629264",multiple prompt/source families use this expert; keep a mixed route-frequency average.,0.6292644816793471,0.2207355183206529,0.113614596089394,0.0398541114058355,3,3,0.2405271261440417,0.2359308739178918,0.09375,9.361226658118996,12,8,1.92,1.6369995466157823,0.015,0.012789058957935799,0,1.0,general,0.1954795898762131,0.1954795898762131,8.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.68,1.0,shared_mixed_expert,keep_with_moe_risk_monitor,0.2405271261440417,0.2207355183206529,0.6292644816793471,0.2207355183206529,0.2207355183206529
0,model.layers.0.mlp.gate,2,0.114722902294683,instruct,0.65314308641446,mixed_source_expert_delta,.*layers\.0\..*experts\.2\..*,".*layers\.0\..*experts\.2\..*::coder=0.196857,instruct=0.653143",multiple prompt/source families use this expert; keep a mixed route-frequency average.,0.65314308641446,0.1968569135855399,0.0881534946907927,0.0265694076038903,3,3,0.2023936860414864,0.19694953387918168,0.05029296875,8.227990934827796,12,8,2.56,1.1792665133655074,0.02,0.009213019635668026,0,1.0,safety,0.2081134693809268,0.2081134693809268,8.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.68,1.0,shared_mixed_expert,keep_with_moe_risk_monitor,0.2023936860414864,0.1968569135855399,0.65314308641446,0.1968569135855399,0.1968569135855399
0,model.layers.0.mlp.gate,3,0.2524841095014548,instruct,0.700127571218501,dominant_source_expert_delta,.*layers\.0\..*experts\.3\..*,".*layers\.0\..*experts\.3\..*::coder=0.149872,instruct=0.700128",one prompt/source family dominates this expert's route mass; use a source-skewed delta.,0.700127571218501,0.1498724287814989,0.2079659839488466,0.0445181255526082,3,3,0.159140282658745,0.15081893624992393,0.0343017578125,6.802360338195434,12,8,4.923076923076915,3.0791349516877844,0.0384615384615384,0.024055741810060816,2,1.0,safety,0.2093732995805416,0.2093732995805416,8.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.65,1.0,high_load_expert|shared_mixed_expert,keep_with_moe_risk_monitor,0.159140282658745,0.1498724287814989,0.700127571218501,0.1498724287814989,0.1498724287814989
0,model.layers.0.mlp.gate,4,0.022112887112887,instruct,0.6651965213462835,mixed_source_expert_delta,.*layers\.0\..*experts\.4\..*,".*layers\.0\..*experts\.4\..*::coder=0.184803,instruct=0.665197",multiple prompt/source families use this expert; keep a mixed route-frequency average.,0.6651965213462835,0.1848034786537165,0.0173051948051947,0.0048076923076923,3,3,0.181967564690576,0.17951572492077236,0.063720703125,8.706333740006915,12,8,1.28,0.23587079587079465,0.01,0.0018427405927405832,0,1.0,general,0.4522249830585069,0.4522249830585069,8.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.75,1.0,,keep_route_weight_rule,0.181967564690576,0.1848034786537165,0.6651965213462835,0.1848034786537165,0.1848034786537165
0,model.layers.0.mlp.gate,6,0.0104895104895104,instruct,0.4604166666666638,mixed_source_expert_delta,.*layers\.0\..*experts\.6\..*,".*layers\.0\..*experts\.6\..*::coder=0.389583,instruct=0.460417",multiple prompt/source families use this expert; keep a mixed route-frequency average.,0.4604166666666638,0.389583333333336,0.0056818181818181,0.0048076923076923,3,3,0.4726987828423757,0.4668542476102875,0.1171875,18.55213037478098,12,8,0.7272727272727167,0.11188811188811093,0.0056818181818181,0.0008741258741258666,0,1.0,math,0.5416666666666634,0.5416666666666634,8.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.6,1.0,low_route_evidence,keep_with_moe_risk_monitor,0.4726987828423757,0.389583333333336,0.4604166666666638,0.389583333333336,0.389583333333336
0,model.layers.0.mlp.gate,7,0.0576477366024777,instruct,0.6635724475899085,mixed_source_expert_delta,.*layers\.0\..*experts\.7\..*,".*layers\.0\..*experts\.7\..*::coder=0.186428,instruct=0.663572",multiple prompt/source families use this expert; keep a mixed route-frequency average.,0.6635724475899085,0.1864275524100914,0.0450040584415582,0.0126436781609195,3,3,0.1953359679555319,0.19017485946350346,0.05859375,7.489632179691655,12,8,1.4545454545454464,0.5244877344877322,0.0113636363636363,0.004097560425685408,0,1.0,math,0.4622114617437471,0.4622114617437471,8.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.75,1.0,,keep_route_weight_rule,0.1953359679555319,0.1864275524100914,0.6635724475899085,0.1864275524100914,0.1864275524100914
0,model.layers.0.mlp.gate,8,0.0056818181818181,instruct,0.85,dominant_source_expert_delta,.*layers\.0\..*experts\.8\..*,".*layers\.0\..*experts\.8\..*::coder=0,instruct=0.85",one prompt/source family dominates this expert's route mass; use a source-skewed delta.,0.85,0.0,0.0056818181818181,0.0,3,0,0.0,0.0,0.0,0.0,12,8,0.7272727272727167,0.060606060606059727,0.0056818181818181,0.0004734848484848416,0,1.0,math,1.0,1.0,8.0,1.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.6,1.0,low_route_evidence,keep_with_moe_risk_monitor,0.0,0.0,0.85,0.0,0.0
0,model.layers.0.mlp.gate,10,0.013284703801945,coder,0.85,dominant_source_expert_delta,.*layers\.0\..*experts\.10\..*,".*layers\.0\..*experts\.10\..*::coder=0.616006,instruct=0",one prompt/source family dominates this expert's route mass; use a source-skewed delta.,0.0,0.6160058988346341,0.0,0.013284703801945,3,3,0.827914149791135,0.7995388386139055,0.494873046875,36.25917137146024,12,8,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.6,0.724712822158393,delta_above_base_cap|low_route_evidence,scale_nonbase_delta_to_moe_trust_region,0.6,0.85,0.0,0.85,0.6160058988346341
0,model.layers.0.mlp.gate,11,0.0422813204245696,instruct,0.7633472401841254,dominant_source_expert_delta,.*layers\.0\..*experts\.11\..*,".*layers\.0\..*experts\.11\..*::coder=0.0866528,instruct=0.763347",one prompt/source family dominates this expert's route mass; use a source-skewed delta.,0.7633472401841254,0.0866527598158745,0.0379709755969834,0.0043103448275862,3,3,0.0873145280115735,0.08475076275804938,0.0146484375,3.5104903978402002,12,8,1.8181818181818112,0.4050237397011573,0.0142045454545454,0.0031642479664152913,0,1.0,math,0.6733612032926773,0.6733612032926773,8.0,0.0,12,3,1.25,2.0,0.567738354835129,0.6087723775801726,0.3846153914928436,0.5289770762125651,0.75,1.0,,keep_route_weight_rule,0.0873145280115735,0.0866527598158745,0.7633472401841254,0.0866527598158745,0.0866527598158745
