group,tensor_count,changed_tensors,numel,changed_numel,changed_numel_fraction,delta_norm,base_norm,relative_delta_norm,max_abs_delta
routed_expert_ffn,18432,10353,28991029248,16283860992,0.5616861979166666,1005.2519517820674,3996.5372635531007,0.2515307341056426,0.59765625
attention,288,0,905981952,0,0.0,0.0,790.5556237124302,0.0,0.0
embedding_or_head,2,0,622329856,0,0.0,0.0,579.1479665746052,0.0,0.0
norm,97,0,198656,0,0.0,0.0,383.5276331405521,0.0,0.0
router,48,0,12582912,0,0.0,0.0,114.87305499434108,0.0,0.0
