method,role,general_nll,code_nll,avg_nll,worst_nll,trainable_policy
instruct,source,2.2875213772642846,0.4288048675897959,1.3581631224270403,2.2875213772642846,none
coder,source,2.612315248975567,0.6110744788195636,1.6116948638975652,2.612315248975567,none
linear_merge,average_baseline,2.635451223336014,0.5153670700176343,1.575409146676824,2.635451223336014,none_after_weight_average
linear_merge_routercal,router_calibrated_average,2.4140237745895883,0.41487752824216273,1.4144506514158754,2.4140237745895883,router_only_gate_weight_update
