name,mmlu,gsm8k,humaneval,avg,worst
base,0.7666666666666667,0.725,0.825,0.7722222222222221,0.725
instruct,0.8416666666666667,0.9,0.95,0.8972222222222221,0.8416666666666667
coder,0.7666666666666667,0.9,0.95,0.8722222222222222,0.7666666666666667
thinking,0.7916666666666666,0.75,0.9,0.8138888888888888,0.75
merge_instruct+coder,0.7583333333333333,0.825,0.8,0.7944444444444444,0.7583333333333333
merge_instruct+coder_routercal,0.7583333333333333,0.85,0.875,0.8277777777777778,0.7583333333333333
merge_instruct+coder+thinking,0.75,0.9,0.85,0.8333333333333334,0.75
