category,probe_rows,mean_top1_margin,min_top1_margin,mean_top1_agreement,min_top1_agreement,mean_topk_jaccard,min_topk_jaccard,mean_risk_score,unsafe_rows,unsafe_fraction,calibrate_rows,freeze_rows,small_lambda_rows,passed_rows,low_margin_score,category_fragility_score
long_context,48,0.04208918761772409,0.0222466681152582,0.39919354021549225,0.1290322542190551,0.44959228346325125,0.2770090124928834,2.2916666666666665,44,0.9166666666666666,44,0,3,1,1.0,0.7328642528963769
safety,96,0.04357287572929631,0.0191504582762718,0.3931433178173999,0.1428571492433548,0.4485055225096433,0.2581355152783724,2.2604166666666665,84,0.875,83,1,7,5,0.8114695238348706,0.6816227288606046
agentic_code,48,0.04470586443009472,0.0193001348525285,0.36458333985259134,0.0769230797886848,0.4277904075980999,0.2538410307641077,2.3333333333333335,46,0.9583333333333334,46,0,1,1,0.6675020029083278,0.6729133764918747
legal,48,0.04372969607356931,0.0211681742221117,0.42809138881663483,0.1935483813285827,0.45536667633441824,0.2809047583241131,2.1666666666666665,39,0.8125,39,0,7,2,0.7915425500001616,0.6547232179547244
code,96,0.0459601771823751,0.0207080841064453,0.4134937749089052,0.0689655169844627,0.43843458239291566,0.260222536084605,2.1458333333333335,85,0.8854166666666666,84,1,7,4,0.5081179796739389,0.6042634877279385
finance,48,0.04550201174182192,0.0264869704842567,0.44921875,0.21875,0.48486733174233176,0.2935148185148185,1.8958333333333333,37,0.7708333333333334,36,1,3,8,0.5663365149551612,0.5769833042160908
general,96,0.04995893972227345,0.0218834560364484,0.4066666664245228,0.1599999964237213,0.4458749398749398,0.2422377622377622,2.1354166666666665,85,0.8854166666666666,85,0,6,5,0.0,0.47705001811016123
math,96,0.049245615994247253,0.0172860343009233,0.4413667945191264,0.1818181872367859,0.4818708157723309,0.2589962226325862,1.8854166666666667,79,0.8229166666666666,76,3,12,5,0.09064119409985438,0.4691265154375264
