pattern,layer,expert,old_nonbase_weight,new_nonbase_weight,delta_scale,scaled,max_relative_delta_norm,predicted_max_relative_delta_norm
.*layers\.0\..*experts\.57\..*,0.0,57.0,0.133737,0.133737,1.0,False,0.1362065173893042,0.1362065173893042
.*layers\.0\..*experts\.58\..*,0.0,58.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.59\..*,0.0,59.0,0.501566,0.501566,1.0,False,0.4911487431480177,0.4911487431480177
.*layers\.0\..*experts\.60\..*,0.0,60.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.61\..*,0.0,61.0,0.300152,0.300152,1.0,False,0.3050426434762073,0.3050426434762073
.*layers\.0\..*experts\.62\..*,0.0,62.0,0.250185,0.250185,1.0,False,0.2634152454364752,0.2634152454364752
.*layers\.0\..*experts\.63\..*,0.0,63.0,0.243784,0.243784,1.0,False,0.2473564709309164,0.2473564709309164
.*layers\.0\..*experts\.64\..*,0.0,64.0,0.160978,0.160978,1.0,False,0.1687886208493736,0.1687886208493736
.*layers\.0\..*experts\.65\..*,0.0,65.0,0.411237,0.411237,1.0,False,0.4375481309062478,0.4375481309062478
.*layers\.0\..*experts\.66\..*,0.0,66.0,0.145208,0.145208,1.0,False,0.148606208435052,0.148606208435052
.*layers\.0\..*experts\.67\..*,0.0,67.0,0.159983,0.159983,1.0,False,0.1673484046705505,0.1673484046705505
.*layers\.0\..*experts\.68\..*,0.0,68.0,0.233219,0.233219,1.0,False,0.2401582187761767,0.2401582187761767
.*layers\.0\..*experts\.69\..*,0.0,69.0,0.259662,0.259662,1.0,False,0.2736475239524513,0.2736475239524513
.*layers\.0\..*experts\.70\..*,0.0,70.0,0.139408,0.139408,1.0,False,0.1518535751783733,0.1518535751783733
.*layers\.0\..*experts\.71\..*,0.0,71.0,0.292065,0.292065,1.0,False,0.300008455850998,0.300008455850998
.*layers\.0\..*experts\.72\..*,0.0,72.0,0.189105,0.189105,1.0,False,0.2190737544329335,0.2190737544329335
.*layers\.0\..*experts\.73\..*,0.0,73.0,0.150056,0.150056,1.0,False,0.1540116461784865,0.1540116461784865
.*layers\.0\..*experts\.74\..*,0.0,74.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.75\..*,0.0,75.0,0.218378,0.218378,1.0,False,0.2427891566977118,0.2427891566977118
.*layers\.0\..*experts\.76\..*,0.0,76.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.77\..*,0.0,77.0,0.171455,0.171455,1.0,False,0.1791541496408969,0.1791541496408969
.*layers\.0\..*experts\.78\..*,0.0,78.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.79\..*,0.0,79.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.80\..*,0.0,80.0,0.2504,0.2504,1.0,False,0.2599236797223911,0.2599236797223911
.*layers\.0\..*experts\.81\..*,0.0,81.0,0.205654,0.205654,1.0,False,0.2134486720619448,0.2134486720619448
.*layers\.0\..*experts\.82\..*,0.0,82.0,0.147929,0.147929,1.0,False,0.1526193812736707,0.1526193812736707
.*layers\.0\..*experts\.83\..*,0.0,83.0,0.307996,0.307996,1.0,False,0.3233971862784837,0.3233971862784837
.*layers\.0\..*experts\.84\..*,0.0,84.0,0.243589,0.243589,1.0,False,0.2620361343697416,0.2620361343697416
.*layers\.0\..*experts\.85\..*,0.0,85.0,0.28372,0.28372,1.0,False,0.3088845070385217,0.3088845070385217
.*layers\.0\..*experts\.86\..*,0.0,86.0,0.156563,0.156563,1.0,False,0.1726597562826874,0.1726597562826874
.*layers\.0\..*experts\.87\..*,0.0,87.0,0.17471,0.17471,1.0,False,0.1925022992120214,0.1925022992120214
.*layers\.0\..*experts\.88\..*,0.0,88.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.89\..*,0.0,89.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.90\..*,0.0,90.0,0.563264,0.563264,1.0,False,0.6000015670043944,0.6000015670043944
.*layers\.0\..*experts\.91\..*,0.0,91.0,0.188796,0.188796,1.0,False,0.1993511870246651,0.1993511870246651
.*layers\.0\..*experts\.92\..*,0.0,92.0,0.0833692,0.0833692,1.0,False,0.086452155362691,0.086452155362691
.*layers\.0\..*experts\.93\..*,0.0,93.0,0.282883,0.282883,1.0,False,0.2875065720174747,0.2875065720174747
.*layers\.0\..*experts\.95\..*,0.0,95.0,0.120485,0.120485,1.0,False,0.1345661895627193,0.1345661895627193
.*layers\.0\..*experts\.97\..*,0.0,97.0,0.158052,0.158052,1.0,False,0.1590801936224822,0.1590801936224822
.*layers\.0\..*experts\.98\..*,0.0,98.0,0.213085,0.213085,1.0,False,0.2403441948640398,0.2403441948640398
.*layers\.0\..*experts\.99\..*,0.0,99.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.100\..*,0.0,100.0,0.185045,0.185045,1.0,False,0.2058585249440338,0.2058585249440338
.*layers\.0\..*experts\.101\..*,0.0,101.0,0.274609,0.274609,1.0,False,0.292589378145142,0.292589378145142
.*layers\.0\..*experts\.102\..*,0.0,102.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.103\..*,0.0,103.0,0.639846,0.615080771398655,0.9612950169238458,True,0.6761711946453305,0.65
.*layers\.0\..*experts\.104\..*,0.0,104.0,0.100623,0.100623,1.0,False,0.1047503638838496,0.1047503638838496
.*layers\.0\..*experts\.105\..*,0.0,105.0,0.145265,0.145265,1.0,False,0.1615834729018505,0.1615834729018505
.*layers\.0\..*experts\.106\..*,0.0,106.0,0.162356,0.162356,1.0,False,0.1662958962554613,0.1662958962554613
.*layers\.0\..*experts\.107\..*,0.0,107.0,0.233098,0.233098,1.0,False,0.2455733779544245,0.2455733779544245
.*layers\.0\..*experts\.109\..*,0.0,109.0,0.0823789,0.0823789,1.0,False,0.0863457176903867,0.0863457176903867
.*layers\.0\..*experts\.110\..*,0.0,110.0,0.367365,0.367365,1.0,False,0.364501934109707,0.364501934109707
.*layers\.0\..*experts\.111\..*,0.0,111.0,0.159238,0.159238,1.0,False,0.166852580119606,0.166852580119606
.*layers\.0\..*experts\.112\..*,0.0,112.0,0.254573,0.254573,1.0,False,0.2735444807167544,0.2735444807167544
.*layers\.0\..*experts\.114\..*,0.0,114.0,0.154057,0.154057,1.0,False,0.1865770822506342,0.1865770822506342
.*layers\.0\..*experts\.115\..*,0.0,115.0,0.0957501,0.0957501,1.0,False,0.1072749668082593,0.1072749668082593
.*layers\.0\..*experts\.116\..*,0.0,116.0,0.25241,0.25241,1.0,False,0.2695644741203586,0.2695644741203586
.*layers\.0\..*experts\.117\..*,0.0,117.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.118\..*,0.0,118.0,0.0857464,0.0857464,1.0,False,0.0902619794289162,0.0902619794289162
.*layers\.0\..*experts\.119\..*,0.0,119.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.120\..*,0.0,120.0,0.284577,0.284577,1.0,False,0.2985893474669914,0.2985893474669914
.*layers\.0\..*experts\.121\..*,0.0,121.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.122\..*,0.0,122.0,0.124069,0.124069,1.0,False,0.1433753330934631,0.1433753330934631
.*layers\.0\..*experts\.123\..*,0.0,123.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.0\..*experts\.124\..*,0.0,124.0,0.204597,0.204597,1.0,False,0.2252276457994603,0.2252276457994603
.*layers\.0\..*experts\.125\..*,0.0,125.0,0.158173,0.158173,1.0,False,0.1779994011972752,0.1779994011972752
.*layers\.0\..*experts\.126\..*,0.0,126.0,0.170322,0.170322,1.0,False,0.181563990762598,0.181563990762598
.*layers\.0\..*experts\.127\..*,0.0,127.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.0\..*,1.0,0.0,0.197328,0.197328,1.0,False,0.2018834867169465,0.2018834867169465
.*layers\.1\..*experts\.1\..*,1.0,1.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.2\..*,1.0,2.0,0.181332,0.181332,1.0,False,0.1921179322735502,0.1921179322735502
.*layers\.1\..*experts\.3\..*,1.0,3.0,0.466634,0.466634,1.0,False,0.5026000024053794,0.5026000024053794
.*layers\.1\..*experts\.4\..*,1.0,4.0,0.0780822,0.0780822,1.0,False,0.0902857561124786,0.0902857561124786
.*layers\.1\..*experts\.5\..*,1.0,5.0,0.0728518,0.0728518,1.0,False,0.0801696775216633,0.0801696775216633
.*layers\.1\..*experts\.6\..*,1.0,6.0,0.250494,0.250494,1.0,False,0.2747414955603434,0.2747414955603434
.*layers\.1\..*experts\.7\..*,1.0,7.0,0.165544,0.165544,1.0,False,0.1832979961366483,0.1832979961366483
.*layers\.1\..*experts\.8\..*,1.0,8.0,0.293518,0.293518,1.0,False,0.3229880025690048,0.3229880025690048
.*layers\.1\..*experts\.9\..*,1.0,9.0,0.332267,0.332267,1.0,False,0.3512149522037815,0.3512149522037815
.*layers\.1\..*experts\.10\..*,1.0,10.0,0.153553,0.153553,1.0,False,0.1641791527769631,0.1641791527769631
.*layers\.1\..*experts\.11\..*,1.0,11.0,0.0477762,0.0477762,1.0,False,0.0518588281756461,0.0518588281756461
.*layers\.1\..*experts\.13\..*,1.0,13.0,0.170925,0.170925,1.0,False,0.1799084827741087,0.1799084827741087
.*layers\.1\..*experts\.14\..*,1.0,14.0,0.0741394,0.0741394,1.0,False,0.0811735978633282,0.0811735978633282
.*layers\.1\..*experts\.15\..*,1.0,15.0,0.296104,0.296104,1.0,False,0.3299227142621362,0.3299227142621362
.*layers\.1\..*experts\.16\..*,1.0,16.0,0.383154,0.383154,1.0,False,0.4196434098476178,0.4196434098476178
.*layers\.1\..*experts\.17\..*,1.0,17.0,0.190187,0.190187,1.0,False,0.2082319244340721,0.2082319244340721
.*layers\.1\..*experts\.18\..*,1.0,18.0,0.272635,0.272635,1.0,False,0.2976250723018264,0.2976250723018264
.*layers\.1\..*experts\.19\..*,1.0,19.0,0.310616,0.310616,1.0,False,0.3479373847114604,0.3479373847114604
.*layers\.1\..*experts\.20\..*,1.0,20.0,0.209823,0.209823,1.0,False,0.2333487417847438,0.2333487417847438
.*layers\.1\..*experts\.21\..*,1.0,21.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.22\..*,1.0,22.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.23\..*,1.0,23.0,0.361928,0.361928,1.0,False,0.3803684436304061,0.3803684436304061
.*layers\.1\..*experts\.24\..*,1.0,24.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.25\..*,1.0,25.0,0.445249,0.445249,1.0,False,0.4911645740596024,0.4911645740596024
.*layers\.1\..*experts\.26\..*,1.0,26.0,0.0949686,0.0949686,1.0,False,0.103478154168915,0.103478154168915
.*layers\.1\..*experts\.27\..*,1.0,27.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.28\..*,1.0,28.0,0.275414,0.275414,1.0,False,0.3208302708966421,0.3208302708966421
.*layers\.1\..*experts\.29\..*,1.0,29.0,0.305673,0.305673,1.0,False,0.3125296723871956,0.3125296723871956
.*layers\.1\..*experts\.30\..*,1.0,30.0,0.157561,0.157561,1.0,False,0.1777523322243626,0.1777523322243626
.*layers\.1\..*experts\.31\..*,1.0,31.0,0.0448953,0.0448953,1.0,False,0.0500022196481871,0.0500022196481871
.*layers\.1\..*experts\.32\..*,1.0,32.0,0.261182,0.261182,1.0,False,0.3046791391374374,0.3046791391374374
.*layers\.1\..*experts\.33\..*,1.0,33.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.34\..*,1.0,34.0,0.27984,0.27984,1.0,False,0.2942119357388912,0.2942119357388912
.*layers\.1\..*experts\.35\..*,1.0,35.0,0.0,0.0,1.0,False,0.0,0.0
