model,category,prompt_idx,router,num_experts,tokens,top_k,router_entropy_mean,top1_margin_mean,unique_top1_experts,unique_topk_experts,max_top1_fraction,effective_top1_experts
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.18.mlp.gate,128,25,8,4.259041786193848,0.04160844907164574,12,50,0.32,8.717147914690035
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.19.mlp.gate,128,25,8,4.0635151863098145,0.04985782504081726,14,45,0.2,11.62751237988608
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.20.mlp.gate,128,25,8,4.0147385597229,0.04081204533576965,13,51,0.24,9.980275013755838
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.21.mlp.gate,128,25,8,3.929396867752075,0.07209912687540054,9,51,0.2,7.807655792141702
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.22.mlp.gate,128,25,8,3.959078311920166,0.06652434170246124,16,60,0.16,14.35872943746294
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.23.mlp.gate,128,25,8,3.91511607170105,0.07225431501865387,13,63,0.16,11.030797474383096
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.24.mlp.gate,128,25,8,3.983656644821167,0.05377306416630745,15,55,0.2,12.722189453686902
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.25.mlp.gate,128,25,8,3.875995397567749,0.04119207337498665,14,61,0.32,10.294887715844663
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.26.mlp.gate,128,25,8,4.037094593048096,0.04978352412581444,14,56,0.24,11.659751932201848
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.27.mlp.gate,128,25,8,4.034192085266113,0.050802797079086304,15,58,0.16,13.584185781575725
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.28.mlp.gate,128,25,8,4.071136474609375,0.055519040673971176,13,64,0.24,10.219620294900587
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.29.mlp.gate,128,25,8,4.127029895782471,0.023012587800621986,16,61,0.16,14.061325474591374
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.30.mlp.gate,128,25,8,4.174255847930908,0.04892316833138466,13,48,0.36,8.891875134037042
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.31.mlp.gate,128,25,8,4.032516956329346,0.06680528074502945,12,51,0.16,10.656491984466415
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.32.mlp.gate,128,25,8,4.023669242858887,0.04500994086265564,12,56,0.24,9.872840291901833
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.33.mlp.gate,128,25,8,3.9082155227661133,0.08022438734769821,12,52,0.16,10.43577030012152
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.34.mlp.gate,128,25,8,3.915043354034424,0.06542497128248215,12,66,0.28,8.713278718618334
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.35.mlp.gate,128,25,8,3.920440673828125,0.04792632535099983,15,65,0.24,11.659751932201843
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.36.mlp.gate,128,25,8,3.8874711990356445,0.05954203009605408,16,62,0.12,14.863074700848388
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.37.mlp.gate,128,25,8,3.6956634521484375,0.05932380631566048,12,67,0.48,6.788412293297089
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.38.mlp.gate,128,25,8,3.896005868911743,0.052825506776571274,13,62,0.28,10.179545977961046
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.39.mlp.gate,128,25,8,3.876162052154541,0.052059583365917206,19,61,0.12,17.553182147980863
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.40.mlp.gate,128,25,8,3.8631086349487305,0.06083660572767258,14,61,0.24,11.659751932201848
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.41.mlp.gate,128,25,8,3.932481050491333,0.02726800926029682,18,65,0.12,16.60632219546451
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.42.mlp.gate,128,25,8,3.8518171310424805,0.04871544986963272,19,64,0.08,17.924440600197848
/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,general,0,model.layers.43.mlp.gate,128,25,8,3.9336469173431396,0.059728071093559265,13,64,0.2,10.91987222860677
