lambda,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.0,2.524522145589193,2.6607728004455566,0.20208333333333334,0.1890625,2.592647473017375,2.6607728004455566,0.19557291666666665,0.1890625
0.05,2.5272140820821125,2.6217902660369874,0.19895833333333332,0.196875,2.5745021740595497,2.6217902660369874,0.19791666666666666,0.196875
0.1,2.5393598238627115,2.578111171722412,0.19479166666666667,0.2109375,2.558735497792562,2.578111171722412,0.20286458333333335,0.19479166666666667
0.15000000000000002,2.561638768513997,2.5305541515350343,0.17708333333333334,0.2265625,2.5460964600245157,2.561638768513997,0.20182291666666669,0.17708333333333334
0.2,2.5948994000752768,2.479987955093384,0.1625,0.2375,2.5374436775843305,2.5948994000752768,0.2,0.1625
0.25,2.6396830240885416,2.427492141723633,0.15208333333333332,0.2515625,2.533587582906087,2.6396830240885416,0.20182291666666669,0.15208333333333332
0.30000000000000004,2.696533997853597,2.3740655422210692,0.134375,0.2640625,2.535299770037333,2.696533997853597,0.19921875,0.134375
0.35000000000000003,2.765817960103353,2.3206268787384032,0.115625,0.2734375,2.543222419420878,2.765817960103353,0.19453125,0.115625
0.4,2.8475826263427733,2.2682451725006105,0.103125,0.2875,2.557913899421692,2.8475826263427733,0.1953125,0.103125
0.45,2.941635513305664,2.2178914546966553,0.08854166666666667,0.29375,2.57976348400116,2.941635513305664,0.19114583333333335,0.08854166666666667
0.5,3.0477847417195636,2.170451211929321,0.07604166666666666,0.3015625,2.609117976824442,3.0477847417195636,0.18880208333333334,0.07604166666666666
0.55,3.1655445734659833,2.126576042175293,0.06041666666666667,0.3078125,2.646060307820638,3.1655445734659833,0.18411458333333333,0.06041666666666667
0.6000000000000001,3.293869717915853,2.0870399951934813,0.052083333333333336,0.3171875,2.690454856554667,3.293869717915853,0.18463541666666666,0.052083333333333336
0.65,3.431815528869629,2.0519567489624024,0.04375,0.315625,2.7418861389160156,3.431815528869629,0.1796875,0.04375
0.7000000000000001,3.5783729553222656,2.0215012073516845,0.03333333333333333,0.3078125,2.7999370813369753,3.5783729553222656,0.17057291666666666,0.03333333333333333
0.75,3.73221918741862,1.9956342220306396,0.027083333333333334,0.315625,2.86392670472463,3.73221918741862,0.17135416666666667,0.027083333333333334
0.8,3.8920295079549154,1.9743524074554444,0.019791666666666666,0.3109375,2.93319095770518,3.8920295079549154,0.16536458333333331,0.019791666666666666
0.8500000000000001,4.056363614400228,1.9576951026916505,0.01875,0.3109375,3.007029358545939,4.056363614400228,0.16484374999999998,0.01875
0.9,4.22384827931722,1.9457187175750732,0.015625,0.3078125,3.084783498446147,4.22384827931722,0.16171875,0.015625
0.9500000000000001,4.394079462687174,1.9382523536682128,0.013541666666666667,0.29375,3.1661659081776934,4.394079462687174,0.15364583333333334,0.013541666666666667
1.0,4.565632692972819,1.9352205991744995,0.013541666666666667,0.2890625,3.250426646073659,4.565632692972819,0.15130208333333334,0.013541666666666667
1.05,4.7375542958577475,1.936378049850464,0.013541666666666667,0.278125,3.3369661728541056,4.7375542958577475,0.14583333333333334,0.013541666666666667
1.1,4.909582710266113,1.9415727138519288,0.010416666666666666,0.2796875,3.4255777120590207,4.909582710266113,0.14505208333333333,0.010416666666666666
1.1500000000000001,5.080481656392416,1.9504293918609619,0.009375,0.271875,3.515455524126689,5.080481656392416,0.140625,0.009375
1.2000000000000002,5.250194040934245,1.9626879692077637,0.009375,0.25625,3.6064410050710043,5.250194040934245,0.1328125,0.009375
1.25,5.418132591247558,1.978325891494751,0.010416666666666666,0.265625,3.6982292413711546,5.418132591247558,0.13802083333333334,0.010416666666666666
1.3,5.5839177449544275,1.9966145515441895,0.010416666666666666,0.2578125,3.7902661482493087,5.5839177449544275,0.13411458333333334,0.010416666666666666
1.35,5.747643788655599,2.017565202713013,0.010416666666666666,0.259375,3.8826044956843058,5.747643788655599,0.13489583333333335,0.010416666666666666
1.4000000000000001,5.909892654418945,2.040465545654297,0.010416666666666666,0.25625,3.975179100036621,5.909892654418945,0.13333333333333333,0.010416666666666666
1.4500000000000002,6.070391845703125,2.065150594711304,0.008333333333333333,0.2453125,4.067771220207215,6.070391845703125,0.12682291666666667,0.008333333333333333
1.5,6.228617731730143,2.09151291847229,0.00625,0.240625,4.1600653251012165,6.228617731730143,0.1234375,0.00625
