method,kind,alpha,beta,plane_residual,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
base,reference,0.0,0.0,0.0,2.524522145589193,2.6607728004455566,0.20208333333333334,0.1890625,2.592647473017375,2.6607728004455566,0.19557291666666665,0.1890625
expert_living,reference,1.0,0.0,0.0,2.005535666147868,6.057776355743409,0.3177083333333333,0.0,4.031656010945638,6.057776355743409,0.15885416666666666,0.0
expert_object,reference,-2.7755575615628914e-17,0.9999999999999999,1.6468612378570045e-16,5.689655939737956,1.6899818420410155,0.0,0.3703125,3.6898188908894856,5.689655939737956,0.18515625,0.0
linear_average,merge,0.4999999990742021,0.4999999986070035,4.70940056111753e-07,3.0477847417195636,2.170451211929321,0.07604166666666666,0.3015625,2.609117976824442,3.0477847417195636,0.18880208333333334,0.07604166666666666
slerp_experts,merge,0.5034509802877458,0.5030192769567717,0.04718381810174503,3.0506512959798178,2.169857311248779,0.07604166666666666,0.303125,2.6102543036142984,3.0506512959798178,0.18958333333333333,0.07604166666666666
task_arithmetic_best_lambda,merge,0.05000000094308631,0.050000000535627906,3.7593837183135724e-06,2.5272140820821125,2.6217902660369874,0.19895833333333332,0.196875,2.5745021740595497,2.6217902660369874,0.19791666666666666,0.196875
ties_density_0.5,merge,0.8210450983953426,0.761670424128552,0.5390908088254103,3.1064289093017576,2.38831205368042,0.07916666666666666,0.228125,2.747370481491089,3.1064289093017576,0.15364583333333331,0.07916666666666666
dare_drop_0.5,merge,0.5018699741170838,0.5030209908209655,0.7385479731198199,3.0257853190104167,2.2158058643341065,0.08541666666666667,0.2828125,2.6207955916722616,3.0257853190104167,0.18411458333333336,0.08541666666666667
validation_grid_best,oracle,0.031249999639926196,0.031249998670491306,8.665496880767614e-06,2.5251183191935223,2.636989688873291,0.2,0.19375,2.5810540040334065,2.636989688873291,0.19687500000000002,0.19375
