tensor,stage,selection_split,train_samples,selection_samples,validation_fraction,train_group_count,validation_group_count,route_kl,top1_agreement,topk_jaccard,capacity_overflow_fraction,top1_max_load_fraction,top1_capacity_overflow_fraction,top1_load_entropy,top1_load_cv,topk_max_load_fraction,topk_capacity_overflow_fraction,topk_load_entropy,topk_load_cv,delta_norm,base_norm,relative_delta_norm,max_relative_norm_cap,cap_utilization,max_abs_delta,selected_epoch,selection_score,selection_policy,selected_route_kl,selected_top1_agreement,train_final_route_kl,train_final_top1_agreement,train_final_top1_capacity_overflow_fraction,train_final_topk_capacity_overflow_fraction,route_kl_generalization_gap,top1_generalization_drop
model.layers.0.router.weight,initial,validation,307,77,0.20052083333333334,0,0,0.18935029208660126,0.4545454680919647,0.4805194805194805,0.0,0.3246753215789795,0.012175321578979492,0.9870623350143433,0.1921902447938919,0.27272728085517883,0.0,0.9969542622566223,0.09090910106897354,0.0,1.4786373376846313,0.0,0.02,0.0,0.0,,,,,,,,,,,
model.layers.0.router.weight,final,validation,307,77,0.20052083333333334,0,0,0.18255633115768433,0.5064935088157654,0.48917748917748916,0.0,0.31168830394744873,0.0,0.9834315180778503,0.2090061902999878,0.26623377203941345,0.0,0.9979573488235474,0.07460471242666245,0.02957274578511715,1.4786373376846313,0.019999999344953997,0.02,0.9999999672476998,0.006168847903609276,4.0,0.18255633115768433,capacity_aware,0.18255633115768433,0.5064935088157654,0.1656532883644104,0.5537459254264832,0.09140878915786743,0.0,0.016903042793273926,0.04725241661071777
model.layers.1.router.weight,initial,validation,307,77,0.20052083333333334,0,0,0.2890832722187042,0.44155845046043396,0.5627705627705628,0.0,0.3246753215789795,0.012175321578979492,0.9844424724578857,0.209006205201149,0.26623377203941345,0.0,0.9993352890014648,0.04307306557893753,0.0,1.9963737726211548,0.0,0.08,0.0,0.0,,,,,,,,,,,
model.layers.1.router.weight,final,validation,307,77,0.20052083333333334,0,0,0.2479773610830307,0.4675324559211731,0.6060606060606061,0.0,0.3246753215789795,0.012175321578979492,0.986476480960846,0.19566908478736877,0.27272728085517883,0.0,0.9989837408065796,0.05354684591293335,0.1597099006175995,1.9963737726211548,0.07999999940287089,0.08,0.9999999925358861,0.03348980471491814,3.0,0.2510211914777756,capacity_aware,0.2479773610830307,0.4675324559211731,0.2368941605091095,0.4951139986515045,0.04254886507987976,0.0,0.011083200573921204,0.02758154273033142
