law_id,kind,base_cap,min_cap,high_load_penalty,shared_mixed_penalty,fragile_router_penalty,low_route_evidence_penalty,category_mismatch_penalty,scaled_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,p95_predicted_relative_delta,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,mean_delta_scale,min_delta_scale,internal_risk_score
grid_00376_b0.65_m0.65_h0.00_s0.03_r0.03_l0.00_c0.00,searched_cap_law,0.65,0.65,0.0,0.03,0.03,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00377_b0.65_m0.65_h0.00_s0.03_r0.03_l0.00_c0.05,searched_cap_law,0.65,0.65,0.0,0.03,0.03,0.0,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00378_b0.65_m0.65_h0.00_s0.03_r0.03_l0.05_c0.00,searched_cap_law,0.65,0.65,0.0,0.03,0.03,0.05,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00379_b0.65_m0.65_h0.00_s0.03_r0.03_l0.05_c0.05,searched_cap_law,0.65,0.65,0.0,0.03,0.03,0.05,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00380_b0.65_m0.65_h0.00_s0.03_r0.05_l0.00_c0.00,searched_cap_law,0.65,0.65,0.0,0.03,0.05,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00381_b0.65_m0.65_h0.00_s0.03_r0.05_l0.00_c0.05,searched_cap_law,0.65,0.65,0.0,0.03,0.05,0.0,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00382_b0.65_m0.65_h0.00_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.65,0.65,0.0,0.03,0.05,0.05,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00383_b0.65_m0.65_h0.00_s0.03_r0.05_l0.05_c0.05,searched_cap_law,0.65,0.65,0.0,0.03,0.05,0.05,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00384_b0.65_m0.65_h0.05_s0.00_r0.00_l0.00_c0.00,searched_cap_law,0.65,0.65,0.05,0.0,0.0,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00385_b0.65_m0.65_h0.05_s0.00_r0.00_l0.00_c0.05,searched_cap_law,0.65,0.65,0.05,0.0,0.0,0.0,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00386_b0.65_m0.65_h0.05_s0.00_r0.00_l0.05_c0.00,searched_cap_law,0.65,0.65,0.05,0.0,0.0,0.05,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00387_b0.65_m0.65_h0.05_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.65,0.65,0.05,0.0,0.0,0.05,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00388_b0.65_m0.65_h0.05_s0.00_r0.03_l0.00_c0.00,searched_cap_law,0.65,0.65,0.05,0.0,0.03,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00389_b0.65_m0.65_h0.05_s0.00_r0.03_l0.00_c0.05,searched_cap_law,0.65,0.65,0.05,0.0,0.03,0.0,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00390_b0.65_m0.65_h0.05_s0.00_r0.03_l0.05_c0.00,searched_cap_law,0.65,0.65,0.05,0.0,0.03,0.05,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
