law_id,kind,base_cap,min_cap,high_load_penalty,shared_mixed_penalty,fragile_router_penalty,low_route_evidence_penalty,category_mismatch_penalty,scaled_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,p95_predicted_relative_delta,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,mean_delta_scale,min_delta_scale,internal_risk_score,selection_role
route_guarded_uncapped_expert_rules,reference,,,,,,,,0,1.327236932104148,1.038862494048686,0.7923719914010449,302,405,610,121.62061756652666,121.62061756652666,1.0,1171.4855194323814,1.0,1.0,1.0,304154.7236932104,reference
current_trust_region_cap_law,reference,,,,,,,,405,0.7500000000000001,0.7,0.6,0,129,610,121.62061756652666,119.41019327920091,0.9818252502613988,1017.1908851618834,0.8682914712037942,0.9812934225436695,0.4848777016857155,717.2317864659758,reference
uniform_065_tail_cap,reference,,,,,,,,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596,reference
grid_00000_b0.75_m0.60_h0.00_s0.00_r0.00_l0.00_c0.00,searched_cap_law,0.75,0.6,0.0,0.0,0.0,0.0,0.0,302,0.7500000000000001,0.75,0.75,0,405,610,121.62061756652666,120.5646967377894,0.9913179126215202,1080.594356019501,0.922413754241777,0.9901966017115609,0.5650837328727586,2097.0960555018114,searched_no_gt075_max_retention
grid_00288_b0.65_m0.60_h0.00_s0.00_r0.00_l0.00_c0.00,searched_cap_law,0.65,0.6,0.0,0.0,0.0,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596,searched_no_gt065_max_retention
grid_00288_b0.65_m0.60_h0.00_s0.00_r0.00_l0.00_c0.00,searched_cap_law,0.65,0.6,0.0,0.0,0.0,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596,searched_min_internal_risk_score
