law_id,kind,base_cap,min_cap,high_load_penalty,shared_mixed_penalty,fragile_router_penalty,low_route_evidence_penalty,category_mismatch_penalty,scaled_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,p95_predicted_relative_delta,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,mean_delta_scale,min_delta_scale,internal_risk_score
grid_00274_b0.70_m0.65_h0.10_s0.00_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.65,0.1,0.0,0.05,0.05,0.0,392,0.7,0.6783907212926947,0.65,0,59,610,121.62061756652666,119.55531066699274,0.9830184475226481,1027.9056199385702,0.8774377513745285,0.9830221933546208,0.48973923515639084,362.2170688009216
grid_00262_b0.70_m0.65_h0.05_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.65,0.05,0.03,0.05,0.05,0.0,392,0.7,0.677318197291852,0.65,0,59,610,121.62061756652666,119.55203464977826,0.982991511158732,1027.8576387185815,0.8773967937876076,0.9830154770064028,0.48973923515639084,362.217566570613
grid_00286_b0.70_m0.65_h0.10_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.65,0.1,0.03,0.05,0.05,0.0,392,0.7,0.677318197291852,0.65,0,59,610,121.62061756652666,119.55203464977826,0.982991511158732,1027.8576387185815,0.8773967937876076,0.9830154770064028,0.48973923515639084,362.217566570613
grid_00178_b0.70_m0.60_h0.05_s0.00_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.6,0.05,0.0,0.05,0.05,0.0,401,0.7,0.6783907212926947,0.6499999999999999,0,59,610,121.62061756652666,119.28867990235489,0.9808261320257134,1017.3783115121116,0.8684514615298539,0.9814742216806939,0.4848777016857155,362.25192882101555
grid_00190_b0.70_m0.60_h0.05_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.6,0.05,0.03,0.05,0.05,0.0,403,0.7,0.677318197291852,0.6499999999999999,0,59,610,121.62061756652666,119.28022385457636,0.9807566039477632,1017.1988911659023,0.8682983052652368,0.9814420845542875,0.4848777016857155,362.25316622631
grid_00227_b0.70_m0.65_h0.00_s0.00_r0.05_l0.05_c0.05,searched_cap_law,0.7,0.65,0.0,0.0,0.05,0.05,0.05,390,0.7,0.6957404318677379,0.65,0,65,610,121.62061756652666,119.60897372290083,0.983459680736077,1028.4224254807127,0.8778789053910058,0.983092162244195,0.48973923515639084,392.20868529066945
grid_00239_b0.70_m0.65_h0.00_s0.03_r0.05_l0.05_c0.05,searched_cap_law,0.7,0.65,0.0,0.03,0.05,0.05,0.05,390,0.7,0.6952064436539195,0.65,0,65,610,121.62061756652666,119.60569770568634,0.9834327443721608,1028.3744683734976,0.8778379683871592,0.9830854458959771,0.48973923515639084,392.20918308094394
grid_00155_b0.70_m0.60_h0.00_s0.00_r0.05_l0.05_c0.05,searched_cap_law,0.7,0.6,0.0,0.0,0.05,0.05,0.05,405,0.7,0.6957404318677379,0.6499999999999999,0,65,610,121.62061756652666,119.48761774476176,0.982461856678222,1018.1380850969124,0.8691000172074084,0.9815398930968808,0.4848777016857155,392.219862883643
grid_00167_b0.70_m0.60_h0.00_s0.03_r0.05_l0.05_c0.05,searched_cap_law,0.7,0.6,0.0,0.03,0.05,0.05,0.05,407,0.7,0.6952064436539195,0.6499999999999999,0,65,610,121.62061756652666,119.47916169698323,0.9823923286002716,1017.9587986646185,0.8689469752539912,0.9815077559704745,0.4848777016857155,392.22110040324856
grid_00226_b0.70_m0.65_h0.00_s0.00_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.65,0.0,0.0,0.05,0.05,0.0,388,0.7,0.7,0.65,0,77,610,121.62061756652666,119.62648122184288,0.9836036324713366,1029.2552489203495,0.8785898176693242,0.9832205721867356,0.48973923515639084,452.20651716824256
grid_00238_b0.70_m0.65_h0.00_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.65,0.0,0.03,0.05,0.05,0.0,388,0.7,0.7,0.65,0,77,610,121.62061756652666,119.62320520462839,0.9835766961074204,1029.2073306195075,0.878548913791259,0.9832138558385177,0.48973923515639084,452.20701499164284
grid_00154_b0.70_m0.60_h0.00_s0.00_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.6,0.0,0.0,0.05,0.05,0.0,393,0.7,0.7,0.6499999999999999,0,77,610,121.62061756652666,119.56644051942973,0.983109960398176,1021.8488747353158,0.8722676104698512,0.9821728345959845,0.4848777016857155,452.21006840250635
grid_00166_b0.70_m0.60_h0.00_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.7,0.6,0.0,0.03,0.05,0.05,0.0,395,0.7,0.7,0.6499999999999999,0,77,610,121.62061756652666,119.5579844716512,0.9830404323202256,1021.6702394861744,0.8721151243774684,0.9821406974695781,0.4848777016857155,452.2113064779729
grid_00243_b0.70_m0.65_h0.05_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.7,0.65,0.05,0.0,0.0,0.05,0.05,380,0.7000000000000001,0.7,0.65,0,129,610,121.62061756652666,119.68330815775603,0.9840708800240147,1032.67222521552,0.8815066068557805,0.9837016485911191,0.5252841768261918,712.2000890063755
grid_00267_b0.70_m0.65_h0.10_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.7,0.65,0.1,0.0,0.0,0.05,0.05,380,0.7000000000000001,0.7,0.65,0,129,610,121.62061756652666,119.68330815775603,0.9840708800240147,1032.67222521552,0.8815066068557805,0.9837016485911191,0.5252841768261918,712.2000890063755
