candidate_id,candidate_family,scaled_group_count,mean_target_cap,min_target_cap,max_target_cap,max_predicted_relative_delta,p99_predicted_relative_delta,routed_gt_hard_cap_groups,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,risk_weighted_predicted_relative_delta,geometry_weighted_predicted_relative_delta,subspace_weighted_predicted_relative_delta,high_geometry_group_count,high_geometry_mean_scale,high_subspace_group_count,high_subspace_mean_scale,route_geometry_risk_weighted_coder_retention,subspace_risk_weighted_coder_retention,mean_delta_scale,min_delta_scale,unified_objective,passes_hard_cap
uniform_0.65,threshold_efficient_cap,405,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.22633359972058112,0.21975497922042708,0.21634520441668878,204,0.999334957812637,1139,0.9702830503827342,0.9847878336591378,0.9805168841697627,0.9824001831026151,0.48973923515639084,1.6576466074013563,True
subspace_probe_prior,subspace_conflict_probe_prior,412,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,608,121.62061756652666,119.44219698516756,0.9820883940161913,1023.4143840082614,0.8736039558595102,0.22625970535093418,0.219689952179355,0.21625883468955348,204,0.9990059702240757,1139,0.9699975217288046,0.9845403950757811,0.9801746173279603,0.982338154276213,0.48973923515639084,1.6587933631151874,True
subspace_probe_cap,subspace_conflict_probe_cap,422,0.6345584588975777,0.55,0.65,0.65,0.65,0,0,0,610,121.62061756652666,119.26600919923808,0.9806397269278738,1014.3013622951977,0.8658249252510232,0.22575623979490866,0.219283848521327,0.21569424620533073,204,0.9979289763693654,1139,0.963724841499305,0.9829707800064214,0.9779066584749657,0.9809567197565887,0.45206698629820685,1.6611664979837824,True
subspace_cap_s0.25,subspace_weighted_cap,415,0.6380587455428222,0.6266895722054495,0.6486486660456746,0.648461212266567,0.6444062192168362,0,0,0,610,121.62061756652666,119.2989150280373,0.9809102881983033,1016.3853417611925,0.8676038456315368,0.22595920476902784,0.2194539217363763,0.2159860161985171,204,0.9990715667436018,1139,0.9682203665381088,0.9835136538921114,0.978964413682925,0.9813261896495212,0.4757604111242287,1.6614231377357105,True
geometry_cap_s0.25,geometry_weighted_cap,417,0.636904513743644,0.6283302944646626,0.6455527135383894,0.6450183084333754,0.6420256961242115,0,0,0,610,121.62061756652666,119.27480769895497,0.9807120707450073,1015.8076252611176,0.8671106969835237,0.2259199970727142,0.21942110253950975,0.21596166010645232,204,0.9990686272494608,1139,0.968327921588631,0.9833530616399477,0.9788379235734702,0.9812368579860566,0.47674150834948503,1.662420503638137,True
smooth_risk_s0.25,continuous_mechanism_risk,417,0.6384399657384314,0.6303251853685089,0.6466337477253898,0.6430610951843676,0.6391657687480798,0,0,0,610,121.62061756652666,119.24874901799373,0.980497808710472,1014.560350869334,0.8660460023107395,0.22587352093860563,0.21938517319568776,0.21592602612711687,204,0.9990619697856298,1139,0.9682224617388379,0.9831877636560516,0.9786712452089581,0.9810498288213079,0.47694573505642807,1.6629533198242459,True
router_evidence_risk_s0.25,router_and_evidence_weighted_risk,421,0.6362787861939916,0.6287109048554069,0.6468217883708907,0.6418714651205804,0.6373265858233242,0,0,0,610,121.62061756652666,119.22827373089936,0.9803294549600631,1013.2150315999164,0.8648976148598477,0.225835390552936,0.21935797006538688,0.21589206704208755,204,0.999091682519181,1139,0.9680047273705962,0.9830683306343644,0.9785204609288185,0.9808527255768135,0.47490811577621256,1.6630536802330544,True
load_aware_risk_s0.25,load_weighted_risk,415,0.6398906957140685,0.6281951112211054,0.6472817690266952,0.6458366571106205,0.64315599726136,0,0,0,610,121.62061756652666,119.27668338536401,0.9807274931828025,1017.1692283738574,0.8682729846005313,0.2259383900627912,0.21943071653118795,0.21600276473566127,204,0.9990642951135439,1139,0.968981364252078,0.9833614069088706,0.9789856316810993,0.9814323247662308,0.4820631350964132,1.663526168700506,True
subspace_cap_s0.50,subspace_weighted_cap,426,0.6261174910856443,0.6033791444108989,0.6472973320913493,0.6469224245331342,0.6388179062715179,0,0,0,610,121.62061756652666,119.1248140827895,0.979478779719467,1009.0338359714474,0.8613284750291693,0.225567854471114,0.21913864506412434,0.2156097820019286,204,0.9988081756745666,1139,0.9660669873495766,0.9821809200249854,0.9773405543484055,0.9802146051699857,0.46178158709206657,1.6655393824918059,True
geometry_cap_s0.50,geometry_weighted_cap,430,0.6238090274872877,0.6066605889293252,0.6411054270767786,0.6400366168667508,0.6341878856603133,0,0,0,610,121.62061756652666,119.07413902453882,0.9790621146896009,1007.8462905014478,0.8603147659817242,0.22548537311939412,0.2190694836846734,0.21555813535104543,204,0.9988022966862845,1139,0.966289083482758,0.9818430633603829,0.9770733069159857,0.9800291380118192,0.4637437815425793,1.6676582049718693,True
smooth_risk_s0.50,continuous_mechanism_risk,434,0.6268799314768629,0.6106503707370177,0.6432674954507797,0.6361221903687351,0.628680396449728,0,0,0,610,121.62061756652666,119.0199626799209,0.9786166610674937,1005.3150579947222,0.858154062785024,0.225389205201562,0.2189951042015997,0.215484602294475,204,0.9987889817586225,1139,0.966074661138808,0.9815003535933504,0.976729053044506,0.9796428196098323,0.46415223495646535,1.6688200459132563,True
router_evidence_risk_s0.50,router_and_evidence_weighted_risk,439,0.6225575723879831,0.6074218097108138,0.6436435767417813,0.6337429302411606,0.6249163371416759,0,0,0,610,121.62061756652666,118.9770495327365,0.9782638167221596,1002.5554475035809,0.8557984122495582,0.2253097689068619,0.21893850812249915,0.2154139673787822,204,0.998848407225725,1139,0.9656234905515847,0.9812514349568695,0.9764152319426712,0.9792268479165779,0.4600769963960343,1.6690829782994192,True
load_aware_risk_s0.50,load_weighted_risk,429,0.629781391428137,0.6063902224422106,0.6445635380533904,0.6416733142212411,0.6364783593527823,0,0,0,610,121.62061756652666,119.07428912637627,0.9790633488704533,1010.5593653869498,0.8626306929313092,0.22552104895267766,0.2190869194810398,0.215644200249459,204,0.9987936324144507,1139,0.9676279525175281,0.981841885077269,0.9773800099691414,0.9804252717081655,0.47438703503643553,1.670098476520241,True
subspace_cap_s0.75,subspace_weighted_cap,443,0.6141762366284663,0.5800687166163484,0.6459459981370239,0.6453836367997012,0.6333520640595067,0,0,0,610,121.62061756652666,118.94055633237679,0.9779637590420566,1001.5168836538484,0.8549118764516289,0.22515370144133806,0.21880415361315889,0.2152110356640743,204,0.9985447846055314,1139,0.9638072682316092,0.9807667017960109,0.9756185143577111,0.9790458290502551,0.44780276305990446,1.6701195008329761,True
geometry_cap_s0.75,geometry_weighted_cap,449,0.6107135412309318,0.5849908833939877,0.636658140615168,0.6350549253001262,0.6268120468484922,0,0,0,610,121.62061756652666,118.85754069736402,0.977281180407991,999.6695351632957,0.8533349483036414,0.2250182134699731,0.21869020947847068,0.21512522712832408,204,0.9985359661231082,1139,0.9641614776819444,0.980210873210611,0.9751758779818077,0.9787543994587212,0.4507460547356736,1.6736722332019498,True
subspace_cap_s1.00,subspace_weighted_cap,458,0.6022349821712885,0.5567582888217979,0.6445946641826986,0.6438448490662683,0.6285540555520458,0,0,0,610,121.62061756652666,118.74270651265624,0.9763369804277124,993.8123452339023,0.8483351511808982,0.22470816127139095,0.21844317628687349,0.21478052015965876,204,0.9982813935364963,1139,0.9613941409005723,0.9792416583279486,0.9737607662389383,0.9778120149342749,0.4338239390277423,1.6753461104580594,True
