lambda,task_a_loss,task_b_loss,task_a_acc,task_b_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.0,0.24550008243984647,0.2491676874000933,0.95,0.9497206703910615,0.24733388491996988,0.2491676874000933,0.9498603351955307,0.9497206703910615
0.025,0.23284452226426866,0.2334887275482689,0.9555555555555556,0.9553072625698324,0.23316662490626877,0.2334887275482689,0.9554314090626941,0.9553072625698324
0.05,0.2211922115749783,0.2196373646485739,0.9555555555555556,0.9553072625698324,0.2204147881117761,0.2211922115749783,0.9554314090626941,0.9553072625698324
0.07500000000000001,0.21062037944793702,0.20759767926605055,0.9555555555555556,0.9608938547486033,0.20910902935699377,0.21062037944793702,0.9582247051520795,0.9555555555555556
0.1,0.20083731280432807,0.19704996673754474,0.9555555555555556,0.9608938547486033,0.1989436397709364,0.20083731280432807,0.9582247051520795,0.9555555555555556
0.125,0.19177219602796766,0.1877536454014272,0.9611111111111111,0.9608938547486033,0.18976292071469741,0.19177219602796766,0.9610024829298572,0.9608938547486033
0.15000000000000002,0.18386643992529975,0.17969477776042575,0.9611111111111111,0.9553072625698324,0.18178060884286273,0.18386643992529975,0.9582091868404718,0.9553072625698324
0.17500000000000002,0.17679557005564372,0.1729136259196191,0.9611111111111111,0.9553072625698324,0.17485459798763142,0.17679557005564372,0.9582091868404718,0.9553072625698324
0.2,0.1704686827129788,0.1672640699248074,0.9611111111111111,0.9553072625698324,0.16886637631889312,0.1704686827129788,0.9582091868404718,0.9553072625698324
0.225,0.16480280293358696,0.16280331425160668,0.9611111111111111,0.9553072625698324,0.1638030585925968,0.16480280293358696,0.9582091868404718,0.9553072625698324
0.25,0.15991758505503337,0.15939521256771833,0.9611111111111111,0.9553072625698324,0.15965639881137583,0.15991758505503337,0.9582091868404718,0.9553072625698324
0.275,0.15526061322953966,0.15674198939147607,0.9611111111111111,0.9553072625698324,0.15600130131050788,0.15674198939147607,0.9582091868404718,0.9553072625698324
0.30000000000000004,0.15112956364949545,0.15480069741190478,0.9611111111111111,0.9553072625698324,0.1529651305307001,0.15480069741190478,0.9582091868404718,0.9553072625698324
0.325,0.14759038156933255,0.1539229760622845,0.9611111111111111,0.9608938547486033,0.1507566788158085,0.1539229760622845,0.9610024829298572,0.9608938547486033
0.35000000000000003,0.1446522659725613,0.1540946001447113,0.9611111111111111,0.9608938547486033,0.14937343305863632,0.1540946001447113,0.9610024829298572,0.9608938547486033
0.375,0.1422593182987637,0.15527068303284033,0.9611111111111111,0.9608938547486033,0.148765000665802,0.15527068303284033,0.9610024829298572,0.9608938547486033
0.4,0.14048045343822904,0.15744040398624357,0.9666666666666667,0.9608938547486033,0.1489604287122363,0.15744040398624357,0.963780260707635,0.9608938547486033
0.42500000000000004,0.13894467486275566,0.16035223273591623,0.9666666666666667,0.9608938547486033,0.14964845379933595,0.16035223273591623,0.963780260707635,0.9608938547486033
0.45,0.1379608021842109,0.1642248004508418,0.9666666666666667,0.9608938547486033,0.15109280131752634,0.1642248004508418,0.963780260707635,0.9608938547486033
0.47500000000000003,0.1378247963057624,0.16903771768069134,0.9666666666666667,0.9553072625698324,0.15343125699322685,0.16903771768069134,0.9609869646182496,0.9553072625698324
0.5,0.13860871924294366,0.1745715434324808,0.9666666666666667,0.9553072625698324,0.1565901313377122,0.1745715434324808,0.9609869646182496,0.9553072625698324
0.525,0.14062358538309733,0.1810704822646839,0.9666666666666667,0.9497206703910615,0.1608470338238906,0.1810704822646839,0.9581936685288641,0.9497206703910615
0.55,0.14416271050771076,0.1884774682242111,0.9666666666666667,0.9441340782122905,0.16632008936596093,0.1884774682242111,0.9554003724394786,0.9441340782122905
0.5750000000000001,0.14900657335917156,0.19692980377367755,0.9555555555555556,0.9441340782122905,0.17296818856642454,0.19692980377367755,0.9498448168839231,0.9441340782122905
0.6000000000000001,0.1544578989346822,0.20619722717967112,0.95,0.9441340782122905,0.18032756305717668,0.20619722717967112,0.9470670391061452,0.9441340782122905
0.625,0.16132335133022732,0.2164402647391378,0.95,0.9441340782122905,0.18888180803468257,0.2164402647391378,0.9470670391061452,0.9441340782122905
0.65,0.1691504677136739,0.22747161268521954,0.95,0.9441340782122905,0.19831104019944673,0.22747161268521954,0.9470670391061452,0.9441340782122905
0.675,0.17843507528305053,0.238770927130843,0.9444444444444444,0.9441340782122905,0.20860300120694675,0.238770927130843,0.9442892613283674,0.9441340782122905
0.7000000000000001,0.1887571652730306,0.2515378557769946,0.9388888888888889,0.9441340782122905,0.2201475105250126,0.2515378557769946,0.9415114835505897,0.9388888888888889
0.7250000000000001,0.20020911163753932,0.2658572809656239,0.9388888888888889,0.9385474860335196,0.2330331963015816,0.2658572809656239,0.9387181874612043,0.9385474860335196
0.75,0.21243677404191758,0.28149927661405594,0.9388888888888889,0.9329608938547486,0.24696802532798676,0.28149927661405594,0.9359248913718188,0.9329608938547486
0.775,0.22571157349480522,0.29899601430200334,0.9333333333333333,0.9329608938547486,0.2623537938984043,0.29899601430200334,0.933147113594041,0.9329608938547486
0.8,0.2390524016486274,0.3187071091635933,0.9222222222222223,0.9106145251396648,0.2788797554061103,0.3187071091635933,0.9164183736809435,0.9106145251396648
0.8250000000000001,0.2532828516430325,0.3411994273436136,0.9055555555555556,0.9050279329608939,0.29724113949332304,0.3411994273436136,0.9052917442582247,0.9050279329608939
0.8500000000000001,0.26828461752997507,0.3661390656199535,0.9,0.8994413407821229,0.3172118415749643,0.3661390656199535,0.8997206703910614,0.8994413407821229
0.875,0.28424221144782175,0.3935187888545031,0.8888888888888888,0.888268156424581,0.33888050015116244,0.3935187888545031,0.8885785226567349,0.888268156424581
