expert,layer,examples,augmented_dim,trace,condition
low_digits,net.0,541,65,8696.515625,619390953523.3982
low_digits,net.3,541,129,37142.81520282974,155156.07178045454
low_digits,net.6,541,65,48135.69977986182,1557369698106.3167
high_digits,net.0,537,65,8532.890625,623693125014.3306
high_digits,net.3,537,129,36936.92918540236,240407.74747537577
high_digits,net.6,537,65,43606.127922335414,9235250.792418553
