experiment,directory,metric_family,objective,orientation,base_value,linear_average_value,best_grid_value,best_grid_alpha,best_grid_beta,best_method,best_method_value,linear_gain_vs_base,linear_gap_to_best_grid,midpoint_loss_barrier,conflict_cosine,weighted_conflict,max_weighted_conflict,top_conflict_group,verdict,average_weight_suggestion,recommended_action
digits,results/digits_merge,accuracy,worst_acc,higher,0.9166666666666666,0.9222222222222224,0.9608938547486032,0.35,0.35,regmean_linear,0.9388888888888888,0.005555555555555758,0.03867163252638084,-6.256419533813022,-0.0031628819096083485,0.5071892781956531,1.0,net.6.bias,coefficient_search,"{""alpha"": 0.35, ""beta"": 0.35, ""source"": ""best_grid_by_worst_objective""}",平均可用但系数敏感；用 min-max validation objective 选 alpha/beta 或 layer-wise lambda。
cifar10,results/cifar_merge,accuracy,worst_acc,higher,0.3759259259259259,0.2490740740740741,0.4259259259259259,0.125,0.275,validation_grid_best,0.4259259259259259,-0.1268518518518518,0.1768518518518518,-4.544273757934571,0.011038495558047206,0.49105488926252616,0.9868419515640624,classifier.bias,avoid_uniform_average,"{""alpha"": 0.125, ""beta"": 0.275, ""source"": ""best_grid_by_worst_objective""}",不要用 0.5/0.5 或 1/n；先做 connectivity/barrier 筛选，再用验证集重学同构平均权重。
cifar100_vit,results/cifar100_vit_merge,accuracy,worst_acc,higher,0.1890625,0.0760416666666666,0.19375,0.03125,0.03125,task_arithmetic_best_lambda,0.196875,-0.11302083333333339,0.1177083333333334,-2.83356679280599,-0.18281940499971522,0.6381163366607894,1.0,head.bias,avoid_uniform_average,"{""alpha"": 0.03125, ""beta"": 0.03125, ""source"": ""best_grid_by_worst_objective""}",不要用 0.5/0.5 或 1/n；先做 connectivity/barrier 筛选，再用验证集重学同构平均权重。
pretrained_vit,results/pretrained_vit_transfer_merge,accuracy,worst_acc,higher,0.74,0.7633333333333333,0.7833333333333333,0.35,0.125,validation_grid_best,0.7833333333333333,0.023333333333333317,0.020000000000000018,-2.2520906829833987,-0.06856676804438987,0.5538138565068437,0.8317997455596924,bias,coefficient_search,"{""alpha"": 0.35, ""beta"": 0.125, ""source"": ""best_grid_by_worst_objective""}",平均可用但系数敏感；用 min-max validation objective 选 alpha/beta 或 layer-wise lambda。
qwen_instruct_coder,results/qwen_multi_expert_merge,nll,worst_nll,lower,7.843919941023285,9.553208295036764,7.541322446336933,1.0,0.0,instruct_expert,7.541322446336933,-1.7092883540134798,2.0118858486998317,1.966677647010953,0.1395829370985437,0.3862239436806434,0.3862239436806434,instruct vs coder,avoid_uniform_average,"{""alpha"": 1.0, ""beta"": 0.0, ""source"": ""best_grid_by_worst_objective""}",不要用 0.5/0.5 或 1/n；先做 connectivity/barrier 筛选，再用验证集重学同构平均权重。
