router_seed,sweep_capacity_loss_coef,epoch,source,examples,source_weight,dispatch_mode,soft_loss_coef,dispatch_loss_coef,route_kd_coef,output_kd_coef,top1_loss_coef,base_kl_coef,load_balance_coef,capacity_loss_coef,capacity_factor,temperature,soft_ce,dispatch_ce,route_kl,output_kd,top1_ce,base_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
base_router,0.0,0,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6077196760177612,0.5504134941101074,0.00038940345658920706,0.0005642682244069874,1.0041702885627746,3.247729019494727e-05,1.0372782287597657,0.10437498432397842,1.3095138511657716,0.7821098980903626,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,0,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6474473180770874,0.6415175342559815,0.00038232690165750685,0.00036018663900904357,1.0007202167510987,0.00012718495714943856,1.0412653665542602,0.02440155041217804,1.069417908668518,0.8371501212120056,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,1,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.604722990512848,0.5500655007362366,0.00032260737288743256,0.0005082549918442964,0.9739376282691956,0.0007795714046806097,1.046329174041748,0.1155184034705162,1.3696588678359984,0.7746869993209838,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,1,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6452357401847839,0.6381885986328125,0.0009572053197771311,0.00029368979251012206,0.9803413949012756,0.0007054839176125824,1.044182819366455,0.04209259083867073,1.1111893634796142,0.8305618615150452,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,2,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6023439879417419,0.5518205728530884,0.0011010076943784952,0.0005426098024472595,0.9511906723976136,0.00221102649345994,1.0531207046508788,0.1289202731847763,1.4125448265075684,0.7707092928886413,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,2,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6432000188827515,0.6354887933731079,0.0022101346924901007,0.0002462931841146201,0.9596420774459838,0.0019473447427153588,1.0483910989761354,0.061022751808166506,1.1489584493637084,0.8248859186172486,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,3,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6002108707427979,0.5529570517539978,0.002465076923370361,0.0006161460960283875,0.9309505186080933,0.00415282204374671,1.0597567129135133,0.137797544836998,1.4409521551132203,0.7675153069496155,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,3,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6413699126243592,0.634938862323761,0.003994162127375603,0.00021902328403666614,0.9400764808654786,0.003724862042814493,1.053182321548462,0.07854421830177308,1.1778971328735353,0.8210775709152222,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,4,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.5982731084823608,0.5536539344787598,0.004220528677105904,0.0007176754572428762,0.912599292755127,0.0064133868701756,1.0662423572540283,0.14650425469875336,1.4688136377334595,0.7648829164505004,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,4,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6397556171417237,0.6330274276733399,0.006106084376573563,0.0002097423697123304,0.9221805930137634,0.005842917714267969,1.058086769104004,0.09423130869865418,1.206063985824585,0.8173202195167542,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,5,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.5965107922554016,0.5543853392601014,0.006196935925632715,0.0008391642468050122,0.895938847064972,0.008822506859898566,1.0724326629638672,0.151056898355484,1.483382085800171,0.762852454662323,capacity_aware_unified_router_objective_expert_aligned_same_shape
