epoch,source,examples,temperature,source_weight,kd_loss,router_kl,aux_loss,same_shape_action
0,general_source,500,2.0,0.5,0.0005455892104655504,3.83307037409395e-05,1.0339728908538819,router_only_label_free_kd
0,matched_code_source,500,2.0,0.5,0.0006291365693323315,0.00012408780911937357,1.0465308570861815,router_only_label_free_kd
1,general_source,500,2.0,0.5,0.0005129589894786477,0.0005414978386834264,1.026365421295166,router_only_label_free_kd
1,matched_code_source,500,2.0,0.5,0.0005874302508309484,0.00010390728601487353,1.0425357112884521,router_only_label_free_kd
2,general_source,500,2.0,0.5,0.0005257132076658308,0.0008861417663283646,1.0237658262252807,router_only_label_free_kd
2,matched_code_source,500,2.0,0.5,0.0005675611412152648,0.00034858345566317437,1.0381849002838135,router_only_label_free_kd
3,general_source,500,2.0,0.5,0.0005363788530230523,0.001177242781035602,1.02256121635437,router_only_label_free_kd
3,matched_code_source,500,2.0,0.5,0.0005790576925501227,0.0007331332014873623,1.034497631072998,router_only_label_free_kd
4,general_source,500,2.0,0.5,0.0005422833021730184,0.0014245874742045998,1.0217368745803832,router_only_label_free_kd
4,matched_code_source,500,2.0,0.5,0.0006107821478508413,0.0010018400996923446,1.031804370880127,router_only_label_free_kd
5,general_source,500,2.0,0.5,0.0005519497459754348,0.0016114165829494596,1.0209295139312744,router_only_label_free_kd
5,matched_code_source,500,2.0,0.5,0.0006426525139249861,0.0011040310887619853,1.0303018827438355,router_only_label_free_kd
6,general_source,500,2.0,0.5,0.0005691945529542864,0.0016907081454992294,1.020254885673523,router_only_label_free_kd
6,matched_code_source,500,2.0,0.5,0.0006592767178080976,0.0010888612372800708,1.0299112129211425,router_only_label_free_kd
7,general_source,500,2.0,0.5,0.0005876934537664056,0.0016236417274922133,1.0200390577316285,router_only_label_free_kd
7,matched_code_source,500,2.0,0.5,0.0006584196062758565,0.001011747883632779,1.0302606182098388,router_only_label_free_kd
