epoch,source,examples,temperature,top1_loss_coef,source_weight,route_kl,top1_ce,aux_loss,same_shape_action
0,general_source,500,1.0,0.25,0.5,0.0003894026328343898,1.0041702885627746,1.0372782287597657,router_only_label_free_route_kd
0,matched_code_source,500,1.0,0.25,0.5,0.0003832657993771136,1.0008309020996093,1.041244725227356,router_only_label_free_route_kd
1,general_source,500,1.0,0.25,0.5,0.0003441971526481211,0.9744378633499146,1.0461728925704956,router_only_label_free_route_kd
1,matched_code_source,500,1.0,0.25,0.5,0.0009432470966130495,0.9800179190635682,1.0441901397705078,router_only_label_free_route_kd
2,general_source,500,1.0,0.25,0.5,0.0010653659868985414,0.9526250214576721,1.0525782508850097,router_only_label_free_route_kd
2,matched_code_source,500,1.0,0.25,0.5,0.002115253921598196,0.9589673414230346,1.0484306926727296,router_only_label_free_route_kd
3,general_source,500,1.0,0.25,0.5,0.0022247218992561104,0.9334520254135131,1.058652503013611,router_only_label_free_route_kd
3,matched_code_source,500,1.0,0.25,0.5,0.0037434023916721342,0.9392727780342102,1.053277850151062,router_only_label_free_route_kd
4,general_source,500,1.0,0.25,0.5,0.0036383632980287075,0.9162988405227661,1.0644829654693604,router_only_label_free_route_kd
4,matched_code_source,500,1.0,0.25,0.5,0.00562146519497037,0.9215334587097168,1.0582713766098022,router_only_label_free_route_kd
5,general_source,500,1.0,0.25,0.5,0.0051803655736148355,0.9010429520606995,1.0700485372543336,router_only_label_free_route_kd
5,matched_code_source,500,1.0,0.25,0.5,0.007546216204762458,0.906013470172882,1.0630561361312867,router_only_label_free_route_kd
6,general_source,500,1.0,0.25,0.5,0.006754527349025011,0.8876916794776917,1.075314124107361,router_only_label_free_route_kd
6,matched_code_source,500,1.0,0.25,0.5,0.009355907768011092,0.892758924484253,1.0674046277999878,router_only_label_free_route_kd
7,general_source,500,1.0,0.25,0.5,0.008280557207763195,0.876260326385498,1.0802256021499634,router_only_label_free_route_kd
7,matched_code_source,500,1.0,0.25,0.5,0.01095229772478342,0.8816453528404236,1.0712268590927123,router_only_label_free_route_kd
