expert_id,category,tokens,route_mass,target_delta_energy,same_shape_action,residual_energy,captured_fraction,unconstrained_weight_general,unconstrained_weight_code,weight_general,weight_code,anchor_weight,ridge_value,dispatch_mode
0,general,500,201.81105041503906,1.571599191589375,route_conditioned_output_space_probe,,,,,,,,,
0,code,500,28.07969093322754,0.1627734123657179,route_conditioned_output_space_probe,,,,,,,,,
0,combined,1000,229.8907413482666,1.7343726039550929,route_conditioned_output_space_expert_delta,0.07392998536020445,0.9573736432462014,0.8899242605973348,0.13567658644981068,0.8771238370737621,0.12287616292623793,0.0,0.00013315864916903437,hard_top2
1,general,500,62.277042388916016,1.1043284085982408,route_conditioned_output_space_probe,,,,,,,,,
1,code,500,156.01793670654297,1.5665031035849302,route_conditioned_output_space_probe,,,,,,,,,
1,combined,1000,218.29497909545898,2.670831512183171,route_conditioned_output_space_expert_delta,1.7779474405715212,0.33430939673232896,0.8610198206327049,1.1738910122073185,0.3435644042126932,0.6564355957873068,0.0,0.00021793061435360797,hard_top2
2,general,500,75.13811492919922,0.6023217195022277,route_conditioned_output_space_probe,,,,,,,,,
2,code,500,169.8943634033203,0.39917371018832687,route_conditioned_output_space_probe,,,,,,,,,
2,combined,1000,245.03247833251953,1.0014954296905545,route_conditioned_output_space_expert_delta,0.7628883309496984,0.23825081140368431,0.40705474846707906,0.16336417841269565,0.40705474846707906,0.16336417841269565,0.4295810731202253,0.0001302008252420099,hard_top2
3,general,500,160.77378845214844,0.3699314863995276,route_conditioned_output_space_probe,,,,,,,,,
3,code,500,146.0080108642578,0.38645816334669936,route_conditioned_output_space_probe,,,,,,,,,
3,combined,1000,306.78179931640625,0.756389649746227,route_conditioned_output_space_expert_delta,0.04863059953680504,0.9357069474005615,0.2533199043394669,0.649234837274603,0.2533199043394669,0.649234837274603,0.0974452583859301,0.0001,hard_top2
