router_seed,sweep_capacity_loss_coef,epoch,source,examples,source_weight,dispatch_mode,soft_loss_coef,dispatch_loss_coef,route_kd_coef,output_kd_coef,top1_loss_coef,base_kl_coef,load_balance_coef,capacity_loss_coef,capacity_factor,temperature,soft_ce,dispatch_ce,route_kl,output_kd,top1_ce,base_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
base_router,0.0,0,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6084648365974427,0.5524159889221192,0.00038940345658920706,0.0007160734999924898,1.0041702885627746,3.247729019494727e-05,1.0372782287597657,0.10437498432397842,1.3095138511657716,0.7832974276542664,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,0,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6457681312561036,0.6393798618316651,0.0003823224259540439,0.00028126001567579804,1.0007322072982787,0.000127132834517397,1.0412639122009277,0.0243998407125473,1.0694128637313842,0.8356643619537354,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,1,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.605515230178833,0.5521786918640137,0.000323152806609869,0.0006668972871266306,0.9739410119056702,0.0007792029515840113,1.046337935447693,0.11552516144514084,1.3696805171966553,0.7759435529708862,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,1,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6435196146965027,0.6358857731819153,0.0009564528623595834,0.00022156262747012077,0.9804115195274353,0.0007030174797400832,1.044168077468872,0.04208569341897964,1.111194239616394,0.8289964261054993,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,2,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6032034969329834,0.5544578337669372,0.001101492146961391,0.000715575823560357,0.9511919126510621,0.0022089264504611492,1.0531465349197389,0.12815537714958192,1.4100971946716307,0.7722454104423523,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,2,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6414400072097778,0.6331490669250488,0.002206510787829757,0.00018060958653222769,0.9597433609962464,0.0019401042368263005,1.0483677778244018,0.06101005655527115,1.14901607131958,0.8232954320907593,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,3,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6011402115821839,0.5552215900421142,0.002465144645422697,0.0008047950360924005,0.9309506850242615,0.004148234810680151,1.0597912769317628,0.1378284788131714,1.4410511560440062,0.7688822731971741,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,3,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6395663614273072,0.632544216632843,0.003988067656755447,0.000159907044027932,0.9401976146697998,0.003713107131421566,1.0531599349975587,0.07854457122087478,1.1780581293106078,0.8194513897895813,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,4,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.5992656750679016,0.5559226522445678,0.004218916375190019,0.0009213933954015374,0.9126027693748474,0.006407137203961611,1.0662989749908447,0.14655987560749054,1.4689916257858275,0.7662695894241333,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,4,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6379115419387817,0.6306088647842407,0.006100299518555403,0.00015744442015420645,0.9223153471946717,0.005829241782426834,1.0580799255371094,0.09425810062885284,1.2063875541687012,0.815676616191864,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,5,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.5975601181983948,0.5566698684692383,0.006192816752940416,0.0010571637265384198,0.8959535436630249,0.008815645419061184,1.0725233602523803,0.151150514960289,1.4836816606521606,0.7642660074234009,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,5,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6364734859466553,0.6297299308776856,0.008323734067380429,0.00017042091267649085,0.9063868651390076,0.008074374161660671,1.0627331008911134,0.10433261209726334,1.2129371538162232,0.8130338249206543,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,6,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.5960060291290283,0.5566535935401916,0.00824703036993742,0.0012020995672792196,0.8809770407676697,0.011239183776080608,1.0783599491119384,0.15415243446826934,1.4932877426147462,0.762341863155365,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.0,6,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.0,1.25,1.0,0.6352438130378724,0.6292230529785157,0.010477285526692868,0.000196101188310422,0.892483814239502,0.010267877586185931,1.0668732433319092,0.11087637305259705,1.2185880899429322,0.8110363659858704,capacity_aware_unified_router_objective_expert_aligned_same_shape
