sweep_capacity_loss_coef,epoch,examples,dispatch_mode,soft_loss_coef,dispatch_loss_coef,capacity_loss_coef,initial_kl_coef,load_balance_coef,capacity_factor,soft_ce,dispatch_ce,initial_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
0.0,0,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.614427225112915,0.5932091431617736,0.00010672718402929604,1.0528084659576415,0.09143518108129502,1.2610456295013428,1.0057569732666016,router_bias_only_capacity_calibration
0.0,1,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6139443693161011,0.5933075079917908,0.0005262066703289747,1.0550210247039795,0.0939358366727829,1.2802507610321046,1.0060448846817016,router_bias_only_capacity_calibration
0.0,2,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6135617384910583,0.5927990808486938,0.0010920603750273585,1.0577510290145875,0.09666392529010773,1.2963899955749512,1.0059010772705077,router_bias_only_capacity_calibration
0.0,3,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6133196082115173,0.5926082668304443,0.0015022261068224907,1.0598687715530395,0.09777612280845642,1.3022220096588135,1.006006067276001,router_bias_only_capacity_calibration
0.0,4,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6132275729179383,0.5922757697105407,0.0016017877766862513,1.0606451988220216,0.09806188175082206,1.3014316596984863,1.0057549600601197,router_bias_only_capacity_calibration
0.0,5,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6132344360351563,0.5928757104873658,0.0014771331604570151,1.060488699913025,0.097548553109169,1.2978467140197754,1.0062803316116333,router_bias_only_capacity_calibration
0.0,6,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6133058443069458,0.5929119257926941,0.0012393746031448246,1.0597449378967285,0.09626345044374465,1.2926721496582032,1.0061590299606322,router_bias_only_capacity_calibration
0.0,7,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6133968081474305,0.5932353501319885,0.0010192645150236786,1.058833044052124,0.09531697091460228,1.2892904748916627,1.0063267049789428,router_bias_only_capacity_calibration
0.05,0,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6144233694076539,0.5931944546699524,9.197044221218675e-05,1.0530369205474854,0.09208518135547637,1.2626759338378906,1.0075239801406861,router_bias_only_capacity_calibration
0.05,1,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6139792227745056,0.5930479121208191,0.00040141004603356123,1.0547777004241943,0.09438669621944427,1.277213556289673,1.0076760587692262,router_bias_only_capacity_calibration
