method,dispatch_mode,general_loss,code_loss,general_acc,code_acc,avg_loss,worst_loss,avg_acc,worst_acc
base,soft_all,0.6040657806396484,0.6577386665344238,0.8225,0.7325,0.6309022235870361,0.6577386665344238,0.7775000000000001,0.7325
base,hard_top1,0.5230231666564942,0.6438011741638183,0.7875,0.61,0.5834121704101562,0.6438011741638183,0.69875,0.61
base,hard_top2,0.5474185752868652,0.6491246604919434,0.83,0.615,0.5982716178894043,0.6491246604919434,0.7224999999999999,0.615
general_endpoint,soft_all,0.5859851837158203,0.6602629280090332,0.8225,0.7225,0.6231240558624267,0.6602629280090332,0.7725,0.7225
general_endpoint,hard_top1,0.4782404899597168,0.6489068603515625,0.8125,0.63,0.5635736751556397,0.6489068603515625,0.72125,0.63
general_endpoint,hard_top2,0.5175167274475098,0.6541433334350586,0.8325,0.6475,0.5858300304412842,0.6541433334350586,0.74,0.6475
code_endpoint_permuted,soft_all,0.6011338806152344,0.6397603416442871,0.85,0.7575,0.6204471111297607,0.6397603416442871,0.80375,0.7575
code_endpoint_permuted,hard_top1,0.5342168807983398,0.6327099609375,0.7775,0.5775,0.5834634208679199,0.6327099609375,0.6775,0.5775
code_endpoint_permuted,hard_top2,0.5462646675109863,0.6286698913574219,0.8275,0.6375,0.5874672794342042,0.6286698913574219,0.7324999999999999,0.6375
all_weight_average,soft_all,0.6539714431762695,0.6943394660949707,0.7025,0.545,0.6741554546356201,0.6943394660949707,0.62375,0.545
all_weight_average,hard_top1,0.5904512214660644,0.6951250839233398,0.7725,0.55,0.6427881526947021,0.6951250839233398,0.66125,0.55
all_weight_average,hard_top2,0.6268953132629395,0.703781566619873,0.75,0.5625,0.6653384399414062,0.703781566619873,0.65625,0.5625
router_frozen_average,soft_all,0.6475614929199218,0.7070934104919434,0.7075,0.555,0.6773274517059327,0.7070934104919434,0.6312500000000001,0.555
router_frozen_average,hard_top1,0.6122343254089355,0.7176422691345214,0.73,0.58,0.6649382972717285,0.7176422691345214,0.655,0.58
router_frozen_average,hard_top2,0.6131512451171875,0.7222991943359375,0.77,0.5075,0.6677252197265625,0.7222991943359375,0.6387499999999999,0.5075
expert_matched_average,soft_all,0.5930680274963379,0.6494610595703125,0.8325,0.75,0.6212645435333253,0.6494610595703125,0.79125,0.75
expert_matched_average,hard_top1,0.5004273796081543,0.6376436042785645,0.8025,0.6225,0.5690354919433593,0.6376436042785645,0.7125,0.6225
expert_matched_average,hard_top2,0.5310391807556152,0.6399863624572754,0.845,0.6525,0.5855127716064452,0.6399863624572754,0.74875,0.6525
matched_router_frozen_average,soft_all,0.595129623413086,0.6523407554626465,0.8275,0.7425,0.6237351894378662,0.6523407554626465,0.785,0.7425
matched_router_frozen_average,hard_top1,0.5051329612731934,0.6424933052062989,0.795,0.62,0.5738131332397461,0.6424933052062989,0.7075,0.62
matched_router_frozen_average,hard_top2,0.5325559616088867,0.6403057861328125,0.8425,0.66,0.5864308738708497,0.6403057861328125,0.75125,0.66
expert_matched_regmean_average,soft_all,0.5932491302490235,0.647327651977539,0.82,0.75,0.6202883911132813,0.647327651977539,0.7849999999999999,0.75
expert_matched_regmean_average,hard_top1,0.49523460388183593,0.6369771957397461,0.8025,0.61,0.5661058998107911,0.6369771957397461,0.70625,0.61
expert_matched_regmean_average,hard_top2,0.5259440803527832,0.63491304397583,0.8325,0.64,0.5804285621643066,0.63491304397583,0.7362500000000001,0.64
expert_matched_ties_average,soft_all,0.5907342720031739,0.6566473007202148,0.8275,0.71,0.6236907863616943,0.6566473007202148,0.76875,0.71
expert_matched_ties_average,hard_top1,0.5007052803039551,0.6500142860412598,0.8,0.595,0.5753597831726074,0.6500142860412598,0.6975,0.595
expert_matched_ties_average,hard_top2,0.5268356132507325,0.646369457244873,0.84,0.655,0.5866025352478028,0.646369457244873,0.7475,0.655
expert_matched_dare_average,soft_all,0.5958897018432617,0.6525164985656738,0.8325,0.7325,0.6242031002044678,0.6525164985656738,0.7825,0.7325
expert_matched_dare_average,hard_top1,0.5066343879699707,0.642268238067627,0.795,0.62,0.5744513130187989,0.642268238067627,0.7075,0.62
expert_matched_dare_average,hard_top2,0.5334927368164063,0.6407343292236328,0.8375,0.66,0.5871135330200196,0.6407343292236328,0.74875,0.66
expert_matched_ties_dare_average,soft_all,0.590112247467041,0.6536169052124023,0.835,0.7125,0.6218645763397217,0.6536169052124023,0.7737499999999999,0.7125
expert_matched_ties_dare_average,hard_top1,0.5008475685119629,0.6447186279296875,0.8,0.6175,0.5727830982208252,0.6447186279296875,0.70875,0.6175
expert_matched_ties_dare_average,hard_top2,0.5256164932250976,0.6405657958984375,0.835,0.6625,0.5830911445617676,0.6405657958984375,0.74875,0.6625
matched_router_weight_search_average,soft_all,0.5944168281555176,0.6481317138671875,0.835,0.75,0.6212742710113526,0.6481317138671875,0.7925,0.75
matched_router_weight_search_average,hard_top1,0.5182841300964356,0.6415431022644043,0.785,0.6075,0.5799136161804199,0.6415431022644043,0.69625,0.6075
