sweep_capacity_loss_coef,epoch,examples,dispatch_mode,soft_loss_coef,dispatch_loss_coef,capacity_loss_coef,initial_kl_coef,load_balance_coef,capacity_factor,soft_ce,dispatch_ce,initial_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
0.0,0,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6139786314964294,0.5923455619812011,0.00011070830654352903,1.0584709968566894,0.10828044134378433,1.3109554271697998,1.0052373399734498,router_bias_only_capacity_calibration
0.0,1,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6135072793960571,0.5919996347427369,0.00052621701778844,1.0616806640625,0.10853516304492951,1.3294354276657105,1.005184471130371,router_bias_only_capacity_calibration
0.0,2,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6131750502586365,0.5925672717094421,0.001003803095780313,1.0646455478668213,0.10891684639453889,1.3373197898864746,1.0061212635040284,router_bias_only_capacity_calibration
0.0,3,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6130163741111755,0.5922646341323853,0.0012176942955702543,1.066041913986206,0.10791880798339844,1.3380334167480468,1.0059858875274659,router_bias_only_capacity_calibration
0.0,4,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6129946141242981,0.592333905696869,0.0011441185576841234,1.0659874000549316,0.10741920483112335,1.3359003238677978,1.0060020141601562,router_bias_only_capacity_calibration
0.0,5,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6130563473701477,0.592642725944519,0.000941229841671884,1.0650479393005372,0.10670837473869324,1.3312366228103638,1.0061463136672975,router_bias_only_capacity_calibration
0.0,6,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6131391649246216,0.593059919834137,0.000756716379430145,1.0639940032958983,0.1044717100262642,1.321454179763794,1.0064072437286378,router_bias_only_capacity_calibration
0.0,7,1000,hard_top2,0.5,1.0,0.0,0.5,0.1,1.25,0.6132028408050537,0.592979371547699,0.0006463658055290579,1.0632391862869264,0.10350118952989579,1.316571322441101,1.0062279243469239,router_bias_only_capacity_calibration
0.05,0,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6140811467170715,0.5913632745742798,6.508410873357206e-05,1.0590088424682618,0.10969230645895005,1.3061606826782226,1.0068174562454224,router_bias_only_capacity_calibration
0.05,1,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6137662086486816,0.5922490358352661,0.00020638124784454702,1.0594752769470215,0.10518124330043793,1.3137693099975587,1.0075927629470824,router_bias_only_capacity_calibration
0.05,2,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6134621591567994,0.5924703340530395,0.0004645047909580171,1.0613077669143676,0.10514108294248581,1.3203676586151123,1.0080849399566651,router_bias_only_capacity_calibration
0.05,3,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6132840390205383,0.5922178359031677,0.0006603778544813395,1.0625344734191895,0.10304077965021133,1.3179928007125854,1.0079623908996582,router_bias_only_capacity_calibration
0.05,4,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6132397623062134,0.5929450349807739,0.0006795970150269568,1.0627073078155518,0.10198455768823624,1.3145530204772948,1.0086889896392823,router_bias_only_capacity_calibration
0.05,5,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6132847051620484,0.5927150359153748,0.0005822732769884169,1.0620815114974975,0.10102030873298645,1.3090495338439943,1.0083229398727418,router_bias_only_capacity_calibration
0.05,6,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6133567872047424,0.5930016417503357,0.00047361913579516113,1.0612655754089355,0.09935087543725968,1.3027695665359498,1.0084272356033326,router_bias_only_capacity_calibration
0.05,7,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6134148659706116,0.5926839265823364,0.0003987097744829953,1.0606369504928588,0.09831949532032012,1.2978308334350586,1.0079647521972657,router_bias_only_capacity_calibration
0.1,0,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6140787396430969,0.5911979098320007,5.968876945553348e-05,1.060035677909851,0.11186383134126664,1.3080284032821656,1.0093879470825196,router_bias_only_capacity_calibration
0.1,1,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.614003933429718,0.591369550704956,8.121257991297171e-05,1.0580495910644532,0.10479624950885773,1.2997627115249635,1.0088314056396483,router_bias_only_capacity_calibration
0.1,2,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6137851347923279,0.5924468107223511,0.0001716384885367006,1.058564687728882,0.10107514905929565,1.3031721124649047,1.009789704322815,router_bias_only_capacity_calibration
0.1,3,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6136109409332275,0.5931576805114747,0.00034113088436424734,1.059325180053711,0.09828249311447143,1.2999230442047118,1.0105486164093018,router_bias_only_capacity_calibration
0.1,4,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6135140872001648,0.5928213739395142,0.0004693686943501234,1.0597767677307128,0.09687979930639266,1.298395302772522,1.010278491973877,router_bias_only_capacity_calibration
