kl_coef,calib_general_loss,calib_code_loss,calib_avg_loss,calib_worst_loss,calib_general_acc,calib_code_acc,calib_avg_acc,calib_worst_acc,test_general_loss,test_code_loss,test_avg_loss,test_worst_loss,test_general_acc,test_code_acc,test_avg_acc,test_worst_acc,min_test_top1_agreement,min_test_topk_jaccard,max_test_top1_fraction,mean_test_router_entropy,eligible_by_route_guard,selected_by_guarded_calib_worst_loss
0.0,0.58823779296875,0.6264430847167969,0.6073404388427734,0.6264430847167969,0.832,0.808,0.8200000000000001,0.808,0.5844074821472168,0.6095201683044433,0.59696382522583,0.6095201683044433,0.8375,0.84,0.83875,0.8375,0.7174999713897705,0.7933333333333333,0.7075,1.269360899925232,False,False
0.05,0.5887359924316407,0.6266932373046875,0.607714614868164,0.6266932373046875,0.83,0.808,0.819,0.808,0.5849507713317871,0.6101212501525879,0.5975360107421874,0.6101212501525879,0.8375,0.8425,0.8400000000000001,0.8375,0.7475000023841858,0.8041666666666667,0.7,1.2709919214248657,False,False
0.25,0.5909534912109375,0.6279638671875,0.6094586791992187,0.6279638671875,0.834,0.804,0.819,0.804,0.5873406410217286,0.6125870132446289,0.5999638271331788,0.6125870132446289,0.8375,0.84,0.83875,0.8375,0.8374999761581421,0.8275,0.66,1.2765194177627563,True,True
1.0,0.5958576049804688,0.6331216430664063,0.6144896240234375,0.6331216430664063,0.828,0.79,0.8089999999999999,0.79,0.5921845054626464,0.6184200477600098,0.6053022766113281,0.6184200477600098,0.8275,0.8275,0.8275,0.8275,0.8849999904632568,0.9016666666666667,0.595,1.2895413041114807,True,False
4.0,0.6041536560058594,0.6434757385253906,0.623814697265625,0.6434757385253906,0.818,0.762,0.79,0.762,0.6001084518432617,0.6286094856262207,0.6143589687347412,0.6286094856262207,0.8225,0.8125,0.8175,0.8125,0.949999988079071,0.9666666666666667,0.585,1.3096681833267212,True,False
