path,kind,steps,endpoint_worst_loss,max_worst_loss,barrier_worst_loss,midpoint_worst_loss,midpoint_worst_acc,min_worst_acc,max_avg_loss
direct_matched_general_to_code,direct_matched,21,0.6602629280090332,0.6602629280090332,0.0,0.6494610595703125,0.75,0.7225,0.6231240558624267
via_expert_matched_average,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6494610595703125,0.75,0.7225,0.6231240558624267
via_matched_router_weight_search,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6481317138671875,0.75,0.7225,0.6231240558624267
via_matched_router_hessian,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6494095420837402,0.75,0.7225,0.6231240558624267
via_matched_router_route_kd,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6403265190124512,0.7625,0.7225,0.6231240558624267
via_matched_router_kd,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6505132102966309,0.745,0.7225,0.6231240558624267
via_matched_router_calibrated,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6298624610900879,0.7975,0.7225,0.6231240558624267
via_matched_router_topk_calibrated,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6406959533691406,0.755,0.7225,0.6231240558624267
via_unified_output_projection_moe_average,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6357795906066894,0.795,0.7225,0.6231240558624267
via_expert_weight_search_router_calibrated,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6280424499511719,0.8025,0.7225,0.6231240558624267
via_expert_output_projection_router_calibrated,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6305874443054199,0.8075,0.7225,0.6231240558624267
via_unified_moe_average,candidate_two_segment,21,0.6602629280090332,0.6602629280090332,0.0,0.6337476539611816,0.785,0.7225,0.6231240558624267
direct_unmatched_general_to_code,direct_unmatched,21,0.6602629280090332,0.6943394660949707,0.03407653808593747,0.6943394660949707,0.545,0.5425,0.6741554641723633
