method,general,code,worst,avg,config,ho_worst
instruct,5.150962227269223,0.653911292552948,5.150962227269223,2.9024367599110854,{},
unified,5.182952077765214,0.48093530535697937,5.182952077765214,2.8319436915610967,"{""density"": 1.0, ""importance"": ""uniform"", ""lam"": 0.0, ""router"": ""average"", ""sign_resolve"": true}",5.452541559392755
task_arith_0.5,5.476629759135999,0.4512002766132355,5.476629759135999,2.9639150178746174,"{""density"": 1.0, ""importance"": ""uniform"", ""lam"": 0.5, ""router"": ""average"", ""sign_resolve"": false}",
coder,5.481313605057566,0.5733227133750916,5.481313605057566,3.0273181592163287,{},
linear,8.947735033537212,2.727657198905945,8.947735033537212,5.837696116221578,"{""density"": 1.0, ""importance"": ""uniform"", ""lam"": 1.0, ""router"": ""average"", ""sign_resolve"": false}",
ties_0.5,9.109688206722861,1.556502640247345,9.109688206722861,5.333095423485103,"{""density"": 0.5, ""importance"": ""uniform"", ""lam"": 1.0, ""router"": ""average"", ""sign_resolve"": true}",
