layer,tensor_count,delta_norm,base_norm,relative_delta_norm,max_tensor_relative_delta_norm
0,6,19.194606775795645,76.38301885935354,0.25129416279211586,0.2945318646495786
13,6,27.460562423705777,111.74427729553216,0.2457446867823067,0.2808265203892722
12,6,26.48349383640947,114.01896951356623,0.23227269944110837,0.26825337038638
17,6,25.92202252305208,112.2228659818039,0.23098699446203008,0.2595248760429319
11,6,26.022095661389056,114.29333261983246,0.2276781599145849,0.2537129308032428
16,6,25.371844289248706,114.38073515974442,0.221819209797999,0.2644597908988786
5,6,24.77684300262623,113.4026593470041,0.21848555532380282,0.2487763520921783
9,6,24.989841476279565,114.62137217797097,0.2180207844439185,0.2615891313193461
18,6,24.68573380049468,113.83083963711343,0.2168633199859675,0.2625162238524727
15,6,25.018532732618862,115.54676341166856,0.21652300760241242,0.2545923708864845
10,6,24.562730206315926,113.98630079978703,0.21548844057549957,0.239922311687059
14,6,24.843766690194624,116.33031014464635,0.21356228363273183,0.257797223185459
4,6,24.123822801471615,113.95939220840802,0.21168788578087677,0.2457309526842207
2,6,23.666318832775985,112.26617097662124,0.21080543343465732,0.2433123311589652
8,6,24.426154217540777,115.9517639104946,0.21065789250429856,0.2471370064126778
19,6,23.697853216917736,114.3739716697283,0.20719620793923968,0.2489271808751101
1,6,22.330195841449353,108.50617886014638,0.20579653689796545,0.2377480680335832
21,6,23.412567854987643,115.66824149196593,0.20241137543889978,0.2449846760531968
7,6,22.78121593751441,113.3153419874658,0.20104264381105888,0.2397786713976264
25,6,22.736203015300035,113.74760256745525,0.1998829206252227,0.2344945417261471
29,6,22.441905615872255,112.80309160473368,0.19894761124552812,0.2326124125473135
23,6,22.47892787103558,113.7301496351568,0.19765144021306016,0.2229638652898076
6,6,22.62745244047791,115.1634935603442,0.1964811221068195,0.2391151779360652
20,6,22.809343868254754,116.12033981646711,0.1964284974045533,0.2326234628585018
24,6,22.59570487951667,115.37576204422295,0.19584446922964505,0.2325551664533194
22,6,22.203884082585954,115.62898984881357,0.19202696582939818,0.2178516611783559
28,6,21.27829206806983,114.75339717448864,0.18542624960997936,0.2276505981508324
3,6,22.84860140599447,123.45052344271875,0.18508306622609225,0.2341846548251455
30,6,20.29290987176954,114.17333067961432,0.17773774095032902,0.224926299035499
26,6,20.693513620331892,116.72063800556344,0.17729095705718764,0.2202211844304073
27,6,20.745679585095974,117.92073784979071,0.17592901777397413,0.2141033864073126
31,6,19.63871720819538,113.72032137186353,0.17269312090648342,0.2121318864348731
32,6,19.651742833867498,114.2543375539955,0.1719999717698269,0.2077037951322915
47,6,17.899782884502436,110.3782503679818,0.1621676627852651,0.1906511209375052
44,6,18.355615735810066,114.38176302900321,0.16047676875863265,0.1779941826324102
33,6,18.264560004351004,114.73043038040709,0.15919542830783373,0.19350806060349
34,6,18.1329262338315,114.07969409682255,0.158949639349853,0.1816791624588563
35,6,17.478937980927576,111.11472145148988,0.1573053304962698,0.1813296283641631
36,6,17.803737635548266,114.33024453605366,0.15572202882793554,0.1850381518412581
46,6,17.69686769847056,117.24352111484968,0.15094111410331168,0.1727948549571331
37,6,16.34412638064926,113.82981724891714,0.14358387613773263,0.1686432990688001
40,6,16.444961656466003,115.53492426788506,0.1423375811311902,0.1794280339524168
43,6,16.447032917194324,117.40283380106924,0.14009059564152135,0.1658680736527973
41,6,15.992911913145905,114.34210165524115,0.1398689693614953,0.1676749950106292
42,6,15.88339068068275,117.87277811814339,0.13475028699809632,0.1681893807719008
38,6,15.192187212926667,116.13332111287045,0.13081678081143755,0.1647185281204413
45,6,15.242081329307348,117.24279684946934,0.13000441595467052,0.1593972788266682
39,6,15.078131886712908,118.70975752128264,0.12701678616443687,0.1532740504514019
