merge_model,source_set,source_set_key,variant,avg,worst,frontier_avg,frontier_worst,avg_gap_to_source_frontier,worst_gap_to_source_frontier,task_regression_count_vs_frontier,task_gaps_to_frontier
merge_instruct+coder_routercal,instruct+coder,coder+instruct,router_calibrated,0.8277777777777778,0.7583333333333333,0.8972222222222221,0.8416666666666667,-0.06944444444444431,-0.08333333333333337,3,"{""gsm8k"": -0.050000000000000044, ""humaneval"": -0.07499999999999996, ""mmlu"": -0.08333333333333337}"
merge_instruct+coder,instruct+coder,coder+instruct,naive_average,0.7944444444444444,0.7583333333333333,0.8972222222222221,0.8416666666666667,-0.10277777777777775,-0.08333333333333337,3,"{""gsm8k"": -0.07500000000000007, ""humaneval"": -0.1499999999999999, ""mmlu"": -0.08333333333333337}"
merge_instruct+coder+thinking,instruct+coder+thinking,coder+instruct+thinking,naive_average,0.8333333333333334,0.75,0.8972222222222221,0.8416666666666667,-0.06388888888888877,-0.09166666666666667,2,"{""gsm8k"": 0.0, ""humaneval"": -0.09999999999999998, ""mmlu"": -0.09166666666666667}"
